,2025-11-30,2024-11-30,2023-11-30,2022-11-30,2021-11-30
Free Cash Flow,9852000000.0,7873000000.0,6942000000.0,7396000000.0,
Repurchase Of Capital Stock,-11281000000.0,-9500000000.0,-4400000000.0,-6550000000.0,
Repayment Of Debt,-1500000000.0,0.0,-500000000.0,0.0,
Issuance Of Debt,1997000000.0,1997000000.0,0.0,0.0,
Issuance Of Capital Stock,348000000.0,361000000.0,314000000.0,278000000.0,
Capital Expenditure,-179000000.0,-183000000.0,-360000000.0,-442000000.0,
Interest Paid Supplemental Data,246000000.0,143000000.0,106000000.0,103000000.0,
Income Tax Paid Supplemental Data,2219000000.0,1727000000.0,1854000000.0,778000000.0,
End Cash Position,5431000000.0,7613000000.0,7141000000.0,4236000000.0,
Beginning Cash Position,7613000000.0,7141000000.0,4236000000.0,3844000000.0,
Effect Of Exchange Rate Changes,34000000.0,-9000000.0,9000000.0,-51000000.0,
Changes In Cash,-2216000000.0,481000000.0,2896000000.0,443000000.0,
Financing Cash Flow,-11060000000.0,-7724000000.0,-5182000000.0,-6825000000.0,
Cash Flow From Continuing Financing Activities,-11060000000.0,-7724000000.0,-5182000000.0,-6825000000.0,
Net Other Financing Charges,-624000000.0,-582000000.0,-596000000.0,-553000000.0,
Net Common Stock Issuance,-10933000000.0,-9139000000.0,-4086000000.0,-6272000000.0,
Common Stock Payments,-11281000000.0,-9500000000.0,-4400000000.0,-6550000000.0,
Common Stock Issuance,348000000.0,361000000.0,314000000.0,278000000.0,
Net Issuance Payments Of Debt,497000000.0,1997000000.0,-500000000.0,0.0,
Net Long Term Debt Issuance,497000000.0,1997000000.0,-500000000.0,0.0,
Long Term Debt Payments,-1500000000.0,0.0,-500000000.0,0.0,
Long Term Debt Issuance,1997000000.0,1997000000.0,0.0,0.0,
Investing Cash Flow,-1187000000.0,149000000.0,776000000.0,-570000000.0,
Cash Flow From Continuing Investing Activities,-1187000000.0,149000000.0,776000000.0,-570000000.0,
Net Other Investing Changes,3000000.0,2000000.0,1000000.0,,
Net Investment Purchase And Sale,-994000000.0,330000000.0,1135000000.0,-2000000.0,
Sale Of Investment,1174000000.0,497000000.0,1188000000.0,953000000.0,
Purchase Of Investment,-2168000000.0,-167000000.0,-53000000.0,-955000000.0,
Net Business Purchase And Sale,-17000000.0,0.0,0.0,-126000000.0,
Purchase Of Business,-17000000.0,0.0,0.0,-126000000.0,
Net PPE Purchase And Sale,-179000000.0,-183000000.0,-360000000.0,-442000000.0,
Purchase Of PPE,-179000000.0,-183000000.0,-360000000.0,-442000000.0,
Operating Cash Flow,10031000000.0,8056000000.0,7302000000.0,7838000000.0,
Cash Flow From Continuing Operating Activities,10031000000.0,8056000000.0,7302000000.0,7838000000.0,
Change In Working Capital,605000000.0,144000000.0,-355000000.0,336000000.0,
Change In Other Working Capital,771000000.0,309000000.0,536000000.0,536000000.0,
Change In Payables And Accrued Expense,199000000.0,308000000.0,86000000.0,92000000.0,
Change In Accrued Expense,180000000.0,196000000.0,146000000.0,7000000.0,
Change In Payable,19000000.0,112000000.0,-60000000.0,85000000.0,
Change In Account Payable,64000000.0,44000000.0,-49000000.0,66000000.0,
Change In Tax Payable,-45000000.0,68000000.0,-11000000.0,19000000.0,
Change In Income Tax Payable,-45000000.0,68000000.0,-11000000.0,19000000.0,
Change In Prepaid Assets,-90000000.0,-616000000.0,-818000000.0,-94000000.0,
Change In Receivables,-275000000.0,143000000.0,-159000000.0,-198000000.0,
Changes In Account Receivables,-275000000.0,143000000.0,-159000000.0,-198000000.0,
Other Non Cash Items,48000000.0,52000000.0,65000000.0,10000000.0,
Stock Based Compensation,1942000000.0,1833000000.0,1718000000.0,1440000000.0,
Unrealized Gain Loss On Investment Securities,,-35000000.0,-10000000.0,29000000.0,-4000000.0
Asset Impairment Charge,0.0,78000000.0,0.0,0.0,
Deferred Tax,-512000000.0,-468000000.0,-426000000.0,328000000.0,
Deferred Income Tax,-512000000.0,-468000000.0,-426000000.0,328000000.0,
Depreciation Amortization Depletion,818000000.0,857000000.0,872000000.0,856000000.0,
Depreciation And Amortization,818000000.0,857000000.0,872000000.0,856000000.0,
Depreciation,818000000.0,857000000.0,872000000.0,856000000.0,
Operating Gains Losses,,77000000.0,72000000.0,83000000.0,73000000.0
Gain Loss On Sale Of PPE,,77000000.0,72000000.0,83000000.0,73000000.0
Net Income From Continuing Operations,7130000000.0,5560000000.0,5428000000.0,4756000000.0,
