,2025-11-30,2024-11-30,2023-11-30,2022-11-30
Tax Effect Of Unusual Items,4860000.0,-196400000.0,-1600000.0,-8400000.0
Tax Rate For Calcs,0.18,0.2,0.2,0.21
Normalized EBITDA,9788000000.0,8939000000.0,7792000000.0,7016000000.0
Total Unusual Items,27000000.0,-982000000.0,-8000000.0,-40000000.0
Total Unusual Items Excluding Goodwill,27000000.0,-982000000.0,-8000000.0,-40000000.0
Net Income From Continuing Operation Net Minority Interest,7130000000.0,5560000000.0,5428000000.0,4756000000.0
Reconciled Depreciation,818000000.0,857000000.0,872000000.0,856000000.0
Reconciled Cost Of Revenue,1890000000.0,1670000000.0,1650000000.0,1478000000.0
EBITDA,9815000000.0,7957000000.0,7784000000.0,6976000000.0
EBIT,8997000000.0,7100000000.0,6912000000.0,6120000000.0
Net Interest Income,1000000.0,172000000.0,156000000.0,-51000000.0
Interest Expense,263000000.0,169000000.0,113000000.0,112000000.0
Interest Income,264000000.0,341000000.0,269000000.0,61000000.0
Normalized Income,7107860000.0,6345600000.0,5434400000.0,4787600000.0
Net Income From Continuing And Discontinued Operation,7130000000.0,5560000000.0,5428000000.0,4756000000.0
Total Expenses,15063000000.0,13764000000.0,12759000000.0,11508000000.0
Total Operating Income As Reported,8706000000.0,6741000000.0,6650000000.0,6098000000.0
Diluted Average Shares,427000000.0,450000000.0,459000000.0,471000000.0
Basic Average Shares,426000000.0,447000000.0,457000000.0,470000000.0
Diluted EPS,16.7,12.36,11.82,10.1
Basic EPS,16.73,12.43,11.87,10.13
Diluted NI Availto Com Stockholders,7130000000.0,5560000000.0,5428000000.0,4756000000.0
Net Income Common Stockholders,7130000000.0,5560000000.0,5428000000.0,4756000000.0
Net Income,7130000000.0,5560000000.0,5428000000.0,4756000000.0
Net Income Including Noncontrolling Interests,7130000000.0,5560000000.0,5428000000.0,4756000000.0
Net Income Continuous Operations,7130000000.0,5560000000.0,5428000000.0,4756000000.0
Tax Provision,1604000000.0,1371000000.0,1371000000.0,1252000000.0
Pretax Income,8734000000.0,6931000000.0,6799000000.0,6008000000.0
Other Income Expense,27000000.0,-982000000.0,-7000000.0,-39000000.0
Other Non Operating Income Expenses,,,1000000.0,1000000.0
Special Income Charges,0.0,-1000000000.0,0.0,0.0
Restructuring And Mergern Acquisition,0.0,1000000000.0,0.0,0.0
Gain On Sale Of Security,27000000.0,18000000.0,-8000000.0,-40000000.0
Net Non Operating Interest Income Expense,1000000.0,172000000.0,156000000.0,-51000000.0
Interest Expense Non Operating,263000000.0,169000000.0,113000000.0,112000000.0
Interest Income Non Operating,264000000.0,341000000.0,269000000.0,61000000.0
Operating Income,8706000000.0,7741000000.0,6650000000.0,6098000000.0
Operating Expense,12512000000.0,11406000000.0,10405000000.0,9343000000.0
Depreciation Amortization Depletion Income Statement,157000000.0,169000000.0,168000000.0,169000000.0
Depreciation And Amortization In Income Statement,157000000.0,169000000.0,168000000.0,169000000.0
Amortization,157000000.0,169000000.0,168000000.0,169000000.0
Amortization Of Intangibles Income Statement,157000000.0,169000000.0,168000000.0,169000000.0
Research And Development,4294000000.0,3944000000.0,3473000000.0,2987000000.0
Selling General And Administration,8061000000.0,7293000000.0,6764000000.0,6187000000.0
Selling And Marketing Expense,6488000000.0,5764000000.0,5351000000.0,4968000000.0
General And Administrative Expense,1573000000.0,1529000000.0,1413000000.0,1219000000.0
Other Gand A,1573000000.0,1529000000.0,1413000000.0,1219000000.0
Gross Profit,21218000000.0,19147000000.0,17055000000.0,15441000000.0
Cost Of Revenue,2551000000.0,2358000000.0,2354000000.0,2165000000.0
Total Revenue,23769000000.0,21505000000.0,19409000000.0,17606000000.0
Operating Revenue,23769000000.0,21505000000.0,19409000000.0,17606000000.0
