,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,601720000.0,290842000.0,-108594000.0,-273899000.0,
Repurchase Of Capital Stock,-250000000.0,0.0,-109000.0,-86000.0,
Repayment Of Debt,-22287609000.0,-13829388000.0,-6407830000.0,-4642608000.0,
Issuance Of Debt,24594242000.0,14989444000.0,8044971000.0,6804828000.0,
Issuance Of Capital Stock,,,0.0,0.0,1739718000.0
Capital Expenditure,-192189000.0,-159296000.0,-120775000.0,-111705000.0,
Interest Paid Supplemental Data,404377000.0,318235000.0,163191000.0,51524000.0,
Income Tax Paid Supplemental Data,2736000.0,1187000.0,808000.0,220000.0,
End Cash Position,1756423000.0,1295399000.0,1259944000.0,1550807000.0,
Beginning Cash Position,1295399000.0,1259944000.0,1550807000.0,1692632000.0,
Effect Of Exchange Rate Changes,-1245000.0,-2683000.0,81000.0,-5412000.0,
Changes In Cash,462269000.0,38138000.0,-290944000.0,-136413000.0,
Financing Cash Flow,751425000.0,913149000.0,1349945000.0,2037119000.0,
Cash Flow From Continuing Financing Activities,751425000.0,913149000.0,1349945000.0,2037119000.0,
Net Other Financing Charges,-1365900000.0,-280032000.0,-302855000.0,-198929000.0,
Proceeds From Stock Option Exercised,60692000.0,33125000.0,15768000.0,73914000.0,
Net Preferred Stock Issuance,,,0.0,0.0,434529000.0
Preferred Stock Payments,,,0.0,0.0,-13000.0
Preferred Stock Issuance,,,0.0,0.0,434542000.0
Net Common Stock Issuance,-250000000.0,0.0,-109000.0,-86000.0,
Common Stock Payments,-250000000.0,0.0,-109000.0,-86000.0,
Common Stock Issuance,,,0.0,0.0,1305176000.0
Net Issuance Payments Of Debt,2306633000.0,1160056000.0,1637141000.0,2162220000.0,
Net Long Term Debt Issuance,2306633000.0,1160056000.0,1637141000.0,2162220000.0,
Long Term Debt Payments,-22287609000.0,-13829388000.0,-6407830000.0,-4642608000.0,
Long Term Debt Issuance,24594242000.0,14989444000.0,8044971000.0,6804828000.0,
Investing Cash Flow,-1083064000.0,-1325149000.0,-1653070000.0,-2011338000.0,
Cash Flow From Continuing Investing Activities,-1083065000.0,-1325149000.0,-1653070000.0,-2011338000.0,
Net Other Investing Changes,-1282766000.0,-1316719000.0,-1971592000.0,-363289000.0,
Net Investment Purchase And Sale,391891000.0,150866000.0,455348000.0,-1530345000.0,
Sale Of Investment,1215777000.0,1136937000.0,1537495000.0,311035000.0,
Purchase Of Investment,-823886000.0,-986071000.0,-1082147000.0,-1841380000.0,
Net Business Purchase And Sale,0.0,0.0,-16051000.0,-5999000.0,
Purchase Of Business,0.0,0.0,-16051000.0,-5999000.0,
Net Intangibles Purchase And Sale,,0.0,0.0,-25415000.0,0.0
Purchase Of Intangibles,,0.0,0.0,-25415000.0,0.0
Net PPE Purchase And Sale,-192189000.0,-159296000.0,-120775000.0,-86290000.0,
Purchase Of PPE,-192189000.0,-159296000.0,-120775000.0,-86290000.0,
Operating Cash Flow,793909000.0,450138000.0,12181000.0,-162194000.0,
Cash Flow From Continuing Operating Activities,793910000.0,450138000.0,12181000.0,-162194000.0,
Change In Working Capital,-49827000.0,-62352000.0,-134975000.0,-9906000.0,
Change In Other Current Assets,-12175000.0,31228000.0,-14466000.0,-15021000.0,
Change In Payables And Accrued Expense,47300000.0,74177000.0,-52819000.0,67815000.0,
Change In Accrued Expense,-46557000.0,-44031000.0,-30250000.0,71197000.0,
Change In Interest Payable,2386000.0,11138000.0,7915000.0,3907000.0,
Change In Payable,93857000.0,118208000.0,-22569000.0,-3382000.0,
Change In Account Payable,41801000.0,12417000.0,-5038000.0,-24686000.0,
Change In Receivables,-84952000.0,-167757000.0,-67690000.0,-62700000.0,
Changes In Account Receivables,-84952000.0,-167757000.0,-67690000.0,-62700000.0,
Other Non Cash Items,-516755000.0,-315965000.0,-82979000.0,-401081000.0,
Stock Based Compensation,321433000.0,344511000.0,451709000.0,390983000.0,
Provisionand Write Offof Assets,616683000.0,460628000.0,331860000.0,255272000.0,
Asset Impairment Charge,0.0,752000.0,1244000.0,362000.0,
Amortization Of Securities,-44031000.0,-22799000.0,-36060000.0,2192000.0,
Depreciation Amortization Depletion,225076000.0,169044000.0,134634000.0,52722000.0,
Depreciation And Amortization,225076000.0,169044000.0,134634000.0,52722000.0,
Operating Gains Losses,189144000.0,394076000.0,332093000.0,254679000.0,
Gain Loss On Investment Securities,271562000.0,406714000.0,421934000.0,254679000.0,
Net Income From Continuing Operations,52186000.0,-517757000.0,-985345000.0,-707417000.0,
