,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,118034000.0,320207000.0,23517000.0,157376000.0,268112000.0,
Repurchase Of Capital Stock,,,0.0,0.0,,
Repayment Of Debt,-8057934000.0,-8918589000.0,-7455067000.0,-6271134000.0,-5272024000.0,
Issuance Of Debt,9292589000.0,9080435000.0,7900247000.0,7130641000.0,5624356000.0,
Capital Expenditure,-55704000.0,-54365000.0,-51120000.0,-53012000.0,-43905000.0,
Interest Paid Supplemental Data,102537000.0,103252000.0,101586000.0,101662000.0,101623000.0,
Income Tax Paid Supplemental Data,484000.0,1749000.0,304000.0,1322000.0,656000.0,
End Cash Position,2094572000.0,2097610000.0,1756423000.0,1735959000.0,1737157000.0,
Beginning Cash Position,2097610000.0,1756423000.0,1735959000.0,1737157000.0,1384622000.0,
Effect Of Exchange Rate Changes,1642000.0,-3861000.0,13083000.0,-1548000.0,-14510000.0,
Changes In Cash,-4680000.0,345048000.0,7381000.0,350000.0,367045000.0,
Financing Cash Flow,1186580000.0,110086000.0,387259000.0,-245555000.0,144096000.0,
Cash Flow From Continuing Financing Activities,1186580000.0,110087000.0,387258000.0,-245554000.0,144096000.0,
Net Other Financing Charges,-57345000.0,-146588000.0,-68698000.0,-1115589000.0,5972000.0,
Proceeds From Stock Option Exercised,9270000.0,94828000.0,10777000.0,10527000.0,35792000.0,
Net Common Stock Issuance,,,0.0,0.0,,
Common Stock Payments,,,0.0,0.0,,
Net Issuance Payments Of Debt,1234655000.0,161846000.0,445180000.0,859507000.0,352332000.0,
Net Long Term Debt Issuance,1234655000.0,161846000.0,445180000.0,859507000.0,352332000.0,
Long Term Debt Payments,-8057934000.0,-8918589000.0,-7455067000.0,-6271134000.0,-5272024000.0,
Long Term Debt Issuance,9292589000.0,9080435000.0,7900247000.0,7130641000.0,5624356000.0,
Investing Cash Flow,-1364997000.0,-139611000.0,-454514000.0,35517000.0,-89068000.0,
Cash Flow From Continuing Investing Activities,-1364996000.0,-139611000.0,-454516000.0,35518000.0,-89068000.0,
Net Other Investing Changes,-1451609000.0,-155209000.0,-364493000.0,193422000.0,-501895000.0,
Net Investment Purchase And Sale,142316000.0,69963000.0,-38901000.0,-104893000.0,456732000.0,
Sale Of Investment,210251000.0,216425000.0,231390000.0,263817000.0,504890000.0,
Purchase Of Investment,-67935000.0,-146462000.0,-270291000.0,-368710000.0,-48158000.0,
Net PPE Purchase And Sale,-55704000.0,-54365000.0,-51120000.0,-53012000.0,-43905000.0,
Purchase Of PPE,-55704000.0,-54365000.0,-51120000.0,-53012000.0,-43905000.0,
Operating Cash Flow,173738000.0,374572000.0,74637000.0,210388000.0,312017000.0,
Cash Flow From Continuing Operating Activities,173735000.0,374574000.0,74637000.0,210389000.0,312017000.0,
Change In Working Capital,-111660000.0,125141000.0,-153928000.0,-1096000.0,84887000.0,
Change In Other Current Assets,-69985000.0,30955000.0,5817000.0,9429000.0,-20588000.0,
Change In Payables And Accrued Expense,-52729000.0,-44676000.0,49104000.0,9359000.0,2811000.0,
Change In Accrued Expense,11524000.0,-1965000.0,-27361000.0,-824000.0,4537000.0,
Change In Interest Payable,3433000.0,1621000.0,2769000.0,-2277000.0,1048000.0,
Change In Payable,-64253000.0,-42711000.0,76465000.0,10183000.0,-1726000.0,
Change In Account Payable,-791000.0,-24801000.0,41762000.0,-9568000.0,-6936000.0,
Change In Receivables,11054000.0,138862000.0,-208849000.0,-19884000.0,102664000.0,
Changes In Account Receivables,11054000.0,138862000.0,-208849000.0,-19884000.0,102664000.0,
Other Non Cash Items,-264586000.0,-174720000.0,-158407000.0,-102145000.0,-160363000.0,
Stock Based Compensation,77800000.0,85853000.0,65495000.0,75607000.0,86098000.0,
Provisionand Write Offof Assets,214153000.0,162752000.0,156627000.0,147252000.0,152980000.0,
Asset Impairment Charge,,,,,,0.0
Amortization Of Securities,-8313000.0,-9959000.0,-9849000.0,-7564000.0,-10821000.0,
Depreciation Amortization Depletion,75593000.0,65329000.0,63995000.0,59467000.0,54894000.0,
Depreciation And Amortization,75593000.0,65329000.0,63995000.0,59467000.0,54894000.0,
Operating Gains Losses,61165000.0,39482000.0,41460000.0,36063000.0,23982000.0,
Gain Loss On Investment Securities,61207000.0,40977000.0,41460000.0,36063000.0,86776000.0,
Net Income From Continuing Operations,129586000.0,80694000.0,69244000.0,2804000.0,80360000.0,
