,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-4272000.0,
Tax Rate For Calcs,0.2,0.205,0.21,0.048,
Normalized EBITDA,2544000000.0,2553000000.0,1518000000.0,2061000000.0,
Total Unusual Items,,0.0,0.0,-89000000.0,-113000000.0
Total Unusual Items Excluding Goodwill,,0.0,0.0,-89000000.0,-113000000.0
Net Income From Continuing Operation Net Minority Interest,2511000000.0,2648000000.0,4792000000.0,1893000000.0,
Reconciled Depreciation,,65000000.0,44000000.0,81000000.0,138000000.0
Reconciled Cost Of Revenue,2086000000.0,1878000000.0,1703000000.0,1499000000.0,
EBITDA,2544000000.0,2553000000.0,1518000000.0,1972000000.0,
EBIT,2544000000.0,2553000000.0,1518000000.0,1891000000.0,
Net Interest Income,705000000.0,818000000.0,721000000.0,186000000.0,
Interest Expense,,,83000000.0,24000000.0,438000000.0
Interest Income,705000000.0,818000000.0,721000000.0,186000000.0,
Normalized Income,2511000000.0,2648000000.0,4792000000.0,1977728000.0,
Net Income From Continuing And Discontinued Operation,2511000000.0,2648000000.0,4792000000.0,1893000000.0,
Total Expenses,9697000000.0,8549000000.0,8399000000.0,6508000000.0,
Total Operating Income As Reported,2544000000.0,2553000000.0,1518000000.0,1802000000.0,
Diluted Average Shares,623000000.0,645000000.0,662000000.0,680000000.0,
Basic Average Shares,613000000.0,632000000.0,637000000.0,637000000.0,
Diluted EPS,4.03,4.11,7.24,2.79,
Basic EPS,4.1,4.19,7.52,2.97,
Diluted NI Availto Com Stockholders,2514000000.0,2652000000.0,4795000000.0,1893000000.0,
Average Dilution Earnings,3000000.0,4000000.0,3000000.0,,
Net Income Common Stockholders,2511000000.0,2648000000.0,4792000000.0,1893000000.0,
Net Income,2511000000.0,2648000000.0,4792000000.0,1893000000.0,
Net Income Including Noncontrolling Interests,2511000000.0,2648000000.0,4792000000.0,1893000000.0,
Net Income Continuous Operations,2511000000.0,2648000000.0,4792000000.0,1893000000.0,
Tax Provision,626000000.0,683000000.0,-2690000000.0,96000000.0,
Pretax Income,3137000000.0,3331000000.0,2102000000.0,1989000000.0,
Other Income Expense,-112000000.0,-40000000.0,-137000000.0,-88000000.0,
Other Non Operating Income Expenses,-112000000.0,-40000000.0,-137000000.0,1000000.0,
Special Income Charges,,0.0,0.0,-89000000.0,-113000000.0
Restructuring And Mergern Acquisition,,0.0,0.0,89000000.0,113000000.0
Net Non Operating Interest Income Expense,705000000.0,818000000.0,721000000.0,186000000.0,
Interest Expense Non Operating,,,83000000.0,24000000.0,438000000.0
Interest Income Non Operating,705000000.0,818000000.0,721000000.0,186000000.0,
Operating Income,2544000000.0,2553000000.0,1518000000.0,1891000000.0,
Operating Expense,7611000000.0,6671000000.0,6696000000.0,5009000000.0,
Other Operating Expenses,1327000000.0,1282000000.0,1186000000.0,1041000000.0,
Research And Development,2354000000.0,2056000000.0,1722000000.0,1502000000.0,
Selling General And Administration,3930000000.0,3333000000.0,3788000000.0,2466000000.0,
Selling And Marketing Expense,2588000000.0,2148000000.0,1763000000.0,1516000000.0,
General And Administrative Expense,1342000000.0,1185000000.0,2025000000.0,950000000.0,
Other Gand A,1342000000.0,1185000000.0,2025000000.0,950000000.0,
Gross Profit,10155000000.0,9224000000.0,8214000000.0,6900000000.0,
Cost Of Revenue,2086000000.0,1878000000.0,1703000000.0,1499000000.0,
Total Revenue,12241000000.0,11102000000.0,9917000000.0,8399000000.0,
Operating Revenue,12241000000.0,11102000000.0,9917000000.0,8399000000.0,
