,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,158000000.0,947000000.0,646000000.0,383000000.0
Issuance Of Debt,,0.0,0.0,50000000.0
Capital Expenditure,-239000000.0,-143000000.0,-93000000.0,-75000000.0
Interest Paid Supplemental Data,,0.0,0.0,1000000.0
Income Tax Paid Supplemental Data,149000000.0,187000000.0,157000000.0,141000000.0
End Cash Position,2085000000.0,1923000000.0,1554000000.0,1004000000.0
Beginning Cash Position,1923000000.0,1554000000.0,1004000000.0,1214000000.0
Effect Of Exchange Rate Changes,2000000.0,3000000.0,-9000000.0,-17000000.0
Changes In Cash,160000000.0,366000000.0,559000000.0,-193000000.0
Financing Cash Flow,-202000000.0,-208000000.0,-42000000.0,-32000000.0
Cash Flow From Continuing Financing Activities,-202000000.0,-208000000.0,-42000000.0,-32000000.0
Net Other Financing Charges,-202000000.0,-208000000.0,-42000000.0,-82000000.0
Cash Dividends Paid,,,0.0,0.0
Net Issuance Payments Of Debt,,0.0,0.0,50000000.0
Net Short Term Debt Issuance,,0.0,0.0,50000000.0
Short Term Debt Issuance,,0.0,0.0,50000000.0
Investing Cash Flow,-35000000.0,-516000000.0,-138000000.0,-619000000.0
Cash Flow From Continuing Investing Activities,-35000000.0,-516000000.0,-138000000.0,-619000000.0
Net Other Investing Changes,1000000.0,-1000000.0,,
Net Investment Purchase And Sale,260000000.0,-340000000.0,-30000000.0,-536000000.0
Sale Of Investment,940000000.0,425000000.0,1081000000.0,245000000.0
Purchase Of Investment,-680000000.0,-765000000.0,-1111000000.0,-781000000.0
Net Business Purchase And Sale,-57000000.0,-32000000.0,-15000000.0,-8000000.0
Purchase Of Business,-57000000.0,-32000000.0,-15000000.0,-8000000.0
Net Intangibles Purchase And Sale,-20000000.0,-51000000.0,-29000000.0,-41000000.0
Purchase Of Intangibles,-20000000.0,-51000000.0,-29000000.0,-41000000.0
Net PPE Purchase And Sale,-219000000.0,-92000000.0,-64000000.0,-34000000.0
Purchase Of PPE,-219000000.0,-92000000.0,-64000000.0,-34000000.0
Operating Cash Flow,397000000.0,1090000000.0,739000000.0,458000000.0
Cash Flow From Continuing Operating Activities,397000000.0,1090000000.0,739000000.0,458000000.0
Change In Working Capital,-1465000000.0,-195000000.0,-73000000.0,-188000000.0
Change In Other Working Capital,-4000000.0,-190000000.0,-37000000.0,-51000000.0
Change In Other Current Liabilities,-420000000.0,467000000.0,-55000000.0,42000000.0
Change In Payables And Accrued Expense,-158000000.0,-322000000.0,-103000000.0,239000000.0
Change In Accrued Expense,-152000000.0,-292000000.0,-138000000.0,127000000.0
Change In Payable,-6000000.0,-30000000.0,35000000.0,112000000.0
Change In Tax Payable,-6000000.0,-30000000.0,35000000.0,112000000.0
Change In Income Tax Payable,-6000000.0,-30000000.0,35000000.0,112000000.0
Change In Prepaid Assets,-140000000.0,-61000000.0,-1000000.0,-41000000.0
Change In Receivables,-743000000.0,-89000000.0,123000000.0,-377000000.0
Changes In Account Receivables,-331000000.0,218000000.0,125000000.0,-219000000.0
Other Non Cash Items,48000000.0,33000000.0,28000000.0,60000000.0
Stock Based Compensation,820000000.0,1037000000.0,79000000.0,26000000.0
Asset Impairment Charge,,0.0,0.0,43000000.0
Deferred Tax,-218000000.0,-273000000.0,-34000000.0,-76000000.0
Deferred Income Tax,-218000000.0,-273000000.0,-34000000.0,-76000000.0
Depreciation Amortization Depletion,183000000.0,162000000.0,170000000.0,185000000.0
Depreciation And Amortization,183000000.0,162000000.0,170000000.0,185000000.0
Amortization Cash Flow,87000000.0,86000000.0,93000000.0,
Amortization Of Intangibles,87000000.0,86000000.0,93000000.0,
Depreciation,95900000.0,76000000.0,77200000.0,
Operating Gains Losses,237000000.0,20000000.0,45000000.0,-141000000.0
Earnings Losses From Equity Investments,237000000.0,20000000.0,45000000.0,-141000000.0
Net Income From Continuing Operations,792000000.0,306000000.0,524000000.0,549000000.0
