,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-49770000.0,-5460000.0,-11440000.0,13160000.0
Tax Rate For Calcs,0.21,0.21,0.22,0.14
Normalized EBITDA,1251000000.0,305000000.0,900000000.0,771000000.0
Total Unusual Items,-237000000.0,-26000000.0,-52000000.0,94000000.0
Total Unusual Items Excluding Goodwill,-237000000.0,-26000000.0,-52000000.0,94000000.0
Net Income From Continuing Operation Net Minority Interest,792000000.0,306000000.0,524000000.0,676000000.0
Reconciled Depreciation,183000000.0,162000000.0,170000000.0,185000000.0
Reconciled Cost Of Revenue,121000000.0,154000000.0,106000000.0,131000000.0
EBITDA,1014000000.0,279000000.0,848000000.0,865000000.0
EBIT,831000000.0,117000000.0,678000000.0,680000000.0
Net Interest Income,116000000.0,110000000.0,42000000.0,2000000.0
Interest Income,116000000.0,110000000.0,42000000.0,2000000.0
Normalized Income,979230000.0,326540000.0,564560000.0,595160000.0
Net Income From Continuing And Discontinued Operation,792000000.0,306000000.0,524000000.0,549000000.0
Total Expenses,3176000000.0,3116000000.0,2001000000.0,2023000000.0
Total Operating Income As Reported,831000000.0,111000000.0,671000000.0,633000000.0
Diluted Average Shares,1066000000.0,1044497032.0,1026054856.0,1026054856.0
Basic Average Shares,1050000000.0,1027443122.0,1026054856.0,1026054856.0
Diluted EPS,0.61,0.29,0.510694,0.535059
Basic EPS,0.62,0.3,0.510694,0.535059
Diluted NI Availto Com Stockholders,792000000.0,306000000.0,524000000.0,549000000.0
Net Income Common Stockholders,792000000.0,306000000.0,524000000.0,549000000.0
Net Income,792000000.0,306000000.0,524000000.0,549000000.0
Net Income Including Noncontrolling Interests,792000000.0,306000000.0,524000000.0,549000000.0
Net Income Discontinuous Operations,,0.0,0.0,-127000000.0
Net Income Continuous Operations,792000000.0,306000000.0,524000000.0,676000000.0
Tax Provision,-72000000.0,-94000000.0,147000000.0,110000000.0
Pretax Income,720000000.0,212000000.0,671000000.0,786000000.0
Other Income Expense,-227000000.0,-15000000.0,-49000000.0,104000000.0
Other Non Operating Income Expenses,10000000.0,11000000.0,3000000.0,10000000.0
Special Income Charges,0.0,-6000000.0,-7000000.0,-47000000.0
Impairment Of Capital Assets,,0.0,0.0,21000000.0
Restructuring And Mergern Acquisition,0.0,6000000.0,7000000.0,26000000.0
Earnings From Equity Interest,,-20000000.0,-45000000.0,141000000.0
Gain On Sale Of Security,-237000000.0,-20000000.0,-45000000.0,141000000.0
Net Non Operating Interest Income Expense,116000000.0,110000000.0,42000000.0,2000000.0
Interest Income Non Operating,116000000.0,110000000.0,42000000.0,2000000.0
Operating Income,831000000.0,117000000.0,678000000.0,680000000.0
Operating Expense,3055000000.0,2962000000.0,1895000000.0,1892000000.0
Research And Development,2071000000.0,1979000000.0,1133000000.0,995000000.0
Selling General And Administration,984000000.0,983000000.0,762000000.0,897000000.0
Gross Profit,3886000000.0,3079000000.0,2573000000.0,2572000000.0
Cost Of Revenue,121000000.0,154000000.0,106000000.0,131000000.0
Total Revenue,4007000000.0,3233000000.0,2679000000.0,2703000000.0
Operating Revenue,4007000000.0,3233000000.0,2679000000.0,2703000000.0
