,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,4707632.0,9104591.0,5337832.0,
Ordinary Shares Number,416553785.0,412156826.0,394579585.0,390604587.0
Share Issued,421261417.0,421261417.0,394579585.0,390604587.0
Net Debt,,264578000.0,5131952000.0,11493090000.0
Total Debt,5050613000.0,7644903000.0,15543223000.0,19222956000.0
Tangible Book Value,8182255000.0,8039237000.0,8185908000.0,15529764000.0
Invested Capital,18944386000.0,21848299000.0,30542364000.0,40719865000.0
Working Capital,4993252000.0,623344000.0,7359484000.0,24375845000.0
Net Tangible Assets,8182255000.0,8039237000.0,8185908000.0,15529764000.0
Capital Lease Obligations,214624000.0,188504000.0,238687000.0,206758000.0
Common Stock Equity,14108397000.0,14391900000.0,15237828000.0,21703667000.0
Total Capitalization,17372550000.0,14392546000.0,23920978000.0,39487759000.0
Total Equity Gross Minority Interest,14103913000.0,14404267000.0,15239587000.0,21716066000.0
Minority Interest,-4484000.0,12367000.0,1759000.0,12399000.0
Stockholders Equity,14108397000.0,14391900000.0,15237828000.0,21703667000.0
Gains Losses Not Affecting Retained Earnings,315458000.0,257226000.0,94283000.0,-255241000.0
Other Equity Adjustments,315458000.0,257226000.0,94283000.0,-255241000.0
Retained Earnings,-27661459000.0,-26310766000.0,-21479869000.0,-13971304000.0
Additional Paid In Capital,41454130000.0,40445175000.0,36623161000.0,35929961000.0
Capital Stock,268000.0,265000.0,253000.0,251000.0
Common Stock,268000.0,265000.0,253000.0,251000.0
Total Liabilities Net Minority Interest,18594587000.0,18754800000.0,26590983000.0,30337085000.0
Total Non Current Liabilities Net Minority Interest,3831784000.0,651105000.0,9497579000.0,18266074000.0
Other Non Current Liabilities,567631000.0,650459000.0,814429000.0,481982000.0
Long Term Debt And Capital Lease Obligation,3264153000.0,646000.0,8683150000.0,17784092000.0
Long Term Debt,3264153000.0,646000.0,8683150000.0,17784092000.0
Current Liabilities,14762803000.0,18103695000.0,17093404000.0,12071011000.0
Current Deferred Liabilities,3802307000.0,2954088000.0,2819323000.0,2645389000.0
Current Deferred Revenue,3802307000.0,2954088000.0,2819323000.0,2645389000.0
Current Debt And Capital Lease Obligation,1786460000.0,7644257000.0,6860073000.0,1438864000.0
Current Capital Lease Obligation,214624000.0,188504000.0,238687000.0,206758000.0
Current Debt,1571836000.0,7455753000.0,6621386000.0,1232106000.0
Other Current Borrowings,31657000.0,6053767000.0,5378504000.0,288448000.0
Line Of Credit,1540179000.0,1401986000.0,1242882000.0,943658000.0
Pensionand Other Post Retirement Benefit Plans Current,5480000.0,4866000.0,5372000.0,5325000.0
Payables And Accrued Expenses,9168556000.0,7500484000.0,7408636000.0,7981433000.0
Current Accrued Expenses,1462166000.0,994077000.0,938282000.0,1453200000.0
Interest Payable,4188000.0,15367000.0,17731000.0,26469000.0
Payables,7706390000.0,6506407000.0,6470354000.0,6528233000.0
Other Payable,2243000000.0,1502851000.0,1594197000.0,1607172000.0
Dueto Related Parties Current,4549000.0,14896000.0,108307000.0,216434000.0
Total Tax Payable,428932000.0,345250000.0,316244000.0,203770000.0
Income Tax Payable,175930000.0,177132000.0,165718000.0,99015000.0
Accounts Payable,5029909000.0,4643410000.0,4451606000.0,4500857000.0
Total Assets,32698500000.0,33159067000.0,41830570000.0,52053151000.0
Total Non Current Assets,12942445000.0,14432028000.0,17377682000.0,15606295000.0
Other Non Current Assets,2380353000.0,2951408000.0,3403990000.0,2543257000.0
Non Current Deferred Assets,135131000.0,46591000.0,43591000.0,36355000.0
Non Current Deferred Taxes Assets,135131000.0,46591000.0,43591000.0,36355000.0
Investments And Advances,3911592000.0,4366632000.0,5651018000.0,5502524000.0
Other Investments,159995000.0,82284000.0,,
Investmentin Financial Assets,1917527000.0,2421609000.0,,
Available For Sale Securities,1917527000.0,2421609000.0,,
Long Term Equity Investment,1834070000.0,1862739000.0,,
Goodwill And Other Intangible Assets,5926142000.0,6352663000.0,7051920000.0,6173903000.0
Other Intangible Assets,3201012000.0,3627533000.0,4326790000.0,3835600000.0
Goodwill,2725130000.0,2725130000.0,2725130000.0,2338303000.0
Net PPE,589227000.0,714734000.0,1227163000.0,1350256000.0
Accumulated Depreciation,-3105412000.0,-2609736000.0,-1949873000.0,-1208842000.0
Gross PPE,3694639000.0,3324470000.0,3177036000.0,2559098000.0
Leases,222925000.0,232044000.0,282007000.0,221280000.0
Other Properties,64799000.0,63308000.0,64595000.0,59871000.0
Machinery Furniture Equipment,3406915000.0,3029118000.0,2830434000.0,2277947000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,19756055000.0,18727039000.0,24452888000.0,36446856000.0
Other Current Assets,50020000.0,63232000.0,94263000.0,138153000.0
Restricted Cash,50000000.0,50000000.0,14803000.0,0.0
Prepaid Assets,743098000.0,881341000.0,1313760000.0,2133520000.0
Inventory,255185000.0,186497000.0,437451000.0,455767000.0
