,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,4259743000.0,-1063522000.0,-6649694000.0,-6334217000.0
Repurchase Of Capital Stock,-117523000.0,0.0,-347581000.0,0.0
Repayment Of Debt,-7967128000.0,-9707522000.0,-5652133000.0,-214882000.0
Issuance Of Debt,5249000000.0,1950482000.0,1701532000.0,11418117000.0
Issuance Of Capital Stock,0.0,2689380000.0,0.0,19288423000.0
Capital Expenditure,-1755111000.0,-1330144000.0,-2738324000.0,-3687209000.0
Interest Paid Supplemental Data,93809000.0,167291000.0,200172000.0,116226000.0
Income Tax Paid Supplemental Data,87217000.0,103391000.0,80591000.0,73717000.0
End Cash Position,10299382000.0,7241821000.0,10187387000.0,7523108000.0
Beginning Cash Position,7241821000.0,10187387000.0,7523108000.0,4678109000.0
Effect Of Exchange Rate Changes,6177000.0,100349000.0,321350000.0,-319034000.0
Changes In Cash,3051384000.0,-3045915000.0,2342929000.0,3164033000.0
Financing Cash Flow,-2825383000.0,-5074685000.0,-4354919000.0,30389152000.0
Cash Flow From Continuing Financing Activities,-2825383000.0,-5074685000.0,-4354919000.0,30389152000.0
Net Other Financing Charges,,-7027000.0,-56741000.0,-102509000.0
Proceeds From Stock Option Exercised,10268000.0,2000.0,4000.0,3000.0
Net Common Stock Issuance,-117523000.0,2689380000.0,-347581000.0,19288423000.0
Common Stock Payments,-117523000.0,0.0,-347581000.0,0.0
Common Stock Issuance,0.0,2689380000.0,0.0,19288423000.0
Net Issuance Payments Of Debt,-2718128000.0,-7757040000.0,-3950601000.0,11203235000.0
Net Short Term Debt Issuance,3240304000.0,-81813000.0,250905000.0,1117715000.0
Short Term Debt Payments,-1908696000.0,-2032295000.0,-1450627000.0,-214882000.0
Short Term Debt Issuance,5149000000.0,1950482000.0,1701532000.0,1332597000.0
Net Long Term Debt Issuance,-5958432000.0,-7675227000.0,-4201506000.0,10085520000.0
Long Term Debt Payments,-6058432000.0,-7675227000.0,-4201506000.0,0.0
Long Term Debt Issuance,100000000.0,0.0,0.0,10085520000.0
Investing Cash Flow,-138087000.0,1762148000.0,10609218000.0,-24578111000.0
Cash Flow From Continuing Investing Activities,-138087000.0,1762148000.0,10609218000.0,-24578111000.0
Net Other Investing Changes,153275000.0,785408000.0,1208980000.0,539225000.0
Net Investment Purchase And Sale,1463749000.0,2376884000.0,13318451000.0,-20982747000.0
Sale Of Investment,44494635000.0,26019061000.0,95608499000.0,68180035000.0
Purchase Of Investment,-43030886000.0,-23642177000.0,-82290048000.0,-89162782000.0
Net Business Purchase And Sale,0.0,-70000000.0,-1179889000.0,-447380000.0
Sale Of Business,,100574000.0,612214000.0,74604000.0
Purchase Of Business,0.0,-70000000.0,-1179889000.0,-521984000.0
Net Intangibles Purchase And Sale,-1289744000.0,-1148247000.0,-1977897000.0,-2721799000.0
Purchase Of Intangibles,-1289744000.0,-1148247000.0,-1977897000.0,-2721799000.0
Net PPE Purchase And Sale,-465367000.0,-181897000.0,-760427000.0,-965410000.0
Purchase Of PPE,-465367000.0,-181897000.0,-760427000.0,-965410000.0
Operating Cash Flow,6014854000.0,266622000.0,-3911370000.0,-2647008000.0
Cash Flow From Continuing Operating Activities,6014854000.0,266622000.0,-3911370000.0,-2647008000.0
Change In Working Capital,3153728000.0,449158000.0,-1152091000.0,-9161000.0
Change In Other Working Capital,848219000.0,133902000.0,173935000.0,494551000.0
Change In Other Current Liabilities,-61250000.0,-141594000.0,282367000.0,94969000.0
Change In Other Current Assets,51154000.0,185783000.0,-444326000.0,-138396000.0
Change In Payables And Accrued Expense,1857909000.0,115472000.0,-473870000.0,1708127000.0
Change In Accrued Expense,779294000.0,341102000.0,-1026319000.0,319702000.0
Change In Payable,1078615000.0,-225630000.0,552449000.0,1388425000.0
Change In Account Payable,615154000.0,-60458000.0,46862000.0,1056847000.0
Change In Tax Payable,83682000.0,29006000.0,130684000.0,77365000.0
Change In Income Tax Payable,83682000.0,29006000.0,130684000.0,77365000.0
Change In Prepaid Assets,273362000.0,342537000.0,-556214000.0,-1747744000.0
Change In Receivables,184334000.0,-186942000.0,-133983000.0,-420668000.0
Changes In Account Receivables,251244000.0,-262215000.0,-59866000.0,-429460000.0
Other Non Cash Items,10949000.0,378110000.0,573929000.0,25234000.0
Stock Based Compensation,1116212000.0,1132644000.0,1040683000.0,999817000.0
Unrealized Gain Loss On Investment Securities,22763000.0,66462000.0,251383000.0,200274000.0
Provisionand Write Offof Assets,128545000.0,-5569000.0,321637000.0,213619000.0
Asset Impairment Charge,486456000.0,278891000.0,465645000.0,91493000.0
Deferred Tax,-110118000.0,-25376000.0,-36495000.0,-21492000.0
Deferred Income Tax,-110118000.0,-25376000.0,-36495000.0,-21492000.0
