,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-15070792.5,-44751500.0,191591000.0,-52421750.0
Tax Rate For Calcs,0.0261,0.25,0.25,0.25
Normalized EBITDA,1767588000.0,-1489389000.0,-4352877000.0,-3744596000.0
Total Unusual Items,-577425000.0,-179006000.0,766364000.0,-209687000.0
Total Unusual Items Excluding Goodwill,-577425000.0,-179006000.0,766364000.0,-209687000.0
Net Income From Continuing Operation Net Minority Interest,-1346800000.0,-4822321000.0,-7497013000.0,-6789228000.0
Reconciled Depreciation,2501165000.0,2899686000.0,3566072000.0,2603700000.0
Reconciled Cost Of Revenue,18057562000.0,17086122000.0,18049872000.0,15340537000.0
EBITDA,1190163000.0,-1668395000.0,-3586513000.0,-3954283000.0
EBIT,-1311002000.0,-4568081000.0,-7152585000.0,-6557983000.0
Net Interest Income,345787000.0,377545000.0,30128000.0,-85100000.0
Interest Expense,89193000.0,164927000.0,250923000.0,155467000.0
Interest Income,434980000.0,542472000.0,281051000.0,70367000.0
Normalized Income,-784445792.5,-4688066500.0,-8071786000.0,-6631962750.0
Net Income From Continuing And Discontinued Operation,-1346800000.0,-4822321000.0,-7497013000.0,-6789228000.0
Total Expenses,28175494000.0,27592174000.0,30257111000.0,25812758000.0
Total Operating Income As Reported,-1343969000.0,-5064187000.0,-8357944000.0,-6429074000.0
Diluted Average Shares,416470256.0,413210271.0,394863584.0,379898121.0
Basic Average Shares,416470256.0,413210271.0,394863584.0,379898121.0
Diluted EPS,-3.23,-11.67,-18.99,-17.87
Basic EPS,-3.23,-11.67,-18.99,-17.87
Diluted NI Availto Com Stockholders,-1346800000.0,-4822321000.0,-7497013000.0,-6789228000.0
Net Income Common Stockholders,-1346800000.0,-4822321000.0,-7497013000.0,-6789228000.0
Net Income,-1346800000.0,-4822321000.0,-7497013000.0,-6789228000.0
Minority Interests,16851000.0,-10608000.0,10640000.0,19511000.0
Net Income Including Noncontrolling Interests,-1363651000.0,-4811713000.0,-7507653000.0,-6808739000.0
Net Income Continuous Operations,-1363651000.0,-4811713000.0,-7507653000.0,-6808739000.0
Tax Provision,-36544000.0,78705000.0,104145000.0,95289000.0
Pretax Income,-1400195000.0,-4733008000.0,-7403508000.0,-6713450000.0
Other Income Expense,-402013000.0,-46366000.0,924308000.0,-199276000.0
Other Non Operating Income Expenses,175412000.0,132640000.0,157944000.0,10411000.0
Special Income Charges,-38629000.0,292213000.0,1318594000.0,0.0
Other Special Charges,38629000.0,-292213000.0,-1318594000.0,
Gain On Sale Of Security,-538796000.0,-471219000.0,-552230000.0,-209687000.0
Net Non Operating Interest Income Expense,345787000.0,377545000.0,30128000.0,-85100000.0
Interest Expense Non Operating,89193000.0,164927000.0,250923000.0,155467000.0
Interest Income Non Operating,434980000.0,542472000.0,281051000.0,70367000.0
Operating Income,-1343969000.0,-5064187000.0,-8357944000.0,-6429074000.0
Operating Expense,10117932000.0,10506052000.0,12207239000.0,10472221000.0
Research And Development,3685214000.0,4467470000.0,4765360000.0,2839862000.0
Selling General And Administration,6432718000.0,6038582000.0,7441879000.0,7632359000.0
Selling And Marketing Expense,4401655000.0,3916150000.0,4920745000.0,5794853000.0
General And Administrative Expense,2031063000.0,2122432000.0,2521134000.0,1837506000.0
Other Gand A,2031063000.0,2122432000.0,2521134000.0,1837506000.0
Gross Profit,8773963000.0,5441865000.0,3849295000.0,4043147000.0
Cost Of Revenue,18057562000.0,17086122000.0,18049872000.0,15340537000.0
Total Revenue,26831525000.0,22527987000.0,21899167000.0,19383684000.0
Operating Revenue,26831525000.0,22527987000.0,21899167000.0,19383684000.0
