,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-23004750.0,-7389419.387672,-18465500.0,-72577750.0,-7335133.90914
Tax Rate For Calcs,0.25,0.107738,0.25,0.25,0.095428
Normalized EBITDA,588795000.0,880762000.0,641741000.0,375698000.0,6466000.0
Total Unusual Items,-92019000.0,-68587000.0,-73862000.0,-290311000.0,-76866000.0
Total Unusual Items Excluding Goodwill,-92019000.0,-68587000.0,-73862000.0,-290311000.0,-76866000.0
Net Income From Continuing Operation Net Minority Interest,470230000.0,219002000.0,-9102000.0,89960000.0,-79515000.0
Reconciled Depreciation,,532029000.0,534397000.0,,
Reconciled Cost Of Revenue,4867533000.0,4661844000.0,4464150000.0,4945945000.0,4758434000.0
EBITDA,496776000.0,812175000.0,567879000.0,85387000.0,-70400000.0
EBIT,496776000.0,280146000.0,33482000.0,85387000.0,-70400000.0
Net Interest Income,80391000.0,66133000.0,61602000.0,90164000.0,73455000.0
Interest Expense,42135000.0,35506000.0,32571000.0,19986000.0,17824000.0
Interest Income,122526000.0,101639000.0,94173000.0,110150000.0,91279000.0
Normalized Income,539244250.0,280199580.612328,46294500.0,307693250.0,-9984133.90914
Net Income From Continuing And Discontinued Operation,470230000.0,219002000.0,-9102000.0,89960000.0,-79515000.0
Total Expenses,7331513000.0,7086078000.0,6988240000.0,7607720000.0,7372299000.0
Total Operating Income As Reported,353948000.0,251612000.0,15008000.0,126441000.0,-66679000.0
Diluted Average Shares,454956127.0,437370780.0,420086397.0,424208294.0,417849446.0
Basic Average Shares,417467814.0,419443582.0,420086397.0,417829038.0,417849446.0
Diluted EPS,1.05,0.51,-0.02,0.21,-0.19
Basic EPS,1.13,0.52,-0.02,0.22,-0.19
Diluted NI Availto Com Stockholders,470230000.0,219002000.0,-9102000.0,89960000.0,-79515000.0
Net Income Common Stockholders,470230000.0,219002000.0,-9102000.0,89960000.0,-79515000.0
Net Income,470230000.0,219002000.0,-9102000.0,89960000.0,-79515000.0
Minority Interests,829000.0,719000.0,1575000.0,1026000.0,290000.0
Net Income Including Noncontrolling Interests,469401000.0,218283000.0,-10677000.0,88934000.0,-79805000.0
Net Income Continuous Operations,469401000.0,218283000.0,-10677000.0,88934000.0,-79805000.0
Tax Provision,-14760000.0,26357000.0,11588000.0,-23533000.0,-8419000.0
Pretax Income,454641000.0,244640000.0,911000.0,65401000.0,-88224000.0
Other Income Expense,20302000.0,-73105000.0,-75699000.0,-151204000.0,-95000000.0
Other Non Operating Income Expenses,112321000.0,-4518000.0,-1837000.0,139107000.0,-18134000.0
Special Income Charges,0.0,-2000.0,0.0,-17649000.0,0.0
Other Special Charges,,2000.0,,17649000.0,
Gain On Sale Of Security,-92019000.0,-68585000.0,-73862000.0,-272662000.0,-76866000.0
Net Non Operating Interest Income Expense,80391000.0,66133000.0,61602000.0,90164000.0,73455000.0
Interest Expense Non Operating,42135000.0,35506000.0,32571000.0,19986000.0,17824000.0
Interest Income Non Operating,122526000.0,101639000.0,94173000.0,110150000.0,91279000.0
Operating Income,353948000.0,251612000.0,15008000.0,126441000.0,-66679000.0
Operating Expense,2463980000.0,2424234000.0,2524090000.0,2661775000.0,2613865000.0
Research And Development,904537000.0,866414000.0,841477000.0,919321000.0,906072000.0
Selling General And Administration,1559443000.0,1557820000.0,1682613000.0,1742454000.0,1707793000.0
Selling And Marketing Expense,1050774000.0,1048189000.0,1166975000.0,1236593000.0,1202407000.0
General And Administrative Expense,508669000.0,509631000.0,515638000.0,505861000.0,505386000.0
Other Gand A,508669000.0,509631000.0,515638000.0,505861000.0,505386000.0
Gross Profit,2817928000.0,2675846000.0,2539098000.0,2788216000.0,2547186000.0
Cost Of Revenue,4867533000.0,4661844000.0,4464150000.0,4945945000.0,4758434000.0
Total Revenue,7685461000.0,7337690000.0,7003248000.0,7734161000.0,7305620000.0
Operating Revenue,7685461000.0,7337690000.0,7003248000.0,7734161000.0,7305620000.0
