,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.151786,0.099019,0.193691,0.21
Normalized EBITDA,193836000.0,265941000.0,111002000.0,13094000.0
Net Income From Continuing Operation Net Minority Interest,107741000.0,183746000.0,48568000.0,-50160000.0
Reconciled Depreciation,55756000.0,54933000.0,44465000.0,34629000.0
Reconciled Cost Of Revenue,686957000.0,515531000.0,409908000.0,346743000.0
EBITDA,193836000.0,265941000.0,111002000.0,13094000.0
EBIT,138080000.0,211008000.0,66537000.0,-21535000.0
Net Interest Income,183365000.0,148253000.0,97157000.0,18396000.0
Interest Expense,11059000.0,7068000.0,6302000.0,16535000.0
Interest Income,194424000.0,155321000.0,103459000.0,34931000.0
Normalized Income,107741000.0,183746000.0,48568000.0,-50160000.0
Net Income From Continuing And Discontinued Operation,107741000.0,183746000.0,48568000.0,-50160000.0
Total Expenses,3471531000.0,2629991000.0,2161823000.0,1733795000.0
Total Operating Income As Reported,-44373000.0,54284000.0,-33464000.0,-58695000.0
Diluted Average Shares,363472000.0,358636000.0,350292000.0,315410000.0
Basic Average Shares,347309000.0,336172000.0,324033000.0,315410000.0
Diluted EPS,0.31,0.52,0.14,-0.16
Basic EPS,0.31,0.55,0.15,-0.16
Diluted NI Availto Com Stockholders,107741000.0,183746000.0,48568000.0,-50160000.0
Net Income Common Stockholders,107741000.0,183746000.0,48568000.0,-50160000.0
Net Income,107741000.0,183746000.0,48568000.0,-50160000.0
Net Income Including Noncontrolling Interests,107741000.0,183746000.0,48568000.0,-50160000.0
Net Income Continuous Operations,107741000.0,183746000.0,48568000.0,-50160000.0
Tax Provision,19280000.0,20194000.0,11667000.0,12090000.0
Pretax Income,127021000.0,203940000.0,60235000.0,-38070000.0
Other Income Expense,-11971000.0,1403000.0,-3458000.0,2229000.0
Other Non Operating Income Expenses,-11971000.0,1403000.0,-3458000.0,2229000.0
Net Non Operating Interest Income Expense,183365000.0,148253000.0,97157000.0,18396000.0
Interest Expense Non Operating,11059000.0,7068000.0,6302000.0,16535000.0
Interest Income Non Operating,194424000.0,155321000.0,103459000.0,34931000.0
Operating Income,-44373000.0,54284000.0,-33464000.0,-58695000.0
Operating Expense,2784574000.0,2114460000.0,1751915000.0,1387052000.0
Research And Development,1548451000.0,1152703000.0,962447000.0,752351000.0
Selling General And Administration,1236123000.0,961757000.0,789468000.0,634701000.0
Selling And Marketing Expense,956423000.0,756605000.0,609276000.0,495288000.0
General And Administrative Expense,279700000.0,205152000.0,180192000.0,139413000.0
Other Gand A,279700000.0,205152000.0,180192000.0,139413000.0
Gross Profit,2740201000.0,2168744000.0,1718451000.0,1328357000.0
Cost Of Revenue,686957000.0,515531000.0,409908000.0,346743000.0
Total Revenue,3427158000.0,2684275000.0,2128359000.0,1675100000.0
Operating Revenue,3427158000.0,2684275000.0,2128359000.0,1675100000.0
