,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,-288330.0,0.0,0.0,
Tax Rate For Calcs,0.1291,0.049962,0.21,0.224997,0.152937,
Normalized EBITDA,77257000.0,52090000.0,21722000.0,44140000.0,74847000.0,
Total Unusual Items,,0.0,-1373000.0,,,0.0
Total Unusual Items Excluding Goodwill,,0.0,-1373000.0,,,0.0
Net Income From Continuing Operation Net Minority Interest,46567000.0,33885000.0,2647000.0,24642000.0,45594000.0,
Reconciled Depreciation,16631000.0,15048000.0,12877000.0,11200000.0,15706000.0,
Reconciled Cost Of Revenue,186894000.0,161686000.0,153289000.0,146631000.0,144178000.0,
EBITDA,77257000.0,52090000.0,20349000.0,44140000.0,74847000.0,
EBIT,60626000.0,37042000.0,7472000.0,32940000.0,59141000.0,
Net Interest Income,44729000.0,43194000.0,47678000.0,47764000.0,39920000.0,
Interest Expense,7156000.0,1375000.0,1384000.0,1144000.0,5315000.0,
Interest Income,47329000.0,45615000.0,50753000.0,50727000.0,42563000.0,
Normalized Income,46567000.0,33885000.0,3731670.0,24642000.0,45594000.0,
Net Income From Continuing And Discontinued Operation,46567000.0,33885000.0,2647000.0,24642000.0,45594000.0,
Total Expenses,945211000.0,891460000.0,860887000.0,773973000.0,728335000.0,
Total Operating Income As Reported,9356000.0,-5809000.0,-35500000.0,-12420000.0,9392000.0,
Diluted Average Shares,365516000.0,362001000.0,358725000.0,363078000.0,360940000.0,
Basic Average Shares,350892000.0,348645000.0,346185000.0,343097000.0,340320000.0,
Diluted EPS,0.13,0.1,0.01,0.07,0.13,
Basic EPS,0.13,0.1,0.01,0.07,0.13,
Diluted NI Availto Com Stockholders,46567000.0,33885000.0,2647000.0,24642000.0,45594000.0,
Net Income Common Stockholders,46567000.0,33885000.0,2647000.0,24642000.0,45594000.0,
Net Income,46567000.0,33885000.0,2647000.0,24642000.0,45594000.0,
Net Income Including Noncontrolling Interests,46567000.0,33885000.0,2647000.0,24642000.0,45594000.0,
Net Income Continuous Operations,46567000.0,33885000.0,2647000.0,24642000.0,45594000.0,
Tax Provision,6903000.0,1782000.0,3441000.0,7154000.0,8232000.0,
Pretax Income,53470000.0,35667000.0,6088000.0,31796000.0,53826000.0,
Other Income Expense,758000.0,-1718000.0,-7463000.0,-3548000.0,4514000.0,
Other Non Operating Income Expenses,-615000.0,-1718000.0,-6090000.0,-3548000.0,4514000.0,
Special Income Charges,,0.0,-1373000.0,,,0.0
Restructuring And Mergern Acquisition,,0.0,1373000.0,,,0.0
Net Non Operating Interest Income Expense,44729000.0,43194000.0,47678000.0,47764000.0,39920000.0,
Total Other Finance Cost,,1046000.0,1691000.0,1819000.0,,912000.0
Interest Expense Non Operating,7156000.0,1375000.0,1384000.0,1144000.0,5315000.0,
Interest Income Non Operating,47329000.0,45615000.0,50753000.0,50727000.0,42563000.0,
Operating Income,7983000.0,-5809000.0,-34127000.0,-12420000.0,9392000.0,
Operating Expense,758317000.0,715003000.0,694909000.0,616345000.0,584157000.0,
Depreciation Amortization Depletion Income Statement,,277000.0,188000.0,203000.0,,208000.0
Depreciation And Amortization In Income Statement,,277000.0,188000.0,203000.0,,208000.0
Amortization,,277000.0,188000.0,203000.0,,208000.0
Amortization Of Intangibles Income Statement,,277000.0,188000.0,203000.0,,208000.0
Research And Development,417926000.0,401982000.0,387482000.0,341061000.0,316314000.0,
Selling General And Administration,341059000.0,312744000.0,307239000.0,275081000.0,268461000.0,
Selling And Marketing Expense,265045000.0,238452000.0,238838000.0,214088000.0,208565000.0,
General And Administrative Expense,76014000.0,74292000.0,68401000.0,60993000.0,59896000.0,
Other Gand A,76014000.0,74292000.0,68401000.0,60993000.0,59896000.0,
Gross Profit,766300000.0,709194000.0,660782000.0,603925000.0,593549000.0,
Cost Of Revenue,186894000.0,176457000.0,165978000.0,157628000.0,144178000.0,
Total Revenue,953194000.0,885651000.0,826760000.0,761553000.0,737727000.0,
Operating Revenue,953194000.0,885651000.0,826760000.0,761553000.0,737727000.0,
