,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-49910292.0,3504235.053253,-16184490.0,-219497880.0,
Tax Rate For Calcs,0.339,0.261686,0.21,0.21,
Normalized EBITDA,514247000.0,519264000.0,475254000.0,494120000.0,
Total Unusual Items,-147228000.0,13391000.0,-77069000.0,-1045228000.0,
Total Unusual Items Excluding Goodwill,-147228000.0,13391000.0,-77069000.0,-1045228000.0,
Net Income From Continuing Operation Net Minority Interest,162982000.0,303281000.0,307568000.0,-694288000.0,
Reconciled Depreciation,101845000.0,108074000.0,91323000.0,96702000.0,
Reconciled Cost Of Revenue,817800000.0,774554000.0,828675000.0,744592000.0,
EBITDA,367019000.0,532655000.0,398185000.0,-551108000.0,
EBIT,265174000.0,424581000.0,306862000.0,-647810000.0,
Net Interest Income,25980000.0,17176000.0,21957000.0,-3212000.0,
Interest Expense,18509000.0,13806000.0,14042000.0,14168000.0,
Interest Income,44489000.0,30982000.0,35999000.0,10956000.0,
Normalized Income,260299708.0,293394235.053253,368452510.0,131442120.0,
Net Income From Continuing And Discontinued Operation,162982000.0,303281000.0,307568000.0,-694288000.0,
Total Expenses,2515588000.0,2428124000.0,2400445000.0,2179649000.0,
Total Operating Income As Reported,266210000.0,380208000.0,279841000.0,-658560000.0,
Diluted Average Shares,,131721000.0,140145406.0,126778626.0,146683324.0
Basic Average Shares,,114944000.0,122503366.0,126778626.0,127224974.0
Diluted EPS,,2.35,2.24,-5.48,3.4
Basic EPS,,2.64,2.51,-5.48,3.88
Diluted NI Availto Com Stockholders,173107000.0,309606000.0,313904000.0,-694288000.0,
Average Dilution Earnings,10125000.0,6325000.0,6336000.0,0.0,
Net Income Common Stockholders,162982000.0,303281000.0,307568000.0,-694288000.0,
Net Income,162982000.0,303281000.0,307568000.0,-694288000.0,
Net Income Including Noncontrolling Interests,162982000.0,303281000.0,307568000.0,-694288000.0,
Net Income Continuous Operations,162982000.0,303281000.0,307568000.0,-694288000.0,
Tax Provision,83683000.0,107494000.0,-14748000.0,32310000.0,
Pretax Income,246665000.0,410775000.0,292820000.0,-661978000.0,
Other Income Expense,-147228000.0,13391000.0,-77069000.0,-1045228000.0,
Special Income Charges,-106800000.0,0.0,-70721000.0,-1045022000.0,
Gain On Sale Of Business,-5097000.0,0.0,-2630000.0,0.0,
Impairment Of Capital Assets,101703000.0,0.0,68091000.0,1045022000.0,
Gain On Sale Of Security,-40428000.0,13391000.0,-6348000.0,-206000.0,
Net Non Operating Interest Income Expense,25980000.0,17176000.0,21957000.0,-3212000.0,
Interest Expense Non Operating,18509000.0,13806000.0,14042000.0,14168000.0,
Interest Income Non Operating,44489000.0,30982000.0,35999000.0,10956000.0,
Operating Income,367913000.0,380208000.0,347932000.0,386462000.0,
Operating Expense,1697788000.0,1653570000.0,1571770000.0,1435057000.0,
Research And Development,450192000.0,443056000.0,469332000.0,412398000.0,
Selling General And Administration,1247596000.0,1210514000.0,1102438000.0,1022659000.0,
Selling And Marketing Expense,914830000.0,856565000.0,759196000.0,710399000.0,
General And Administrative Expense,332766000.0,353949000.0,343242000.0,312260000.0,
Other Gand A,332766000.0,353949000.0,343242000.0,312260000.0,
Gross Profit,2065701000.0,2033778000.0,1919702000.0,1821519000.0,
Cost Of Revenue,817800000.0,774554000.0,828675000.0,744592000.0,
Total Revenue,2883501000.0,2808332000.0,2748377000.0,2566111000.0,
Operating Revenue,2883501000.0,2808332000.0,2748377000.0,2566111000.0,
