,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,307888000.0,205118000.0,90471000.0,35273000.0,304495000.0,
Repurchase Of Capital Stock,-133229000.0,-119818000.0,-334675000.0,-189177000.0,-259585000.0,
Repayment Of Debt,-1568000.0,-1549000.0,-1531000.0,-1514000.0,-1500000.0,
Issuance Of Debt,0.0,0.0,,,,
Capital Expenditure,-9236000.0,-13852000.0,-17666000.0,-13910000.0,-10464000.0,
Income Tax Paid Supplemental Data,,5575000.0,,,30741000.0,23522000.0
End Cash Position,1404360000.0,1250902000.0,1183357000.0,649191000.0,811178000.0,
Beginning Cash Position,1250902000.0,1183357000.0,649191000.0,811178000.0,818939000.0,
Effect Of Exchange Rate Changes,1075000.0,-754000.0,22953000.0,14288000.0,-24003000.0,
Changes In Cash,152383000.0,68299000.0,511213000.0,-176275000.0,16242000.0,
Financing Cash Flow,-165293000.0,-126654000.0,326854000.0,-204782000.0,-282375000.0,
Cash Flow From Continuing Financing Activities,-165293000.0,-126654000.0,326854000.0,-204782000.0,-282375000.0,
Net Other Financing Charges,-32832000.0,-14964000.0,-39649000.0,-17036000.0,-21367000.0,
Proceeds From Stock Option Exercised,2336000.0,9677000.0,2709000.0,2945000.0,77000.0,
Net Common Stock Issuance,-133229000.0,-119818000.0,-334675000.0,-189177000.0,-259585000.0,
Common Stock Payments,-133229000.0,-119818000.0,-334675000.0,-189177000.0,-259585000.0,
Net Issuance Payments Of Debt,-1568000.0,-1549000.0,698469000.0,-1514000.0,-1500000.0,
Net Long Term Debt Issuance,-1568000.0,-1549000.0,698469000.0,-1514000.0,-1500000.0,
Long Term Debt Payments,-1568000.0,-1549000.0,-1531000.0,-1514000.0,-1500000.0,
Long Term Debt Issuance,0.0,0.0,,,,
Investing Cash Flow,552000.0,-24017000.0,76222000.0,-20676000.0,-16342000.0,
Cash Flow From Continuing Investing Activities,552000.0,-24017000.0,76222000.0,-20676000.0,-16342000.0,
Net Investment Purchase And Sale,9788000.0,-10165000.0,-6597000.0,-6766000.0,-5878000.0,
Sale Of Investment,85279000.0,43356000.0,74015000.0,110192000.0,57950000.0,
Purchase Of Investment,-75491000.0,-53521000.0,-80612000.0,-116958000.0,-63828000.0,
Net Business Purchase And Sale,0.0,0.0,,,,
Sale Of Business,0.0,0.0,,,,
Net Intangibles Purchase And Sale,-7970000.0,-9844000.0,-10802000.0,-10662000.0,-6430000.0,
Purchase Of Intangibles,-7970000.0,-9844000.0,-10802000.0,-10662000.0,-6430000.0,
Net PPE Purchase And Sale,-1266000.0,-4008000.0,-6864000.0,-3248000.0,-4034000.0,
Purchase Of PPE,-1266000.0,-4008000.0,-6864000.0,-3248000.0,-4034000.0,
Operating Cash Flow,317124000.0,218970000.0,108137000.0,49183000.0,314959000.0,
Cash Flow From Continuing Operating Activities,317124000.0,218970000.0,108137000.0,49183000.0,314959000.0,
Change In Working Capital,99851000.0,32063000.0,-27572000.0,-105034000.0,106301000.0,
Change In Other Current Liabilities,94417000.0,82766000.0,-20399000.0,-155319000.0,164911000.0,
Change In Other Current Assets,12151000.0,-50703000.0,-7173000.0,50285000.0,-137174000.0,
Other Non Cash Items,-1558000.0,1885000.0,18914000.0,15369000.0,-16896000.0,
Stock Based Compensation,63355000.0,60772000.0,58510000.0,62108000.0,68155000.0,
Provisionand Write Offof Assets,1906000.0,2192000.0,2523000.0,2385000.0,1809000.0,
Asset Impairment Charge,0.0,0.0,0.0,101703000.0,0.0,
Deferred Tax,17941000.0,22292000.0,1524000.0,-2542000.0,-718000.0,
Deferred Income Tax,17941000.0,22292000.0,1524000.0,-2542000.0,-718000.0,
Depreciation Amortization Depletion,24894000.0,24263000.0,25398000.0,27290000.0,26402000.0,
Depreciation And Amortization,24894000.0,24263000.0,25398000.0,27290000.0,26402000.0,
Gain Loss On Sale Of Business,,,,,0.0,
Net Income From Continuing Operations,110735000.0,75503000.0,28840000.0,-52096000.0,129906000.0,
