,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,25303.971394,139916.533637,-6413610.0,-21357630.0,3636376.649302,
Tax Rate For Calcs,0.190255,0.180073,0.21,0.21,0.271554,
Normalized EBITDA,167161000.0,121256000.0,110858000.0,208369000.0,212516000.0,
Total Unusual Items,133000.0,777000.0,-30541000.0,-101703000.0,13391000.0,
Total Unusual Items Excluding Goodwill,133000.0,777000.0,-30541000.0,-101703000.0,13391000.0,
Net Income From Continuing Operation Net Minority Interest,110735000.0,75503000.0,28840000.0,-52096000.0,129906000.0,
Reconciled Depreciation,24894000.0,24263000.0,25398000.0,27290000.0,26402000.0,
Reconciled Cost Of Revenue,237546000.0,194645000.0,193548000.0,192061000.0,217691000.0,
EBITDA,167294000.0,122033000.0,80317000.0,106666000.0,225907000.0,
EBIT,142400000.0,97770000.0,54919000.0,79376000.0,199505000.0,
Net Interest Income,7223000.0,8597000.0,5258000.0,,,
Interest Expense,5647000.0,5685000.0,3773000.0,,,
Interest Income,12870000.0,14282000.0,9031000.0,,,
Normalized Income,110627303.971394,74865916.533637,52967390.0,28249370.0,120151376.649302,
Net Income From Continuing And Discontinued Operation,110735000.0,75503000.0,28840000.0,-52096000.0,129906000.0,
Total Expenses,752239000.0,595315000.0,596234000.0,571800000.0,697030000.0,
Total Operating Income As Reported,129397000.0,82711000.0,76429000.0,-22327000.0,155132000.0,
Diluted Average Shares,,124957000.0,121514000.0,107084000.0,127245000.0,130748000.0
Basic Average Shares,,99334000.0,103212000.0,107084000.0,110630000.0,114181000.0
Diluted EPS,,0.63,0.25,-0.49,1.03,0.45
Basic EPS,,0.76,0.28,-0.49,1.17,0.5
Diluted NI Availto Com Stockholders,118600000.0,78836000.0,30713000.0,-52096000.0,131476000.0,
Average Dilution Earnings,7865000.0,3333000.0,1873000.0,0.0,1570000.0,
Net Income Common Stockholders,110735000.0,75503000.0,28840000.0,-52096000.0,129906000.0,
Net Income,110735000.0,75503000.0,28840000.0,-52096000.0,129906000.0,
Net Income Including Noncontrolling Interests,110735000.0,75503000.0,28840000.0,-52096000.0,129906000.0,
Net Income Continuous Operations,110735000.0,75503000.0,28840000.0,-52096000.0,129906000.0,
Tax Provision,26018000.0,16582000.0,22306000.0,18777000.0,48427000.0,
Pretax Income,136753000.0,92085000.0,51146000.0,-33319000.0,178333000.0,
Other Income Expense,133000.0,777000.0,-30541000.0,-112695000.0,6025000.0,
Other Non Operating Income Expenses,,,,-10992000.0,,-13007000.0
Special Income Charges,0.0,0.0,-5097000.0,-101703000.0,0.0,
Gain On Sale Of Business,0.0,0.0,-5097000.0,,,
Impairment Of Capital Assets,0.0,0.0,0.0,101703000.0,0.0,
Gain On Sale Of Security,133000.0,777000.0,-25444000.0,,,
Net Non Operating Interest Income Expense,7223000.0,8597000.0,5258000.0,,,
Interest Expense Non Operating,5647000.0,5685000.0,3773000.0,,,
Interest Income Non Operating,12870000.0,14282000.0,9031000.0,,,
Operating Income,129397000.0,82711000.0,76429000.0,79376000.0,155132000.0,
Operating Expense,514693000.0,400670000.0,402686000.0,379739000.0,479339000.0,
Research And Development,114442000.0,113379000.0,111861000.0,110510000.0,111466000.0,
Selling General And Administration,400251000.0,287291000.0,290825000.0,269229000.0,367873000.0,
Selling And Marketing Expense,305875000.0,207841000.0,212110000.0,189004000.0,285165000.0,
General And Administrative Expense,94376000.0,79450000.0,78715000.0,80225000.0,82708000.0,
Other Gand A,94376000.0,79450000.0,78715000.0,80225000.0,82708000.0,
Gross Profit,644090000.0,483381000.0,479115000.0,459115000.0,634471000.0,
Cost Of Revenue,237546000.0,194645000.0,193548000.0,192061000.0,217691000.0,
Total Revenue,881636000.0,678026000.0,672663000.0,651176000.0,852162000.0,
Operating Revenue,881636000.0,678026000.0,672663000.0,651176000.0,852162000.0,
