,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-44000000.0,739000000.0,-6000000.0,-872000000.0,
Repurchase Of Capital Stock,-274000000.0,-226000000.0,0.0,0.0,
Repayment Of Debt,-312000000.0,-681000000.0,-804000000.0,-1054000000.0,
Issuance Of Debt,1693000000.0,120000000.0,116000000.0,109000000.0,
Issuance Of Capital Stock,,,0.0,0.0,463000000.0
Capital Expenditure,-123000000.0,-113000000.0,-92000000.0,-74000000.0,
End Cash Position,3433000000.0,2964000000.0,3138000000.0,1952000000.0,
Beginning Cash Position,2964000000.0,3138000000.0,1952000000.0,4991000000.0,
Effect Of Exchange Rate Changes,77000000.0,-24000000.0,-1000000.0,-57000000.0,
Changes In Cash,392000000.0,-150000000.0,1187000000.0,-2982000000.0,
Financing Cash Flow,1095000000.0,-771000000.0,-770000000.0,-1122000000.0,
Cash Flow From Continuing Financing Activities,1095000000.0,-771000000.0,-770000000.0,-1122000000.0,
Net Other Financing Charges,-10000000.0,25000000.0,-18000000.0,-25000000.0,
Interest Paid Cff,-26000000.0,-34000000.0,-80000000.0,-160000000.0,
Proceeds From Stock Option Exercised,24000000.0,25000000.0,16000000.0,8000000.0,
Cash Dividends Paid,0.0,0.0,0.0,0.0,
Net Preferred Stock Issuance,,,0.0,0.0,463000000.0
Preferred Stock Issuance,,,0.0,0.0,463000000.0
Net Common Stock Issuance,-274000000.0,-226000000.0,0.0,0.0,
Common Stock Payments,-274000000.0,-226000000.0,0.0,0.0,
Net Issuance Payments Of Debt,1381000000.0,-561000000.0,-688000000.0,-945000000.0,
Net Long Term Debt Issuance,1381000000.0,-561000000.0,-688000000.0,-945000000.0,
Long Term Debt Payments,-312000000.0,-681000000.0,-804000000.0,-1054000000.0,
Long Term Debt Issuance,1693000000.0,120000000.0,116000000.0,109000000.0,
Investing Cash Flow,-782000000.0,-231000000.0,1871000000.0,-1062000000.0,
Cash Flow From Continuing Investing Activities,-782000000.0,-231000000.0,1871000000.0,-1062000000.0,
Net Other Investing Changes,,93000000.0,,-98000000.0,
Interest Received Cfi,171000000.0,191000000.0,183000000.0,55000000.0,
Dividends Received Cfi,7000000.0,0.0,0.0,,
Net Investment Purchase And Sale,-609000000.0,-362000000.0,1752000000.0,-683000000.0,
Purchase Of Investment,,,,-683000000.0,-2717000000.0
Net Business Purchase And Sale,-244000000.0,-66000000.0,0.0,-274000000.0,
Sale Of Business,1000000.0,0.0,0.0,3000000.0,
Purchase Of Business,-245000000.0,-66000000.0,0.0,-277000000.0,
Net Intangibles Purchase And Sale,-26000000.0,-36000000.0,-21000000.0,-16000000.0,
Purchase Of Intangibles,-26000000.0,-36000000.0,-21000000.0,-16000000.0,
Net PPE Purchase And Sale,-81000000.0,-51000000.0,-43000000.0,-46000000.0,
Sale Of PPE,16000000.0,26000000.0,28000000.0,12000000.0,
Purchase Of PPE,-97000000.0,-77000000.0,-71000000.0,-58000000.0,
Operating Cash Flow,79000000.0,852000000.0,86000000.0,-798000000.0,
Cash Flow From Continuing Operating Activities,79000000.0,852000000.0,86000000.0,-798000000.0,
Taxes Refund Paid,-89000000.0,-58000000.0,-45000000.0,-26000000.0,
Change In Working Capital,-431000000.0,563000000.0,139000000.0,-23000000.0,
Change In Other Working Capital,239000000.0,825000000.0,342000000.0,3000000.0,
Change In Other Current Liabilities,,,364000000.0,3000000.0,0.0
Change In Payables And Accrued Expense,40000000.0,120000000.0,-7000000.0,128000000.0,
Change In Payable,40000000.0,120000000.0,-7000000.0,128000000.0,
Change In Account Payable,40000000.0,120000000.0,-7000000.0,128000000.0,
Change In Inventory,-9000000.0,-9000000.0,-1000000.0,6000000.0,
Change In Receivables,-701000000.0,-373000000.0,-195000000.0,-160000000.0,
Changes In Account Receivables,-10000000.0,-97000000.0,-11000000.0,-50000000.0,
Other Non Cash Items,-169000000.0,-81000000.0,-99000000.0,59000000.0,
Stock Based Compensation,241000000.0,279000000.0,304000000.0,412000000.0,
Unrealized Gain Loss On Investment Securities,-34000000.0,,39000000.0,294000000.0,-37000000.0
Provisionand Write Offof Assets,-18000000.0,4000000.0,1000000.0,3000000.0,
Asset Impairment Charge,140000000.0,95000000.0,72000000.0,64000000.0,
Depreciation Amortization Depletion,177000000.0,147000000.0,145000000.0,150000000.0,
Depreciation And Amortization,177000000.0,147000000.0,145000000.0,150000000.0,
Amortization Cash Flow,32000000.0,25000000.0,17000000.0,21000000.0,
Amortization Of Intangibles,32000000.0,25000000.0,17000000.0,21000000.0,
Depreciation,145000000.0,122000000.0,128000000.0,129000000.0,
Operating Gains Losses,-7000000.0,-2000000.0,-4000000.0,3000000.0,
Earnings Losses From Equity Investments,-1000000.0,8000000.0,7000000.0,8000000.0,
Gain Loss On Investment Securities,-7000000.0,,,,
Gain Loss On Sale Of PPE,1000000.0,-10000000.0,-11000000.0,-3000000.0,
Gain Loss On Sale Of Business,,0.0,0.0,-2000000.0,-2000000.0
Net Income From Continuing Operations,269000000.0,-95000000.0,-466000000.0,-1734000000.0,
