,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-19494423.791822,-41760000.0,-39840000.0,-87360000.0,
Tax Rate For Calcs,0.256506,0.24,0.24,0.24,
Normalized EBITDA,593000000.0,267000000.0,-56000000.0,-1055000000.0,
Total Unusual Items,-76000000.0,-174000000.0,-166000000.0,-364000000.0,
Total Unusual Items Excluding Goodwill,-76000000.0,-174000000.0,-166000000.0,-364000000.0,
Net Income From Continuing Operation Net Minority Interest,268000000.0,-105000000.0,-434000000.0,-1683000000.0,
Reconciled Depreciation,177000000.0,147000000.0,145000000.0,150000000.0,
Reconciled Cost Of Revenue,1914000000.0,1623000000.0,1499000000.0,1356000000.0,
EBITDA,517000000.0,93000000.0,-222000000.0,-1419000000.0,
EBIT,340000000.0,-54000000.0,-367000000.0,-1569000000.0,
Net Interest Income,127000000.0,146000000.0,98000000.0,-58000000.0,
Interest Expense,71000000.0,41000000.0,99000000.0,165000000.0,
Interest Income,167000000.0,187000000.0,197000000.0,107000000.0,
Normalized Income,324505576.208178,27240000.0,-307840000.0,-1406360000.0,
Net Income From Continuing And Discontinued Operation,268000000.0,-105000000.0,-434000000.0,-1683000000.0,
Total Expenses,3148000000.0,2852000000.0,2746000000.0,2728000000.0,
Total Operating Income As Reported,65000000.0,-168000000.0,-519000000.0,-1373000000.0,
Diluted Average Shares,4466666667.0,3995237000.0,3894724000.0,3814492000.0,
Basic Average Shares,4092151000.0,3995237000.0,3894724000.0,3814492000.0,
Diluted EPS,0.06,-0.03,-0.11,-0.44,
Basic EPS,0.07,-0.03,-0.11,-0.44,
Diluted NI Availto Com Stockholders,268000000.0,-105000000.0,-434000000.0,-1683000000.0,
Net Income Common Stockholders,268000000.0,-105000000.0,-434000000.0,-1683000000.0,
Net Income,268000000.0,-105000000.0,-434000000.0,-1683000000.0,
Minority Interests,68000000.0,53000000.0,51000000.0,57000000.0,
Net Income Including Noncontrolling Interests,200000000.0,-158000000.0,-485000000.0,-1740000000.0,
Net Income Continuous Operations,200000000.0,-158000000.0,-485000000.0,-1740000000.0,
Tax Provision,69000000.0,63000000.0,19000000.0,6000000.0,
Pretax Income,269000000.0,-95000000.0,-466000000.0,-1734000000.0,
Other Income Expense,-80000000.0,-186000000.0,-177000000.0,-381000000.0,
Other Non Operating Income Expenses,-5000000.0,-4000000.0,-4000000.0,-9000000.0,
Special Income Charges,-152000000.0,-109000000.0,-128000000.0,-69000000.0,
Write Off,140000000.0,95000000.0,72000000.0,58000000.0,
Impairment Of Capital Assets,,0.0,0.0,3000000.0,8000000.0
Restructuring And Mergern Acquisition,12000000.0,14000000.0,56000000.0,8000000.0,
Earnings From Equity Interest,1000000.0,-8000000.0,-7000000.0,-8000000.0,
Gain On Sale Of Security,76000000.0,-65000000.0,-38000000.0,-295000000.0,
Net Non Operating Interest Income Expense,127000000.0,146000000.0,98000000.0,-58000000.0,
Total Other Finance Cost,-31000000.0,,,,353000000.0
Interest Expense Non Operating,71000000.0,41000000.0,99000000.0,165000000.0,
Interest Income Non Operating,167000000.0,187000000.0,197000000.0,107000000.0,
Operating Income,222000000.0,-55000000.0,-387000000.0,-1295000000.0,
Operating Expense,1234000000.0,1229000000.0,1247000000.0,1372000000.0,
Other Operating Expenses,-20000000.0,-17000000.0,-17000000.0,-17000000.0,
Research And Development,428000000.0,410000000.0,421000000.0,465000000.0,
Selling General And Administration,826000000.0,836000000.0,843000000.0,924000000.0,
Selling And Marketing Expense,367000000.0,324000000.0,293000000.0,278000000.0,
General And Administrative Expense,459000000.0,512000000.0,550000000.0,646000000.0,
Other Gand A,459000000.0,512000000.0,550000000.0,646000000.0,
Gross Profit,1456000000.0,1174000000.0,860000000.0,77000000.0,
Cost Of Revenue,1914000000.0,1623000000.0,1499000000.0,1356000000.0,
Total Revenue,3370000000.0,2797000000.0,2359000000.0,1433000000.0,
Operating Revenue,3370000000.0,2797000000.0,2359000000.0,1433000000.0,
