,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,17000000.0,-159000000.0,51000000.0,47000000.0,209000000.0,
Repurchase Of Capital Stock,0.0,0.0,-274000000.0,0.0,-37000000.0,
Repayment Of Debt,-89000000.0,-90000000.0,-75000000.0,-56000000.0,-52000000.0,
Issuance Of Debt,39000000.0,63000000.0,1558000000.0,32000000.0,26000000.0,
Capital Expenditure,-52000000.0,-32000000.0,-12000000.0,-26000000.0,-44000000.0,
End Cash Position,3433000000.0,3280000000.0,3880000000.0,2828000000.0,2964000000.0,
Beginning Cash Position,3280000000.0,3880000000.0,2828000000.0,2964000000.0,2885000000.0,
Effect Of Exchange Rate Changes,28000000.0,-15000000.0,61000000.0,4000000.0,-118000000.0,
Changes In Cash,125000000.0,-585000000.0,991000000.0,-140000000.0,197000000.0,
Financing Cash Flow,-39000000.0,-51000000.0,1185000000.0,0.0,-64000000.0,
Cash Flow From Continuing Financing Activities,-39000000.0,-51000000.0,1185000000.0,0.0,-64000000.0,
Net Other Financing Charges,15000000.0,-23000000.0,-21000000.0,20000000.0,4000000.0,
Interest Paid Cff,-7000000.0,-7000000.0,-11000000.0,-2000000.0,-11000000.0,
Proceeds From Stock Option Exercised,3000000.0,6000000.0,8000000.0,6000000.0,6000000.0,
Cash Dividends Paid,0.0,0.0,0.0,0.0,0.0,
Net Common Stock Issuance,0.0,0.0,-274000000.0,0.0,-37000000.0,
Common Stock Payments,0.0,0.0,-274000000.0,0.0,-37000000.0,
Net Issuance Payments Of Debt,-50000000.0,-27000000.0,1483000000.0,-24000000.0,-26000000.0,
Net Long Term Debt Issuance,-50000000.0,-27000000.0,1483000000.0,-24000000.0,-26000000.0,
Long Term Debt Payments,-89000000.0,-90000000.0,-75000000.0,-56000000.0,-52000000.0,
Long Term Debt Issuance,39000000.0,63000000.0,1558000000.0,32000000.0,26000000.0,
Investing Cash Flow,95000000.0,-407000000.0,-257000000.0,-213000000.0,8000000.0,
Cash Flow From Continuing Investing Activities,96000000.0,-408000000.0,-257000000.0,-213000000.0,8000000.0,
Net Other Investing Changes,,1000000.0,,,1000000.0,92000000.0
Interest Received Cfi,31000000.0,49000000.0,51000000.0,40000000.0,36000000.0,
Dividends Received Cfi,1000000.0,0.0,6000000.0,,,
Net Investment Purchase And Sale,200000000.0,-365000000.0,-258000000.0,-186000000.0,29000000.0,
Purchase Of Investment,,,-258000000.0,,,
Net Business Purchase And Sale,-90000000.0,-64000000.0,-45000000.0,-45000000.0,-22000000.0,
Purchase Of Business,-91000000.0,-64000000.0,-45000000.0,-45000000.0,-22000000.0,
Net Intangibles Purchase And Sale,-7000000.0,-5000000.0,-4000000.0,-10000000.0,-15000000.0,
Purchase Of Intangibles,-7000000.0,-5000000.0,-4000000.0,-10000000.0,-15000000.0,
Net PPE Purchase And Sale,-39000000.0,-23000000.0,-7000000.0,-12000000.0,-21000000.0,
Sale Of PPE,6000000.0,4000000.0,1000000.0,4000000.0,8000000.0,
Purchase Of PPE,-45000000.0,-27000000.0,-8000000.0,-16000000.0,-29000000.0,
Operating Cash Flow,69000000.0,-127000000.0,63000000.0,73000000.0,253000000.0,
Cash Flow From Continuing Operating Activities,69000000.0,-127000000.0,63000000.0,73000000.0,253000000.0,
Taxes Refund Paid,-24000000.0,-26000000.0,-26000000.0,-15000000.0,-32000000.0,
Change In Working Capital,-68000000.0,-269000000.0,-48000000.0,-45000000.0,170000000.0,
Change In Other Working Capital,250000000.0,-216000000.0,25000000.0,181000000.0,201000000.0,
Change In Payables And Accrued Expense,73000000.0,73000000.0,-21000000.0,-85000000.0,37000000.0,
Change In Payable,73000000.0,73000000.0,-21000000.0,-85000000.0,37000000.0,
Change In Account Payable,,,-21000000.0,-85000000.0,,
Change In Inventory,-6000000.0,-4000000.0,3000000.0,-2000000.0,-2000000.0,
Change In Receivables,-385000000.0,-122000000.0,-55000000.0,-139000000.0,-66000000.0,
Changes In Account Receivables,-3000000.0,29000000.0,53000000.0,-89000000.0,4000000.0,
Other Non Cash Items,-51000000.0,-21000000.0,-29000000.0,-67000000.0,6000000.0,
Stock Based Compensation,45000000.0,55000000.0,61000000.0,80000000.0,49000000.0,
Unrealized Gain Loss On Investment Securities,-61000000.0,10000000.0,-6000000.0,23000000.0,,-6000000.0
Provisionand Write Offof Assets,-16000000.0,1000000.0,1000000.0,2000000.0,-4000000.0,
Asset Impairment Charge,37000000.0,37000000.0,33000000.0,33000000.0,36000000.0,
Depreciation Amortization Depletion,49000000.0,47000000.0,41000000.0,40000000.0,37000000.0,
Depreciation And Amortization,49000000.0,47000000.0,41000000.0,40000000.0,37000000.0,
Amortization Cash Flow,8000000.0,8000000.0,8000000.0,8000000.0,7000000.0,
Amortization Of Intangibles,8000000.0,8000000.0,8000000.0,8000000.0,7000000.0,
Depreciation,41000000.0,39000000.0,33000000.0,32000000.0,30000000.0,
Operating Gains Losses,-6000000.0,1000000.0,-7000000.0,-2000000.0,-1000000.0,
Earnings Losses From Equity Investments,0.0,0.0,-1000000.0,-1000000.0,3000000.0,
Gain Loss On Investment Securities,,,-6000000.0,,,
Gain Loss On Sale Of PPE,1000000.0,1000000.0,0.0,-1000000.0,-4000000.0,
Net Income From Continuing Operations,164000000.0,38000000.0,43000000.0,24000000.0,11000000.0,
