,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-1372240.0,-837900.0,-20337030.0,0.0
Tax Rate For Calcs,0.34,0.21,0.21,0.21
Normalized EBITDA,210670000.0,133216000.0,22742000.0,-36541000.0
Total Unusual Items,-4036000.0,-3990000.0,-96843000.0,0.0
Total Unusual Items Excluding Goodwill,-4036000.0,-3990000.0,-96843000.0,0.0
Net Income From Continuing Operation Net Minority Interest,45911000.0,4628000.0,-164510000.0,-107347000.0
Reconciled Depreciation,136295000.0,96828000.0,72673000.0,58150000.0
Reconciled Cost Of Revenue,508487000.0,393265000.0,338362000.0,308020000.0
EBITDA,206634000.0,129226000.0,-74101000.0,-36541000.0
EBIT,70339000.0,32398000.0,-146774000.0,-94691000.0
Net Interest Income,65342000.0,78985000.0,55027000.0,11238000.0
Interest Expense,876000.0,3721000.0,3801000.0,3762000.0
Interest Income,66218000.0,82706000.0,58828000.0,15000000.0
Normalized Income,48574760.0,7780100.0,-88004030.0,-107347000.0
Net Income From Continuing And Discontinued Operation,45911000.0,4628000.0,-164510000.0,-107347000.0
Total Expenses,3119851000.0,2691155000.0,2274316000.0,1833831000.0
Total Operating Income As Reported,7379000.0,-67602000.0,-200929000.0,-102862000.0
Diluted Average Shares,53194000.0,51819000.0,49877000.0,48065000.0
Basic Average Shares,52455000.0,51178000.0,49877000.0,48065000.0
Diluted EPS,0.86,0.09,-3.3,-2.35
Basic EPS,0.88,0.09,-3.3,-2.35
Diluted NI Availto Com Stockholders,45911000.0,4628000.0,-164510000.0,-107347000.0
Net Income Common Stockholders,45911000.0,4628000.0,-164510000.0,-107347000.0
Net Income,45911000.0,4628000.0,-164510000.0,-107347000.0
Net Income Including Noncontrolling Interests,45911000.0,4628000.0,-164510000.0,-107347000.0
Net Income Continuous Operations,45911000.0,4628000.0,-164510000.0,-107347000.0
Tax Provision,23552000.0,24049000.0,13935000.0,8894000.0
Pretax Income,69463000.0,28677000.0,-150575000.0,-98453000.0
Other Income Expense,-7294000.0,13304000.0,-101516000.0,-6829000.0
Other Non Operating Income Expenses,-3258000.0,17294000.0,-4673000.0,-6829000.0
Special Income Charges,-4036000.0,-3990000.0,-96843000.0,0.0
Restructuring And Mergern Acquisition,4036000.0,3990000.0,96843000.0,0.0
Net Non Operating Interest Income Expense,65342000.0,78985000.0,55027000.0,11238000.0
Interest Expense Non Operating,876000.0,3721000.0,3801000.0,3762000.0
Interest Income Non Operating,66218000.0,82706000.0,58828000.0,15000000.0
Operating Income,11415000.0,-63612000.0,-104086000.0,-102862000.0
Operating Expense,2611364000.0,2297890000.0,1935954000.0,1525811000.0
Research And Development,905943000.0,778714000.0,617745000.0,442022000.0
Selling General And Administration,1705421000.0,1519176000.0,1318209000.0,1083789000.0
Selling And Marketing Expense,1379376000.0,1218844000.0,1068560000.0,886069000.0
General And Administrative Expense,326045000.0,300332000.0,249649000.0,197720000.0
Other Gand A,326045000.0,300332000.0,249649000.0,197720000.0
Gross Profit,2622779000.0,2234278000.0,1831868000.0,1422949000.0
Cost Of Revenue,508487000.0,393265000.0,338362000.0,308020000.0
Total Revenue,3131266000.0,2627543000.0,2170230000.0,1730969000.0
Operating Revenue,3131266000.0,2627543000.0,2170230000.0,1730969000.0
