,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,203716000.0,142489000.0,112645000.0,117804000.0,157269000.0,
Repurchase Of Capital Stock,-14746000.0,-360269000.0,,,,
Repayment Of Debt,0.0,0.0,-369243000.0,-90568000.0,,
Capital Expenditure,-43714000.0,-44866000.0,-51717000.0,-43766000.0,-36872000.0,
Interest Paid Supplemental Data,0.0,0.0,,,860000.0,0.0
Income Tax Paid Supplemental Data,4759000.0,3912000.0,6935000.0,3705000.0,1150000.0,
End Cash Position,884945000.0,617055000.0,603899000.0,629082000.0,516720000.0,
Beginning Cash Position,617055000.0,603899000.0,629082000.0,516720000.0,414113000.0,
Effect Of Exchange Rate Changes,-476000.0,-3826000.0,21486000.0,8560000.0,-16087000.0,
Changes In Cash,268366000.0,16982000.0,-46669000.0,103802000.0,118694000.0,
Financing Cash Flow,-9466000.0,-340580000.0,-479633000.0,-80330000.0,10061000.0,
Cash Flow From Continuing Financing Activities,-9466000.0,-340580000.0,-479633000.0,-80330000.0,10061000.0,
Net Other Financing Charges,-3397000.0,-4364000.0,-4742000.0,-9070000.0,-4172000.0,
Proceeds From Stock Option Exercised,8677000.0,24053000.0,19356000.0,19308000.0,14290000.0,
Net Common Stock Issuance,-14746000.0,-360269000.0,,,,
Common Stock Payments,-14746000.0,-360269000.0,,,,
Net Issuance Payments Of Debt,0.0,0.0,-369243000.0,-90568000.0,,
Net Long Term Debt Issuance,0.0,0.0,-369243000.0,-90568000.0,,
Long Term Debt Payments,0.0,0.0,-369243000.0,-90568000.0,,
Investing Cash Flow,30402000.0,170207000.0,268602000.0,22562000.0,-85508000.0,
Cash Flow From Continuing Investing Activities,30402000.0,170207000.0,268602000.0,22562000.0,-85508000.0,
Net Other Investing Changes,,,,,0.0,0.0
Net Investment Purchase And Sale,90253000.0,216711000.0,338796000.0,117684000.0,-12141000.0,
Sale Of Investment,354188000.0,580428000.0,502450000.0,803059000.0,503046000.0,
Purchase Of Investment,-263935000.0,-363717000.0,-163654000.0,-685375000.0,-515187000.0,
Net Business Purchase And Sale,-16137000.0,-1638000.0,-18477000.0,-51356000.0,-36495000.0,
Purchase Of Business,-16137000.0,-1638000.0,-18477000.0,-51356000.0,,
Net Intangibles Purchase And Sale,5000.0,-23000.0,,,,
Purchase Of Intangibles,5000.0,-23000.0,,,,
Net PPE Purchase And Sale,-13450000.0,-10345000.0,-16025000.0,-13345000.0,-12726000.0,
Purchase Of PPE,-13450000.0,-10345000.0,-16025000.0,-13345000.0,-12726000.0,
Capital Expenditure Reported,-30269000.0,-34498000.0,-35436000.0,-30421000.0,-22915000.0,
Operating Cash Flow,247430000.0,187355000.0,164362000.0,161570000.0,194141000.0,
Cash Flow From Continuing Operating Activities,247430000.0,187355000.0,164362000.0,161570000.0,194141000.0,
Change In Working Capital,33937000.0,3166000.0,11096000.0,47321000.0,37210000.0,
Change In Other Working Capital,78629000.0,-26084000.0,2035000.0,12263000.0,54657000.0,
Change In Other Current Liabilities,-9823000.0,-8645000.0,-10204000.0,-7452000.0,-8966000.0,
Change In Other Current Assets,6573000.0,6493000.0,6391000.0,6437000.0,5836000.0,
Change In Payables And Accrued Expense,55222000.0,12751000.0,52187000.0,16810000.0,43781000.0,
Change In Accrued Expense,56354000.0,1741000.0,61100000.0,-1224000.0,49807000.0,
Change In Payable,-1132000.0,11010000.0,-8913000.0,18034000.0,-6026000.0,
Change In Account Payable,-1132000.0,11010000.0,-8913000.0,18034000.0,-6026000.0,
Change In Prepaid Assets,3149000.0,12871000.0,-23688000.0,-26392000.0,4191000.0,
Change In Receivables,-99813000.0,5780000.0,-15625000.0,45655000.0,-62289000.0,
Changes In Account Receivables,-99813000.0,5780000.0,-15625000.0,45655000.0,-62289000.0,
Other Non Cash Items,-7046000.0,-8979000.0,-10518000.0,-13348000.0,-14471000.0,
Stock Based Compensation,132399000.0,138086000.0,140975000.0,116693000.0,134388000.0,
Asset Impairment Charge,2248000.0,2075000.0,0.0,1600000.0,1212000.0,
Deferred Tax,268000.0,-56000.0,121000.0,-335000.0,3301000.0,
Deferred Income Tax,268000.0,-56000.0,121000.0,-335000.0,3301000.0,
Depreciation Amortization Depletion,38569000.0,35702000.0,33194000.0,28830000.0,28381000.0,
Depreciation And Amortization,38569000.0,35702000.0,33194000.0,28830000.0,28381000.0,
Operating Gains Losses,-7371000.0,825000.0,-7248000.0,2602000.0,-863000.0,
Gain Loss On Investment Securities,-3514000.0,-117000.0,-1754000.0,-115000.0,-2690000.0,
Net Foreign Currency Exchange Gain Loss,-3857000.0,942000.0,-5494000.0,2717000.0,1827000.0,
Net Income From Continuing Operations,54426000.0,16536000.0,-3258000.0,-21793000.0,4983000.0,
