,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-95452.510705,-300730.0,-442000.0,-226800.0,-240030.0
Tax Rate For Calcs,0.117264,0.29,0.4,0.21,0.21
Normalized EBITDA,101039000.0,59879000.0,29069000.0,20685000.0,43465000.0
Total Unusual Items,-814000.0,-1037000.0,-1105000.0,-1080000.0,-1143000.0
Total Unusual Items Excluding Goodwill,-814000.0,-1037000.0,-1105000.0,-1080000.0,-1143000.0
Net Income From Continuing Operation Net Minority Interest,54426000.0,16536000.0,-3258000.0,-21793000.0,4983000.0
Reconciled Depreciation,38569000.0,35702000.0,33194000.0,28830000.0,28381000.0
Reconciled Cost Of Revenue,137701000.0,133518000.0,122161000.0,115107000.0,103337000.0
EBITDA,100225000.0,58842000.0,27964000.0,19605000.0,42322000.0
EBIT,61656000.0,23140000.0,-5230000.0,-9225000.0,13941000.0
Net Interest Income,13112000.0,14248000.0,18063000.0,19920000.0,20880000.0
Interest Expense,0.0,4000.0,227000.0,644000.0,949000.0
Interest Income,13112000.0,14252000.0,18290000.0,20564000.0,21829000.0
Normalized Income,55144547.489295,17272270.0,-2595000.0,-20939800.0,5885970.0
Net Income From Continuing And Discontinued Operation,54426000.0,16536000.0,-3258000.0,-21793000.0,4983000.0
Total Expenses,797690000.0,797247000.0,784375000.0,740537000.0,712836000.0
Total Operating Income As Reported,48242000.0,11234000.0,-24614000.0,-27480000.0,-10801000.0
Diluted Average Shares,52457000.0,52671000.0,52696000.0,52154000.0,52242000.0
Basic Average Shares,52457000.0,52507000.0,52696000.0,52154000.0,51657000.0
Diluted EPS,1.04,0.31,-0.06,-0.42,0.09
Basic EPS,1.04,0.31,-0.06,-0.42,0.1
Diluted NI Availto Com Stockholders,54426000.0,16536000.0,-3258000.0,-21793000.0,4983000.0
Net Income Common Stockholders,54426000.0,16536000.0,-3258000.0,-21793000.0,4983000.0
Net Income,54426000.0,16536000.0,-3258000.0,-21793000.0,4983000.0
Net Income Including Noncontrolling Interests,54426000.0,16536000.0,-3258000.0,-21793000.0,4983000.0
Net Income Continuous Operations,54426000.0,16536000.0,-3258000.0,-21793000.0,4983000.0
Tax Provision,7230000.0,6600000.0,-2199000.0,11924000.0,8009000.0
Pretax Income,61656000.0,23136000.0,-5457000.0,-9869000.0,12992000.0
Other Income Expense,-512000.0,-3383000.0,-11000.0,-3389000.0,1770000.0
Other Non Operating Income Expenses,302000.0,-2346000.0,1094000.0,-2309000.0,2913000.0
Special Income Charges,-814000.0,-1037000.0,-1105000.0,-1080000.0,-1143000.0
Restructuring And Mergern Acquisition,814000.0,1037000.0,1105000.0,1080000.0,1143000.0
Net Non Operating Interest Income Expense,13112000.0,14248000.0,18063000.0,19920000.0,20880000.0
Interest Expense Non Operating,0.0,4000.0,227000.0,644000.0,949000.0
Interest Income Non Operating,13112000.0,14252000.0,18290000.0,20564000.0,21829000.0
Operating Income,49056000.0,12271000.0,-23509000.0,-26400000.0,-9658000.0
Operating Expense,659989000.0,663729000.0,662214000.0,625430000.0,609499000.0
Research And Development,220792000.0,227714000.0,237340000.0,220100000.0,213713000.0
Selling General And Administration,439197000.0,436015000.0,424874000.0,405330000.0,395786000.0
Selling And Marketing Expense,357532000.0,355268000.0,339879000.0,326697000.0,314834000.0
General And Administrative Expense,81665000.0,80747000.0,84995000.0,78633000.0,80952000.0
Other Gand A,81665000.0,80747000.0,84995000.0,78633000.0,80952000.0
Gross Profit,709045000.0,676000000.0,638705000.0,599030000.0,599841000.0
Cost Of Revenue,137701000.0,133518000.0,122161000.0,115107000.0,103337000.0
Total Revenue,846746000.0,809518000.0,760866000.0,714137000.0,703178000.0
Operating Revenue,846746000.0,809518000.0,760866000.0,714137000.0,703178000.0
