,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,242867000.0,260964000.0,279046000.0,280087000.0,
Share Issued,242867000.0,260964000.0,279046000.0,280087000.0,
Total Debt,36000000.0,26000000.0,40000000.0,49000000.0,
Tangible Book Value,2054000000.0,2724000000.0,3355000000.0,-484000000.0,
Invested Capital,2518000000.0,3093000000.0,3750000000.0,-64000000.0,
Working Capital,1282000000.0,1899000000.0,2572000000.0,1945000000.0,
Net Tangible Assets,2054000000.0,2724000000.0,3355000000.0,-484000000.0,
Capital Lease Obligations,36000000.0,26000000.0,40000000.0,49000000.0,
Common Stock Equity,2518000000.0,3093000000.0,3750000000.0,-64000000.0,
Total Capitalization,2518000000.0,3093000000.0,3750000000.0,-64000000.0,
Total Equity Gross Minority Interest,2518000000.0,3093000000.0,3750000000.0,-64000000.0,
Stockholders Equity,2518000000.0,3093000000.0,3750000000.0,-64000000.0,
Gains Losses Not Affecting Retained Earnings,-1000000.0,-9000000.0,3000000.0,-5000000.0,
Other Equity Adjustments,-1000000.0,-9000000.0,3000000.0,-5000000.0,
Retained Earnings,-4486000000.0,-3585000000.0,-2635000000.0,-977000000.0,
Additional Paid In Capital,7005000000.0,6687000000.0,6382000000.0,918000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Preferred Stock,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,1169000000.0,1022000000.0,977000000.0,3733000000.0,
Total Non Current Liabilities Net Minority Interest,252000000.0,224000000.0,244000000.0,2938000000.0,
Other Non Current Liabilities,23000000.0,25000000.0,40000000.0,80000000.0,
Preferred Securities Outside Stock Equity,196000000.0,186000000.0,177000000.0,2822000000.0,
Long Term Debt And Capital Lease Obligation,33000000.0,13000000.0,27000000.0,36000000.0,
Long Term Capital Lease Obligation,33000000.0,13000000.0,27000000.0,36000000.0,
Current Liabilities,917000000.0,798000000.0,733000000.0,795000000.0,
Other Current Liabilities,68000000.0,42000000.0,69000000.0,69000000.0,
Current Deferred Liabilities,280000000.0,256000000.0,197000000.0,179000000.0,
Current Deferred Revenue,258000000.0,246000000.0,197000000.0,179000000.0,
Current Debt And Capital Lease Obligation,3000000.0,13000000.0,13000000.0,13000000.0,
Current Capital Lease Obligation,3000000.0,13000000.0,13000000.0,13000000.0,
Pensionand Other Post Retirement Benefit Plans Current,28000000.0,32000000.0,38000000.0,35000000.0,
Current Provisions,72000000.0,49000000.0,32000000.0,,
Payables And Accrued Expenses,466000000.0,406000000.0,384000000.0,499000000.0,
Current Accrued Expenses,365000000.0,290000000.0,277000000.0,369000000.0,
Payables,101000000.0,116000000.0,107000000.0,130000000.0,
Total Tax Payable,31000000.0,36000000.0,35000000.0,42000000.0,
Income Tax Payable,,,0.0,17000000.0,2000000.0
Accounts Payable,70000000.0,80000000.0,72000000.0,88000000.0,
Total Assets,3687000000.0,4115000000.0,4727000000.0,3669000000.0,
Total Non Current Assets,1489000000.0,1418000000.0,1422000000.0,929000000.0,
Other Non Current Assets,32000000.0,57000000.0,31000000.0,31000000.0,
Non Current Deferred Assets,664000000.0,771000000.0,830000000.0,371000000.0,
Non Current Deferred Taxes Assets,664000000.0,771000000.0,830000000.0,371000000.0,
Investments And Advances,81000000.0,0.0,0.0,28000000.0,
Investmentin Financial Assets,81000000.0,0.0,0.0,28000000.0,
Held To Maturity Securities,81000000.0,0.0,0.0,28000000.0,
Available For Sale Securities,,,,28000000.0,128000000.0
Goodwill And Other Intangible Assets,464000000.0,369000000.0,395000000.0,420000000.0,
Other Intangible Assets,71000000.0,52000000.0,77000000.0,103000000.0,
Goodwill,393000000.0,317000000.0,318000000.0,317000000.0,
Net PPE,248000000.0,221000000.0,166000000.0,79000000.0,
Accumulated Depreciation,-127000000.0,-74000000.0,-50000000.0,-37000000.0,
Gross PPE,375000000.0,295000000.0,216000000.0,116000000.0,
Leases,15000000.0,22000000.0,22000000.0,22000000.0,
Other Properties,30000000.0,21000000.0,31000000.0,41000000.0,
Machinery Furniture Equipment,330000000.0,252000000.0,163000000.0,53000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2199000000.0,2697000000.0,3305000000.0,2740000000.0,
Other Current Assets,213000000.0,162000000.0,129000000.0,109000000.0,
Restricted Cash,172000000.0,152000000.0,137000000.0,75000000.0,
Receivables,1127000000.0,1014000000.0,853000000.0,842000000.0,
Accounts Receivable,1127000000.0,1014000000.0,853000000.0,842000000.0,
Allowance For Doubtful Accounts Receivable,-3000000.0,-4000000.0,-4000000.0,-2000000.0,
Gross Accounts Receivable,1130000000.0,1018000000.0,857000000.0,844000000.0,
Cash Cash Equivalents And Short Term Investments,687000000.0,1369000000.0,2186000000.0,1714000000.0,
Other Short Term Investments,50000000.0,91000000.0,49000000.0,209000000.0,
Cash And Cash Equivalents,637000000.0,1278000000.0,2137000000.0,1505000000.0,
