,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.196,0.172,0.213,0.21,
Normalized EBITDA,597000000.0,556000000.0,-2085000000.0,109000000.0,
Net Income From Continuing Operation Net Minority Interest,447000000.0,457000000.0,-1622000000.0,428000000.0,
Reconciled Depreciation,99000000.0,67000000.0,57000000.0,47000000.0,
Reconciled Cost Of Revenue,984000000.0,836000000.0,764000000.0,720000000.0,
EBITDA,597000000.0,556000000.0,-2085000000.0,109000000.0,
EBIT,498000000.0,489000000.0,-2142000000.0,62000000.0,
Net Interest Income,57000000.0,66000000.0,81000000.0,17000000.0,
Interest Income,57000000.0,66000000.0,81000000.0,17000000.0,
Normalized Income,447000000.0,457000000.0,-1622000000.0,428000000.0,
Net Income From Continuing And Discontinued Operation,447000000.0,457000000.0,-1622000000.0,428000000.0,
Total Expenses,3244000000.0,2889000000.0,5184000000.0,2489000000.0,
Total Operating Income As Reported,498000000.0,489000000.0,-2142000000.0,62000000.0,
Diluted Average Shares,,289158000.0,130616000.0,276459151.0,276459151.0
Basic Average Shares,,264640000.0,130616000.0,276459151.0,276459151.0
Diluted EPS,,1.58,-12.43,0.278522,-0.264053
Basic EPS,,1.69,-12.43,0.278522,-0.264053
Diluted NI Availto Com Stockholders,447000000.0,457000000.0,-1624000000.0,97000000.0,
Average Dilution Earnings,9000000.0,9000000.0,0.0,20000000.0,
Net Income Common Stockholders,438000000.0,448000000.0,-1624000000.0,77000000.0,
Preferred Stock Dividends,9000000.0,9000000.0,2000000.0,351000000.0,
Net Income,447000000.0,457000000.0,-1622000000.0,428000000.0,
Net Income Including Noncontrolling Interests,447000000.0,457000000.0,-1622000000.0,428000000.0,
Net Income Continuous Operations,447000000.0,457000000.0,-1622000000.0,428000000.0,
Tax Provision,109000000.0,95000000.0,-439000000.0,-357000000.0,
Pretax Income,556000000.0,552000000.0,-2061000000.0,71000000.0,
Other Income Expense,1000000.0,-3000000.0,,-8000000.0,12000000.0
Other Non Operating Income Expenses,1000000.0,-3000000.0,,-8000000.0,12000000.0
Net Non Operating Interest Income Expense,57000000.0,66000000.0,81000000.0,17000000.0,
Interest Income Non Operating,57000000.0,66000000.0,81000000.0,17000000.0,
Operating Income,498000000.0,489000000.0,-2142000000.0,62000000.0,
Operating Expense,2260000000.0,2053000000.0,4420000000.0,1769000000.0,
Other Operating Expenses,274000000.0,278000000.0,344000000.0,252000000.0,
Research And Development,650000000.0,604000000.0,2312000000.0,518000000.0,
Selling General And Administration,1336000000.0,1171000000.0,1764000000.0,999000000.0,
Selling And Marketing Expense,854000000.0,808000000.0,961000000.0,660000000.0,
General And Administrative Expense,482000000.0,363000000.0,803000000.0,339000000.0,
Other Gand A,482000000.0,363000000.0,803000000.0,339000000.0,
Gross Profit,2758000000.0,2542000000.0,2278000000.0,1831000000.0,
Cost Of Revenue,984000000.0,836000000.0,764000000.0,720000000.0,
Total Revenue,3742000000.0,3378000000.0,3042000000.0,2551000000.0,
Operating Revenue,3742000000.0,3378000000.0,3042000000.0,2551000000.0,
