,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,242867000.0,265508000.0,263443000.0,262517137.0,260964000.0
Share Issued,242867000.0,265508000.0,263443000.0,262517137.0,260964000.0
Total Debt,36000000.0,37000000.0,37000000.0,22000000.0,26000000.0
Tangible Book Value,2054000000.0,2992000000.0,2826000000.0,2812000000.0,2724000000.0
Invested Capital,2518000000.0,3458000000.0,3300000000.0,3176000000.0,3093000000.0
Working Capital,1282000000.0,2199000000.0,2019000000.0,1986000000.0,1899000000.0
Net Tangible Assets,2054000000.0,2992000000.0,2826000000.0,2812000000.0,2724000000.0
Capital Lease Obligations,36000000.0,37000000.0,37000000.0,22000000.0,26000000.0
Common Stock Equity,2518000000.0,3458000000.0,3300000000.0,3176000000.0,3093000000.0
Total Capitalization,2518000000.0,3458000000.0,3300000000.0,3176000000.0,3093000000.0
Total Equity Gross Minority Interest,2518000000.0,3458000000.0,3300000000.0,3176000000.0,3093000000.0
Stockholders Equity,2518000000.0,3458000000.0,3300000000.0,3176000000.0,3093000000.0
Gains Losses Not Affecting Retained Earnings,-1000000.0,-4000000.0,-1000000.0,-9000000.0,-9000000.0
Other Equity Adjustments,-1000000.0,-4000000.0,-1000000.0,-9000000.0,-9000000.0
Retained Earnings,-4486000000.0,-3491000000.0,-3568000000.0,-3573000000.0,-3585000000.0
Additional Paid In Capital,7005000000.0,6953000000.0,6869000000.0,6758000000.0,6687000000.0
Capital Stock,0.0,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0,0.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1169000000.0,1082000000.0,1133000000.0,1116000000.0,1022000000.0
Total Non Current Liabilities Net Minority Interest,252000000.0,250000000.0,262000000.0,229000000.0,224000000.0
Other Non Current Liabilities,23000000.0,23000000.0,37000000.0,32000000.0,25000000.0
Preferred Securities Outside Stock Equity,196000000.0,193000000.0,191000000.0,188000000.0,186000000.0
Long Term Debt And Capital Lease Obligation,33000000.0,34000000.0,34000000.0,9000000.0,13000000.0
Long Term Capital Lease Obligation,33000000.0,34000000.0,34000000.0,9000000.0,13000000.0
Current Liabilities,917000000.0,832000000.0,871000000.0,887000000.0,798000000.0
Other Current Liabilities,68000000.0,75000000.0,87000000.0,85000000.0,42000000.0
Current Deferred Liabilities,280000000.0,271000000.0,273000000.0,275000000.0,256000000.0
Current Deferred Revenue,258000000.0,219000000.0,220000000.0,217000000.0,246000000.0
Current Debt And Capital Lease Obligation,3000000.0,3000000.0,3000000.0,13000000.0,13000000.0
Current Capital Lease Obligation,3000000.0,3000000.0,3000000.0,13000000.0,13000000.0
Pensionand Other Post Retirement Benefit Plans Current,28000000.0,24000000.0,32000000.0,24000000.0,32000000.0
Current Provisions,72000000.0,65000000.0,61000000.0,53000000.0,49000000.0
Payables And Accrued Expenses,466000000.0,394000000.0,415000000.0,437000000.0,406000000.0
Current Accrued Expenses,365000000.0,285000000.0,316000000.0,323000000.0,290000000.0
Payables,101000000.0,109000000.0,99000000.0,114000000.0,116000000.0
Total Tax Payable,31000000.0,31000000.0,30000000.0,37000000.0,36000000.0
Accounts Payable,70000000.0,78000000.0,69000000.0,77000000.0,80000000.0
Total Assets,3687000000.0,4540000000.0,4433000000.0,4292000000.0,4115000000.0
Total Non Current Assets,1489000000.0,1509000000.0,1543000000.0,1419000000.0,1418000000.0
Other Non Current Assets,32000000.0,36000000.0,40000000.0,44000000.0,57000000.0
Non Current Deferred Assets,664000000.0,696000000.0,775000000.0,780000000.0,771000000.0
Non Current Deferred Taxes Assets,664000000.0,696000000.0,775000000.0,780000000.0,771000000.0
Investments And Advances,81000000.0,62000000.0,,,0.0
Investmentin Financial Assets,81000000.0,62000000.0,,,0.0
Held To Maturity Securities,81000000.0,,,,0.0
Available For Sale Securities,,62000000.0,,,
Goodwill And Other Intangible Assets,464000000.0,466000000.0,474000000.0,364000000.0,369000000.0
Other Intangible Assets,71000000.0,74000000.0,82000000.0,47000000.0,52000000.0
Goodwill,393000000.0,392000000.0,392000000.0,317000000.0,317000000.0
Net PPE,248000000.0,249000000.0,254000000.0,231000000.0,221000000.0
Accumulated Depreciation,-127000000.0,-110000000.0,-93000000.0,-85000000.0,-74000000.0
Gross PPE,375000000.0,359000000.0,347000000.0,316000000.0,295000000.0
Leases,15000000.0,15000000.0,15000000.0,22000000.0,22000000.0
Other Properties,30000000.0,31000000.0,33000000.0,18000000.0,21000000.0
Machinery Furniture Equipment,330000000.0,313000000.0,299000000.0,276000000.0,252000000.0
Properties,0.0,0.0,0.0,0.0,0.0
Current Assets,2199000000.0,3031000000.0,2890000000.0,2873000000.0,2697000000.0
Other Current Assets,213000000.0,134000000.0,127000000.0,139000000.0,162000000.0
Restricted Cash,172000000.0,126000000.0,122000000.0,130000000.0,152000000.0
Receivables,1127000000.0,1042000000.0,1043000000.0,974000000.0,1014000000.0
Accounts Receivable,1127000000.0,1042000000.0,1043000000.0,974000000.0,1014000000.0
Allowance For Doubtful Accounts Receivable,-3000000.0,-3000000.0,-4000000.0,-4000000.0,-4000000.0
Gross Accounts Receivable,1130000000.0,1045000000.0,1047000000.0,978000000.0,1018000000.0
Cash Cash Equivalents And Short Term Investments,687000000.0,1729000000.0,1598000000.0,1630000000.0,1369000000.0
Other Short Term Investments,50000000.0,39000000.0,109000000.0,72000000.0,91000000.0
Cash And Cash Equivalents,637000000.0,1690000000.0,1489000000.0,1558000000.0,1278000000.0
