,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.256881,0.206,0.182,0.142,0.108434
Normalized EBITDA,124000000.0,196000000.0,146000000.0,132000000.0,174000000.0
Net Income From Continuing Operation Net Minority Interest,81000000.0,144000000.0,116000000.0,106000000.0,148000000.0
Reconciled Depreciation,26000000.0,28000000.0,23000000.0,22000000.0,19000000.0
Reconciled Cost Of Revenue,275000000.0,247000000.0,236000000.0,226000000.0,219000000.0
EBITDA,124000000.0,196000000.0,146000000.0,132000000.0,174000000.0
EBIT,98000000.0,168000000.0,123000000.0,110000000.0,155000000.0
Net Interest Income,12000000.0,16000000.0,15000000.0,14000000.0,12000000.0
Interest Income,12000000.0,16000000.0,15000000.0,14000000.0,12000000.0
Normalized Income,81000000.0,144000000.0,116000000.0,106000000.0,148000000.0
Net Income From Continuing And Discontinued Operation,81000000.0,144000000.0,116000000.0,106000000.0,148000000.0
Total Expenses,894000000.0,771000000.0,791000000.0,787000000.0,728000000.0
Total Operating Income As Reported,97000000.0,166000000.0,124000000.0,110000000.0,155000000.0
Diluted Average Shares,265278000.0,283176000.0,281293000.0,277193000.0,282033000.0
Basic Average Shares,255532000.0,264895000.0,262588000.0,262432000.0,258909000.0
Diluted EPS,0.3,0.51,0.41,0.37,0.53
Basic EPS,0.31,0.54,0.43,0.4,0.56
Diluted NI Availto Com Stockholders,81000000.0,144000000.0,116000000.0,104000000.0,155000000.0
Average Dilution Earnings,2000000.0,2000000.0,2000000.0,0.0,9000000.0
Net Income Common Stockholders,79000000.0,142000000.0,114000000.0,104000000.0,146000000.0
Preferred Stock Dividends,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Net Income,81000000.0,144000000.0,116000000.0,106000000.0,148000000.0
Net Income Including Noncontrolling Interests,81000000.0,144000000.0,116000000.0,106000000.0,148000000.0
Net Income Continuous Operations,81000000.0,144000000.0,116000000.0,106000000.0,148000000.0
Tax Provision,28000000.0,37000000.0,26000000.0,18000000.0,18000000.0
Pretax Income,109000000.0,181000000.0,142000000.0,124000000.0,166000000.0
Other Income Expense,0.0,-1000000.0,3000000.0,,-1000000.0
Other Non Operating Income Expenses,0.0,-1000000.0,3000000.0,,-1000000.0
Net Non Operating Interest Income Expense,12000000.0,16000000.0,15000000.0,14000000.0,12000000.0
Interest Income Non Operating,12000000.0,16000000.0,15000000.0,14000000.0,12000000.0
Operating Income,98000000.0,168000000.0,123000000.0,110000000.0,155000000.0
Operating Expense,619000000.0,524000000.0,555000000.0,561000000.0,509000000.0
Other Operating Expenses,71000000.0,62000000.0,66000000.0,75000000.0,72000000.0
Research And Development,171000000.0,169000000.0,166000000.0,144000000.0,155000000.0
Selling General And Administration,377000000.0,293000000.0,323000000.0,342000000.0,282000000.0
Selling And Marketing Expense,214000000.0,206000000.0,217000000.0,216000000.0,208000000.0
General And Administrative Expense,163000000.0,87000000.0,106000000.0,126000000.0,74000000.0
Other Gand A,163000000.0,87000000.0,106000000.0,126000000.0,74000000.0
Gross Profit,717000000.0,692000000.0,678000000.0,671000000.0,664000000.0
Cost Of Revenue,275000000.0,247000000.0,236000000.0,226000000.0,219000000.0
Total Revenue,992000000.0,939000000.0,914000000.0,897000000.0,883000000.0
Operating Revenue,992000000.0,939000000.0,914000000.0,897000000.0,883000000.0
