,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,30855442.0,10350726.0,24740128.0,21097870.0
Ordinary Shares Number,869298062.0,879802778.0,865413376.0,868685634.0
Share Issued,900153504.0,890153504.0,890153504.0,889783504.0
Total Debt,302127000.0,280093000.0,295029000.0,310896000.0
Tangible Book Value,14608254000.0,13415419000.0,11624822000.0,10673598000.0
Invested Capital,14867371000.0,13429202000.0,11640763000.0,10674056000.0
Working Capital,10908327000.0,9015686000.0,10795153000.0,10174752000.0
Net Tangible Assets,14608254000.0,13415419000.0,11624822000.0,10673598000.0
Capital Lease Obligations,302127000.0,280093000.0,295029000.0,310896000.0
Common Stock Equity,14867371000.0,13429202000.0,11640763000.0,10674056000.0
Total Capitalization,14867371000.0,13429202000.0,11640763000.0,10674056000.0
Total Equity Gross Minority Interest,14962820000.0,13429193000.0,11640763000.0,10674056000.0
Minority Interest,95449000.0,-9000.0,0.0,
Stockholders Equity,14867371000.0,13429202000.0,11640763000.0,10674056000.0
Gains Losses Not Affecting Retained Earnings,1069613000.0,903810000.0,695184000.0,-257765000.0
Other Equity Adjustments,1069613000.0,903810000.0,695184000.0,-257765000.0
Treasury Stock,1519708000.0,479730000.0,918894000.0,0.0
Retained Earnings,-917640000.0,-2492253000.0,-3586480000.0,-3693119000.0
Additional Paid In Capital,16234535000.0,15496811000.0,15450389000.0,14624386000.0
Capital Stock,571000.0,564000.0,564000.0,554000.0
Common Stock,571000.0,564000.0,564000.0,554000.0
Total Liabilities Net Minority Interest,4347852000.0,4510855000.0,3186104000.0,2967567000.0
Total Non Current Liabilities Net Minority Interest,155796000.0,153504000.0,154995000.0,183365000.0
Preferred Securities Outside Stock Equity,,,,0.0
Non Current Deferred Liabilities,34451000.0,28425000.0,11404000.0,0.0
Non Current Deferred Taxes Liabilities,34451000.0,28425000.0,11404000.0,0.0
Long Term Debt And Capital Lease Obligation,121345000.0,125079000.0,143591000.0,183365000.0
Long Term Capital Lease Obligation,121345000.0,125079000.0,143591000.0,183365000.0
Current Liabilities,4192056000.0,4357351000.0,3031109000.0,2784202000.0
Current Deferred Liabilities,3175000000.0,2867271000.0,2119522000.0,1999640000.0
Current Deferred Revenue,3175000000.0,2867271000.0,2119522000.0,1999640000.0
Current Debt And Capital Lease Obligation,180782000.0,155014000.0,151438000.0,127531000.0
Current Capital Lease Obligation,180782000.0,155014000.0,151438000.0,127531000.0
Payables And Accrued Expenses,836274000.0,1335066000.0,760149000.0,657031000.0
Payables,836274000.0,1335066000.0,760149000.0,657031000.0
Other Payable,610414000.0,589193000.0,422254000.0,405636000.0
Dueto Related Parties Current,,,,0.0
Total Tax Payable,115192000.0,116657000.0,152598000.0,218419000.0
Accounts Payable,110668000.0,629216000.0,185297000.0,32976000.0
Total Assets,19310672000.0,17940048000.0,14826867000.0,13641623000.0
Total Non Current Assets,4210289000.0,4567011000.0,1000605000.0,682669000.0
Other Non Current Assets,,4000000.0,4000000.0,4000000.0
Investments And Advances,1914530000.0,2473128000.0,0.0,
Other Investments,100778000.0,354135000.0,,
Investmentin Financial Assets,1813752000.0,2118993000.0,,
Held To Maturity Securities,1607361000.0,1969405000.0,,
Available For Sale Securities,206391000.0,149588000.0,,
Goodwill And Other Intangible Assets,259117000.0,13783000.0,15941000.0,458000.0
Other Intangible Assets,252589000.0,8093000.0,10251000.0,458000.0
Goodwill,6528000.0,5690000.0,5690000.0,0.0
Net PPE,2036642000.0,2076100000.0,980664000.0,678211000.0
Accumulated Depreciation,-1017089000.0,-530259000.0,-281379000.0,-146256000.0
Gross PPE,3053731000.0,2606359000.0,1262043000.0,824467000.0
Leases,181705000.0,136541000.0,95554000.0,65885000.0
Other Properties,2784243000.0,2432173000.0,1138648000.0,738768000.0
Machinery Furniture Equipment,41547000.0,37645000.0,27841000.0,19814000.0
Buildings And Improvements,46236000.0,0.0,,
Properties,0.0,0.0,0.0,0.0
Current Assets,15100383000.0,13373037000.0,13826262000.0,12958954000.0
Other Current Assets,31999000.0,23552000.0,41958000.0,19896000.0
Prepaid Assets,179231000.0,206193000.0,324911000.0,300635000.0
Inventory,3042000.0,0.0,,
Receivables,205001000.0,233645000.0,249480000.0,411669000.0
Other Receivables,105876000.0,175742000.0,202769000.0,353688000.0
Duefrom Related Parties Current,6719000.0,2569000.0,3177000.0,4284000.0
Accrued Interest Receivable,37264000.0,12863000.0,,
Loans Receivable,14429000.0,25744000.0,33672000.0,52695000.0
Accounts Receivable,40713000.0,16727000.0,9862000.0,1002000.0
Cash Cash Equivalents And Short Term Investments,14681110000.0,12909647000.0,13209913000.0,12226754000.0
Other Short Term Investments,12128020000.0,10436688000.0,3458089000.0,884996000.0
Cash And Cash Equivalents,2553090000.0,2472959000.0,9751824000.0,11341758000.0
