,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-9853.2,109126.4,718629.1,-490250.0
Tax Rate For Calcs,0.1449,0.1003,0.0833,0.25
Normalized EBITDA,1859497000.0,1007772000.0,149254000.0,-844923000.0
Total Unusual Items,-68000.0,1088000.0,8627000.0,-1961000.0
Total Unusual Items Excluding Goodwill,-68000.0,1088000.0,8627000.0,-1961000.0
Net Income From Continuing Operation Net Minority Interest,1584664000.0,1099227000.0,107245000.0,-1071074000.0
Reconciled Depreciation,686483000.0,427889000.0,287400000.0,189436000.0
Reconciled Cost Of Revenue,1239712000.0,1059861000.0,754861000.0,554648000.0
EBITDA,1859429000.0,1008860000.0,157881000.0,-846884000.0
EBIT,1172946000.0,580971000.0,-129519000.0,-1036320000.0
Net Interest Income,625282000.0,606757000.0,226482000.0,34479000.0
Interest Income,625282000.0,606757000.0,226482000.0,34479000.0
Normalized Income,1584722146.8,1098248126.4,99336629.1,-1069603250.0
Net Income From Continuing And Discontinued Operation,1584664000.0,1099227000.0,107245000.0,-1071074000.0
Total Expenses,6182731000.0,5371057000.0,4640581000.0,5295448000.0
Total Operating Income As Reported,1172946000.0,580971000.0,-129519000.0,-1036320000.0
Diluted Average Shares,454614378.0,451367998.0,456070996.0,264671514.0
Basic Average Shares,440941112.0,435152439.0,456070996.0,264671514.0
Diluted EPS,3.48,2.44,0.24,-4.66
Basic EPS,3.6,2.52,0.24,-4.66
Diluted NI Availto Com Stockholders,1584664000.0,1099227000.0,107245000.0,-1235139000.0
Net Income Common Stockholders,1584664000.0,1099227000.0,107245000.0,-1235139000.0
Otherunder Preferred Stock Dividend,,0.0,0.0,164065000.0
Net Income,1584664000.0,1099227000.0,107245000.0,-1071074000.0
Minority Interests,17638000.0,9000.0,0.0,0.0
Net Income Including Noncontrolling Interests,1567026000.0,1099218000.0,107245000.0,-1071074000.0
Net Income Continuous Operations,1567026000.0,1099218000.0,107245000.0,-1071074000.0
Tax Provision,265634000.0,122571000.0,9751000.0,59527000.0
Pretax Income,1832660000.0,1221789000.0,116996000.0,-1011547000.0
Other Income Expense,34432000.0,34061000.0,20033000.0,-9706000.0
Other Non Operating Income Expenses,34500000.0,32973000.0,11406000.0,-7745000.0
Gain On Sale Of Security,-68000.0,1088000.0,8627000.0,-1961000.0
Net Non Operating Interest Income Expense,625282000.0,606757000.0,226482000.0,34479000.0
Interest Income Non Operating,625282000.0,606757000.0,226482000.0,34479000.0
Operating Income,1172946000.0,580971000.0,-129519000.0,-1036320000.0
Operating Expense,4943019000.0,4311196000.0,3885720000.0,4740800000.0
Other Operating Expenses,-39791000.0,-35385000.0,-17595000.0,-14977000.0
Other Taxes,,,,-12423000.0
Research And Development,1815809000.0,1543568000.0,1182716000.0,821984000.0
Selling General And Administration,3167001000.0,2803013000.0,2720599000.0,3933793000.0
Selling And Marketing Expense,2073052000.0,1991226000.0,2000900000.0,1942670000.0
General And Administrative Expense,1093949000.0,811787000.0,719699000.0,1991123000.0
Other Gand A,1093949000.0,811787000.0,719699000.0,1991123000.0
Gross Profit,6115965000.0,4892167000.0,3756201000.0,3704480000.0
Cost Of Revenue,1239712000.0,1059861000.0,754861000.0,554648000.0
Total Revenue,7355677000.0,5952028000.0,4511062000.0,4259128000.0
Operating Revenue,7270026000.0,5889101000.0,4461282000.0,4219026000.0
