,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,,691474.693209,74822.89776,-73527.407463,-22390.266334,-3430.219561
Tax Rate For Calcs,,0.181728,0.120101,0.129222,0.169623,0.118283
Normalized EBITDA,,683318000.0,650578000.0,440354000.0,380693000.0,330212000.0
Total Unusual Items,,3805000.0,623000.0,-569000.0,-132000.0,-29000.0
Total Unusual Items Excluding Goodwill,,3805000.0,623000.0,-569000.0,-132000.0,-29000.0
Net Income From Continuing Operation Net Minority Interest,,806633000.0,722438000.0,512094000.0,449608000.0,468372000.0
Reconciled Cost Of Revenue,,307791000.0,307457000.0,310808000.0,313715000.0,314026000.0
EBITDA,,687123000.0,651201000.0,439785000.0,380561000.0,330183000.0
EBIT,,687123000.0,651201000.0,439785000.0,380561000.0,330183000.0
Net Interest Income,,227956000.0,156972000.0,149489000.0,156464000.0,158948000.0
Interest Income,,227956000.0,156972000.0,149489000.0,156464000.0,158948000.0
Normalized Income,,803519474.693209,721889822.89776,512589472.592537,449717609.733666,468397569.780439
Net Income From Continuing And Discontinued Operation,,806633000.0,722438000.0,512094000.0,449608000.0,468372000.0
Total Expenses,,1476158000.0,1451232000.0,1483492000.0,1443045000.0,1581392000.0
Total Operating Income As Reported,,687123000.0,651201000.0,439785000.0,380561000.0,330183000.0
Diluted Average Shares,478052482.0,474695534.0,,439833938.0,449357872.0,453420864.0
Basic Average Shares,464462202.0,460645298.0,,439833938.0,437049746.0,441881060.0
Diluted EPS,1.46,1.7,,1.164289,1.0,1.04
Basic EPS,1.5,1.76,,1.164289,1.02,1.06
Diluted NI Availto Com Stockholders,,806633000.0,722438000.0,512094000.0,449608000.0,468372000.0
Net Income Common Stockholders,,806633000.0,722438000.0,512094000.0,449608000.0,468372000.0
Net Income,,806633000.0,722438000.0,512094000.0,449608000.0,468372000.0
Minority Interests,,31213000.0,,6040000.0,5383000.0,4545000.0
Net Income Including Noncontrolling Interests,,775420000.0,711174000.0,512094000.0,444225000.0,463827000.0
Net Income Continuous Operations,,775420000.0,711174000.0,512094000.0,444225000.0,463827000.0
Tax Provision,,172211000.0,97071000.0,75994000.0,90743000.0,62223000.0
Pretax Income,,947631000.0,808245000.0,588088000.0,534968000.0,526050000.0
Other Income Expense,,32552000.0,72000.0,-1186000.0,-2057000.0,36919000.0
Other Non Operating Income Expenses,,28747000.0,-551000.0,-617000.0,-1925000.0,36948000.0
Gain On Sale Of Security,,3805000.0,623000.0,-569000.0,-132000.0,-29000.0
Net Non Operating Interest Income Expense,,227956000.0,156972000.0,149489000.0,156464000.0,158948000.0
Interest Income Non Operating,,227956000.0,156972000.0,149489000.0,156464000.0,158948000.0
Operating Income,,687123000.0,651201000.0,439785000.0,380561000.0,330183000.0
Operating Expense,,1168367000.0,1143775000.0,1172684000.0,1129330000.0,1267366000.0
Other Operating Expenses,,-40000.0,-3118000.0,-7622000.0,-13210000.0,-5485000.0
Research And Development,,408019000.0,416046000.0,423568000.0,440360000.0,464151000.0
Selling General And Administration,,760388000.0,730847000.0,756738000.0,702180000.0,808700000.0
Selling And Marketing Expense,,393560000.0,419873000.0,491227000.0,426345000.0,522268000.0
General And Administrative Expense,,366828000.0,310974000.0,265511000.0,275835000.0,286432000.0
Other Gand A,,366828000.0,310974000.0,265511000.0,275835000.0,286432000.0
Gross Profit,,1855490000.0,1794976000.0,1612469000.0,1509891000.0,1597549000.0
Cost Of Revenue,,307791000.0,307457000.0,310808000.0,313715000.0,314026000.0
Total Revenue,,2163281000.0,2102433000.0,1923277000.0,1823606000.0,1911575000.0
Operating Revenue,,2146843000.0,2077599000.0,1901382000.0,1804114000.0,1889102000.0
