,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-8341792.0,-16221618.0,-8959650.0,-14729160.0,
Tax Rate For Calcs,0.178,0.217,0.161,0.04,
Normalized EBITDA,1007530000.0,1026380000.0,1054125000.0,934861000.0,
Total Unusual Items,-46864000.0,-74754000.0,-55650000.0,-368229000.0,
Total Unusual Items Excluding Goodwill,-46864000.0,-74754000.0,-55650000.0,-368229000.0,
Net Income From Continuing Operation Net Minority Interest,613446000.0,551276000.0,651539000.0,364157000.0,
Reconciled Depreciation,67112000.0,87499000.0,61807000.0,43594000.0,
Reconciled Cost Of Revenue,948374000.0,991273000.0,954014000.0,959963000.0,
EBITDA,960666000.0,951626000.0,998475000.0,566632000.0,
EBIT,893554000.0,864127000.0,936668000.0,523038000.0,
Net Interest Income,-125616000.0,-118966000.0,-133115000.0,-141179000.0,
Interest Expense,147551000.0,160071000.0,159887000.0,145547000.0,
Interest Income,21935000.0,41105000.0,26772000.0,4368000.0,
Normalized Income,651968208.0,609808382.0,698229350.0,717656840.0,
Net Income From Continuing And Discontinued Operation,613446000.0,551276000.0,651539000.0,361946000.0,
Total Expenses,2576120000.0,2581886000.0,2399877000.0,2307581000.0,
Total Operating Income As Reported,872529000.0,823312000.0,916896000.0,515005000.0,
Diluted Average Shares,262475000.0,279063000.0,293284000.0,295215000.0,
Basic Average Shares,242676000.0,260299000.0,275773000.0,282564000.0,
Diluted EPS,2.38,2.02,2.26,1.24,
Basic EPS,2.53,2.12,2.36,1.28,
Diluted NI Availto Com Stockholders,623594000.0,563943000.0,664142000.0,365875000.0,
Average Dilution Earnings,10148000.0,12667000.0,12603000.0,3929000.0,
Net Income Common Stockholders,613446000.0,551276000.0,651539000.0,361946000.0,
Net Income,613446000.0,551276000.0,651539000.0,361946000.0,
Minority Interests,-15000.0,-37000.0,67000.0,2027000.0,
Net Income Including Noncontrolling Interests,613461000.0,551313000.0,651472000.0,359919000.0,
Net Income Discontinuous Operations,,0.0,0.0,-2211000.0,509000.0
Net Income Continuous Operations,613461000.0,551313000.0,651472000.0,362130000.0,
Tax Provision,132542000.0,152743000.0,125309000.0,15361000.0,
Pretax Income,746003000.0,704056000.0,776781000.0,377491000.0,
Other Income Expense,-39458000.0,-74465000.0,-54731000.0,-362592000.0,
Other Non Operating Income Expenses,7406000.0,289000.0,919000.0,5637000.0,
Special Income Charges,-38548000.0,-74175000.0,-47731000.0,-366257000.0,
Other Special Charges,,,,-3500000.0,441000000.0
Impairment Of Capital Assets,38548000.0,74175000.0,47731000.0,366257000.0,
Gain On Sale Of Security,-8316000.0,-579000.0,-7919000.0,-1972000.0,
Net Non Operating Interest Income Expense,-125616000.0,-118966000.0,-133115000.0,-141179000.0,
Interest Expense Non Operating,147551000.0,160071000.0,159887000.0,145547000.0,
Interest Income Non Operating,21935000.0,41105000.0,26772000.0,4368000.0,
Operating Income,911077000.0,897487000.0,964627000.0,881262000.0,
Operating Expense,1627746000.0,1590613000.0,1445863000.0,1347618000.0,
Depreciation Amortization Depletion Income Statement,67112000.0,87499000.0,61807000.0,43594000.0,
Depreciation And Amortization In Income Statement,67112000.0,87499000.0,61807000.0,43594000.0,
Amortization,,,,,28559000.0
Amortization Of Intangibles Income Statement,,,,,28559000.0
Depreciation Income Statement,67112000.0,87499000.0,61807000.0,43594000.0,
Research And Development,449508000.0,442175000.0,384185000.0,333639000.0,
Selling General And Administration,1111126000.0,1060939000.0,999871000.0,970385000.0,
Selling And Marketing Expense,625541000.0,622100000.0,586262000.0,534517000.0,
General And Administrative Expense,485585000.0,438839000.0,413609000.0,435868000.0,
Other Gand A,485585000.0,438839000.0,413609000.0,435868000.0,
Gross Profit,2538823000.0,2488100000.0,2410490000.0,2228880000.0,
Cost Of Revenue,948374000.0,991273000.0,954014000.0,959963000.0,
Total Revenue,3487197000.0,3479373000.0,3364504000.0,3188843000.0,
Operating Revenue,3487197000.0,3479373000.0,3364504000.0,3188843000.0,
