,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,308115000.0,306838000.0,230972000.0,177690000.0,247143000.0
Repurchase Of Capital Stock,-238905000.0,-130229000.0,-231000000.0,-188676000.0,-122051000.0
Repayment Of Debt,0.0,0.0,0.0,-425000000.0,
Issuance Of Debt,0.0,,,,
Capital Expenditure,-14665000.0,-13803000.0,-12870000.0,-15427000.0,-7567000.0
End Cash Position,1027838000.0,1053240000.0,335243000.0,409422000.0,965993000.0
Beginning Cash Position,1053240000.0,335243000.0,409422000.0,965993000.0,855532000.0
Effect Of Exchange Rate Changes,-1524000.0,-4126000.0,11738000.0,7102000.0,-14605000.0
Changes In Cash,-23878000.0,722123000.0,-85917000.0,-563673000.0,125066000.0
Financing Cash Flow,-367710000.0,415092000.0,-291980000.0,-740296000.0,-122178000.0
Cash Flow From Continuing Financing Activities,-367710000.0,415092000.0,-291980000.0,-740296000.0,-122178000.0
Net Other Financing Charges,-86504000.0,-108754000.0,-17023000.0,-79207000.0,-4300000.0
Proceeds From Stock Option Exercised,3061000.0,0.0,3220000.0,378000.0,4173000.0
Cash Dividends Paid,-45362000.0,-45925000.0,-47177000.0,-47791000.0,
Common Stock Dividend Paid,-45362000.0,-45925000.0,-47177000.0,-47791000.0,
Net Common Stock Issuance,-238905000.0,-130229000.0,-231000000.0,-188676000.0,-122051000.0
Common Stock Payments,-238905000.0,-130229000.0,-231000000.0,-188676000.0,-122051000.0
Net Issuance Payments Of Debt,0.0,700000000.0,0.0,-425000000.0,
Net Long Term Debt Issuance,0.0,700000000.0,0.0,-425000000.0,
Long Term Debt Payments,0.0,0.0,0.0,-425000000.0,
Long Term Debt Issuance,0.0,,,,
Investing Cash Flow,21052000.0,-13610000.0,-37779000.0,-16494000.0,-7466000.0
Cash Flow From Continuing Investing Activities,21052000.0,-13610000.0,-37779000.0,-16494000.0,-7466000.0
Net Other Investing Changes,35717000.0,193000.0,-24909000.0,-1067000.0,101000.0
Capital Expenditure Reported,-14665000.0,-13803000.0,-12870000.0,-15427000.0,-7567000.0
Operating Cash Flow,322780000.0,320641000.0,243842000.0,193117000.0,254710000.0
Cash Flow From Continuing Operating Activities,322780000.0,320641000.0,243842000.0,193117000.0,254710000.0
Change In Working Capital,34287000.0,36958000.0,16128000.0,-28658000.0,19585000.0
Change In Other Working Capital,11446000.0,-26840000.0,-15598000.0,2941000.0,-2610000.0
Change In Other Current Assets,2111000.0,11499000.0,17074000.0,15230000.0,20369000.0
Change In Payables And Accrued Expense,-19344000.0,56010000.0,29901000.0,-49339000.0,-9798000.0
Change In Payable,-19344000.0,56010000.0,29901000.0,-49339000.0,-9798000.0
Change In Account Payable,-19344000.0,56010000.0,29901000.0,-49339000.0,-9798000.0
Change In Receivables,40074000.0,-3711000.0,-15249000.0,2510000.0,11624000.0
Changes In Account Receivables,40074000.0,-3711000.0,-15249000.0,2510000.0,11624000.0
Other Non Cash Items,-16100000.0,-214000.0,10396000.0,5325000.0,-3534000.0
Stock Based Compensation,64035000.0,56306000.0,67467000.0,70394000.0,69206000.0
Asset Impairment Charge,8651000.0,,,,10766000.0
Deferred Tax,9774000.0,43069000.0,-4186000.0,-3722000.0,-20175000.0
Deferred Income Tax,9774000.0,43069000.0,-4186000.0,-3722000.0,-20175000.0
Depreciation Amortization Depletion,12477000.0,-6131000.0,28559000.0,32207000.0,20584000.0
Depreciation And Amortization,12477000.0,-6131000.0,28559000.0,32207000.0,20584000.0
Amortization Cash Flow,,,10498000.0,10478000.0,
Amortization Of Intangibles,,,10498000.0,10478000.0,
Depreciation,12477000.0,14845000.0,18061000.0,21729000.0,20584000.0
Net Income From Continuing Operations,209656000.0,160756000.0,125478000.0,117571000.0,158278000.0
