,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-1669688.858178,-1258000.0,-1193200.0,-493120.0,-2255055.936905,
Tax Rate For Calcs,0.176874,0.17,0.2,0.16,0.198771,
Normalized EBITDA,319735000.0,252907000.0,224390000.0,210498000.0,269033000.0,
Total Unusual Items,-9440000.0,-7400000.0,-5966000.0,-3082000.0,-11345000.0,
Total Unusual Items Excluding Goodwill,-9440000.0,-7400000.0,-5966000.0,-3082000.0,-11345000.0,
Net Income From Continuing Operation Net Minority Interest,209649000.0,160749000.0,125478000.0,117570000.0,158296000.0,
Reconciled Depreciation,12477000.0,-6131000.0,28559000.0,32207000.0,20584000.0,
Reconciled Cost Of Revenue,222485000.0,268019000.0,241938000.0,236908000.0,236414000.0,
EBITDA,310295000.0,245507000.0,218424000.0,207416000.0,257688000.0,
EBIT,297818000.0,230662000.0,189865000.0,175209000.0,237104000.0,
Net Interest Income,-34378000.0,-31505000.0,-30096000.0,-29637000.0,1545000.0,
Interest Expense,43111000.0,37024000.0,32160000.0,35256000.0,39560000.0,
Interest Income,8733000.0,5519000.0,2064000.0,5619000.0,,
Normalized Income,217419311.141822,166891000.0,130250800.0,120158880.0,167385944.063095,
Net Income From Continuing And Discontinued Operation,209649000.0,160749000.0,125478000.0,117570000.0,158296000.0,
Total Expenses,584674000.0,684020000.0,669817000.0,658585000.0,626022000.0,
Total Operating Income As Reported,284681000.0,221334000.0,193921000.0,172593000.0,223388000.0,
Diluted Average Shares,254087000.0,260324000.0,263773000.0,271928000.0,272549000.0,
Basic Average Shares,234895000.0,240510000.0,244370000.0,251130000.0,251715000.0,
Diluted EPS,0.83,0.62,0.49,0.44,0.59,
Basic EPS,0.89,0.67,0.51,0.47,0.63,
Diluted NI Availto Com Stockholders,211669000.0,162538000.0,128648000.0,120739000.0,161469000.0,
Average Dilution Earnings,2020000.0,1789000.0,3170000.0,3169000.0,3173000.0,
Net Income Common Stockholders,209649000.0,160749000.0,125478000.0,117570000.0,158296000.0,
Net Income,209649000.0,160749000.0,125478000.0,117570000.0,158296000.0,
Minority Interests,-7000.0,-7000.0,0.0,-1000.0,18000.0,
Net Income Including Noncontrolling Interests,209656000.0,160756000.0,125478000.0,117571000.0,158278000.0,
Net Income Continuous Operations,209656000.0,160756000.0,125478000.0,117571000.0,158278000.0,
Tax Provision,45051000.0,32882000.0,32227000.0,22382000.0,39266000.0,
Pretax Income,254707000.0,193638000.0,157705000.0,139953000.0,197544000.0,
Other Income Expense,-4247000.0,-5112000.0,-6120000.0,-3003000.0,-38155000.0,
Other Non Operating Income Expenses,5193000.0,2288000.0,-154000.0,79000.0,-26810000.0,
Special Income Charges,-8651000.0,-8921000.0,,,-10766000.0,-42090000.0
Impairment Of Capital Assets,8651000.0,8921000.0,,,10766000.0,42090000.0
Gain On Sale Of Security,-789000.0,1521000.0,-5966000.0,-3082000.0,,
Net Non Operating Interest Income Expense,-34378000.0,-31505000.0,-30096000.0,-29637000.0,1545000.0,
Interest Expense Non Operating,43111000.0,37024000.0,32160000.0,35256000.0,39560000.0,
Interest Income Non Operating,8733000.0,5519000.0,2064000.0,5619000.0,,
Operating Income,293332000.0,230255000.0,193921000.0,172593000.0,234154000.0,
Operating Expense,362189000.0,436977000.0,427879000.0,421677000.0,389608000.0,
Depreciation Amortization Depletion Income Statement,12477000.0,14845000.0,28559000.0,32207000.0,20584000.0,
Depreciation And Amortization In Income Statement,12477000.0,14845000.0,28559000.0,32207000.0,20584000.0,
Amortization,,,10498000.0,10478000.0,,
Amortization Of Intangibles Income Statement,,,10498000.0,10478000.0,,
Depreciation Income Statement,12477000.0,14845000.0,18061000.0,21729000.0,20584000.0,
Research And Development,109174000.0,104969000.0,114511000.0,120854000.0,109138000.0,
Selling General And Administration,240538000.0,317163000.0,284809000.0,268616000.0,259886000.0,
Selling And Marketing Expense,151049000.0,169142000.0,148254000.0,157096000.0,145515000.0,
General And Administrative Expense,89489000.0,148021000.0,136555000.0,111520000.0,114371000.0,
Other Gand A,89489000.0,148021000.0,136555000.0,111520000.0,114371000.0,
Gross Profit,655521000.0,667232000.0,621800000.0,594270000.0,623762000.0,
Cost Of Revenue,222485000.0,247043000.0,241938000.0,236908000.0,236414000.0,
Total Revenue,878006000.0,914275000.0,863738000.0,831178000.0,860176000.0,
Operating Revenue,878006000.0,914275000.0,863738000.0,831178000.0,860176000.0,
