,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,10773000000.0,7058000000.0,4631000000.0,2485000000.0,
Repurchase Of Capital Stock,-1000000.0,-1000000.0,-356000000.0,-148000000.0,
Repayment Of Debt,-41145000000.0,-17512000000.0,-24874000000.0,-15953000000.0,
Issuance Of Debt,44050000000.0,19472000000.0,24963000000.0,17017000000.0,
Issuance Of Capital Stock,,,0.0,0.0,1520000000.0
Capital Expenditure,-1343000000.0,-860000000.0,-509000000.0,-455000000.0,
Interest Paid Supplemental Data,,,608000000.0,247000000.0,58000000.0
Income Tax Paid Supplemental Data,,,651000000.0,437000000.0,282000000.0
End Cash Position,13537000000.0,4699000000.0,3848000000.0,3363000000.0,
Beginning Cash Position,4699000000.0,3848000000.0,3363000000.0,3648000000.0,
Effect Of Exchange Rate Changes,-3000000.0,-739000000.0,-938000000.0,-270000000.0,
Changes In Cash,8841000000.0,1590000000.0,1423000000.0,-15000000.0,
Financing Cash Flow,2904000000.0,1959000000.0,-267000000.0,916000000.0,
Cash Flow From Continuing Financing Activities,2904000000.0,1959000000.0,-267000000.0,916000000.0,
Net Other Financing Charges,,,,,296000000.0
Proceeds From Stock Option Exercised,,,0.0,0.0,-3000000.0
Cash Dividends Paid,,,,0.0,0.0
Preferred Stock Dividend Paid,,,,0.0,0.0
Net Preferred Stock Issuance,,,,,0.0
Preferred Stock Issuance,,,,,0.0
Net Common Stock Issuance,-1000000.0,-1000000.0,-356000000.0,-148000000.0,
Common Stock Payments,-1000000.0,-1000000.0,-356000000.0,-148000000.0,
Common Stock Issuance,,,0.0,0.0,1520000000.0
Net Issuance Payments Of Debt,2905000000.0,1960000000.0,89000000.0,1064000000.0,
Net Long Term Debt Issuance,2905000000.0,1960000000.0,89000000.0,1064000000.0,
Long Term Debt Payments,-41145000000.0,-17512000000.0,-24874000000.0,-15953000000.0,
Long Term Debt Issuance,44050000000.0,19472000000.0,24963000000.0,17017000000.0,
Investing Cash Flow,-6179000000.0,-8287000000.0,-3450000000.0,-3871000000.0,
Cash Flow From Continuing Investing Activities,-6179000000.0,-8287000000.0,-3450000000.0,-3871000000.0,
Net Other Investing Changes,-6659000000.0,-4688000000.0,-2047000000.0,-1701000000.0,
Net Investment Purchase And Sale,1748000000.0,-2733000000.0,-894000000.0,-1715000000.0,
Sale Of Investment,16593000000.0,13991000000.0,18100000000.0,11024000000.0,
Purchase Of Investment,-14845000000.0,-16724000000.0,-18994000000.0,-12739000000.0,
Net Business Purchase And Sale,0.0,-6000000.0,0.0,0.0,
Purchase Of Business,0.0,-6000000.0,0.0,0.0,
Net Intangibles Purchase And Sale,75000000.0,0.0,0.0,-1000000.0,
Sale Of Intangibles,75000000.0,0.0,0.0,,
Purchase Of Intangibles,,,0.0,-1000000.0,-36000000.0
Net PPE Purchase And Sale,-1343000000.0,-860000000.0,-509000000.0,-455000000.0,
Sale Of PPE,,,,,0.0
Purchase Of PPE,-1343000000.0,-860000000.0,-509000000.0,-455000000.0,
Operating Cash Flow,12116000000.0,7918000000.0,5140000000.0,2940000000.0,
Cash Flow From Continuing Operating Activities,12116000000.0,7918000000.0,5140000000.0,2940000000.0,
Interest Received Cfo,584000000.0,229000000.0,255000000.0,123000000.0,
Change In Working Capital,5923000000.0,3191000000.0,1795000000.0,411000000.0,
Change In Other Current Liabilities,-263000000.0,-114000000.0,-88000000.0,-82000000.0,
Change In Other Current Assets,-491000000.0,-308000000.0,-55000000.0,-87000000.0,
Change In Payables And Accrued Expense,8420000000.0,6413000000.0,3420000000.0,1621000000.0,
Change In Payable,8420000000.0,6413000000.0,3420000000.0,1621000000.0,
Change In Account Payable,1487000000.0,1595000000.0,1225000000.0,449000000.0,
Change In Prepaid Assets,,,,3000000.0,-12715000.0
Change In Inventory,-235000000.0,-113000000.0,-69000000.0,114000000.0,
Change In Receivables,-1508000000.0,-2687000000.0,-1413000000.0,-1155000000.0,
Changes In Account Receivables,,-157000000.0,-92000000.0,-71000000.0,-26000000.0
Other Non Cash Items,-820000000.0,-301000000.0,-198000000.0,-44000000.0,
Stock Based Compensation,,,167000000.0,1000000.0,755000.0
Unrealized Gain Loss On Investment Securities,-10000000.0,-25000000.0,-14000000.0,0.0,
Provisionand Write Offof Assets,3197000000.0,2034000000.0,1385000000.0,1089000000.0,
Asset Impairment Charge,19000000.0,0.0,0.0,12000000.0,
Deferred Tax,-469000000.0,-243000000.0,-284000000.0,-97000000.0,
Deferred Income Tax,-469000000.0,-243000000.0,-284000000.0,-97000000.0,
Depreciation Amortization Depletion,818000000.0,617000000.0,524000000.0,403000000.0,
Depreciation And Amortization,818000000.0,617000000.0,524000000.0,403000000.0,
Operating Gains Losses,877000000.0,505000000.0,690000000.0,561000000.0,
Pension And Employee Benefit Expense,303000000.0,261000000.0,167000000.0,84000000.0,
Earnings Losses From Equity Investments,0.0,0.0,-3000000.0,0.0,
Gain Loss On Investment Securities,117000000.0,-42000000.0,39000000.0,66000000.0,
Net Foreign Currency Exchange Gain Loss,457000000.0,286000000.0,487000000.0,411000000.0,
Gain Loss On Sale Of PPE,,,-14000000.0,0.0,0.0
Net Income From Continuing Operations,1997000000.0,1911000000.0,987000000.0,482000000.0,
