,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-100089000.0,-38948000.0,-225090000.0,-75636000.0,
Tax Rate For Calcs,0.297,0.214,0.366,0.382,
Normalized EBITDA,4157000000.0,3396000000.0,2866000000.0,1516000000.0,
Total Unusual Items,-337000000.0,-182000000.0,-615000000.0,-198000000.0,
Total Unusual Items Excluding Goodwill,-337000000.0,-182000000.0,-615000000.0,-198000000.0,
Net Income From Continuing Operation Net Minority Interest,1997000000.0,1911000000.0,987000000.0,482000000.0,
Reconciled Depreciation,818000000.0,617000000.0,524000000.0,403000000.0,
Reconciled Cost Of Revenue,16035000000.0,11200000000.0,7517000000.0,5582000000.0,
EBITDA,3820000000.0,3214000000.0,2251000000.0,1318000000.0,
EBIT,3002000000.0,2597000000.0,1727000000.0,915000000.0,
Net Interest Income,-22000000.0,-17000000.0,-39000000.0,-91000000.0,
Interest Expense,160000000.0,165000000.0,174000000.0,135000000.0,
Interest Income,138000000.0,148000000.0,135000000.0,44000000.0,
Normalized Income,2233911000.0,2054052000.0,1376910000.0,604364000.0,
Net Income From Continuing And Discontinued Operation,1997000000.0,1911000000.0,987000000.0,482000000.0,
Total Expenses,25692000000.0,18146000000.0,12900000000.0,9711000000.0,
Total Operating Income As Reported,3201000000.0,2631000000.0,2207000000.0,1069000000.0,
Diluted Average Shares,50697320.0,50697428.0,51006260.0,51335621.0,
Basic Average Shares,50697299.0,50697428.0,20562302.0,50345353.0,
Diluted EPS,39.4,37.69,19.46,9.53,
Basic EPS,39.4,37.69,19.64,9.57,
Diluted NI Availto Com Stockholders,1997000000.0,1911000000.0,987000000.0,489000000.0,
Average Dilution Earnings,,0.0,6000000.0,7000000.0,0.0
Net Income Common Stockholders,1997000000.0,1911000000.0,987000000.0,482000000.0,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0
Net Income,1997000000.0,1911000000.0,987000000.0,482000000.0,
Net Income Including Noncontrolling Interests,1997000000.0,1911000000.0,987000000.0,482000000.0,
Net Income Continuous Operations,1997000000.0,1911000000.0,987000000.0,482000000.0,
Earnings From Equity Interest Net Of Tax,0.0,0.0,3000000.0,0.0,
Tax Provision,845000000.0,521000000.0,569000000.0,298000000.0,
Pretax Income,2842000000.0,2432000000.0,1553000000.0,780000000.0,
Other Income Expense,-337000000.0,-182000000.0,-615000000.0,-198000000.0,
Gain On Sale Of Security,-337000000.0,-182000000.0,-615000000.0,-198000000.0,
Net Non Operating Interest Income Expense,-22000000.0,-17000000.0,-39000000.0,-91000000.0,
Interest Expense Non Operating,160000000.0,165000000.0,174000000.0,135000000.0,
Interest Income Non Operating,138000000.0,148000000.0,135000000.0,44000000.0,
Operating Income,3201000000.0,2631000000.0,2207000000.0,1069000000.0,
Operating Expense,9657000000.0,6946000000.0,5383000000.0,4129000000.0,
Provision For Doubtful Accounts,3091000000.0,1858000000.0,1050000000.0,1073000000.0,
Research And Development,2269000000.0,1934000000.0,1831000000.0,1099000000.0,
Selling General And Administration,4297000000.0,3154000000.0,2502000000.0,1957000000.0,
Selling And Marketing Expense,3219000000.0,2191000000.0,1736000000.0,1296000000.0,
General And Administrative Expense,1078000000.0,963000000.0,766000000.0,661000000.0,
Other Gand A,1078000000.0,963000000.0,766000000.0,661000000.0,
Gross Profit,12858000000.0,9577000000.0,7590000000.0,5198000000.0,
Cost Of Revenue,16035000000.0,11200000000.0,7517000000.0,5582000000.0,
Total Revenue,28893000000.0,20777000000.0,15107000000.0,10780000000.0,
Operating Revenue,28893000000.0,20777000000.0,15107000000.0,10780000000.0,
