,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Free Cash Flow,500188000.0,120641000.0,115403000.0,-20214000.0,
Repurchase Of Capital Stock,-400333000.0,0.0,0.0,,
Repayment Of Debt,-7539000.0,-6179000.0,-5483000.0,-4510000.0,
Issuance Of Debt,,,,0.0,0.0
Issuance Of Capital Stock,,,0.0,0.0,889184000.0
Capital Expenditure,-4960000.0,-29550000.0,-6074000.0,-7244000.0,
Interest Paid Supplemental Data,1897000.0,3705000.0,5471000.0,5837000.0,
Income Tax Paid Supplemental Data,,14976000.0,11991000.0,11164000.0,5672000.0
End Cash Position,1086625000.0,492753000.0,803643000.0,456339000.0,
Beginning Cash Position,492753000.0,803643000.0,456339000.0,474420000.0,
Effect Of Exchange Rate Changes,12348000.0,-5701000.0,-433000.0,-2003000.0,
Changes In Cash,581524000.0,-305189000.0,347737000.0,-16078000.0,
Financing Cash Flow,-462439000.0,202060000.0,38241000.0,30200000.0,
Cash Flow From Continuing Financing Activities,-462439000.0,202060000.0,38241000.0,30200000.0,
Net Other Financing Charges,-98574000.0,170223000.0,,,
Proceeds From Stock Option Exercised,44007000.0,38016000.0,43724000.0,34710000.0,
Net Common Stock Issuance,-400333000.0,0.0,0.0,0.0,
Common Stock Payments,-400333000.0,0.0,0.0,,
Common Stock Issuance,,,0.0,0.0,889184000.0
Net Issuance Payments Of Debt,-7539000.0,-6179000.0,-5483000.0,-4510000.0,
Net Long Term Debt Issuance,-7539000.0,-6179000.0,-5483000.0,-4510000.0,
Long Term Debt Payments,-7539000.0,-6179000.0,-5483000.0,-4510000.0,
Long Term Debt Issuance,,,,0.0,0.0
Investing Cash Flow,538815000.0,-657440000.0,188019000.0,-33308000.0,
Cash Flow From Continuing Investing Activities,538815000.0,-657440000.0,188019000.0,-33308000.0,
Net Investment Purchase And Sale,545807000.0,-627890000.0,209093000.0,-26064000.0,
Sale Of Investment,972630000.0,797584000.0,1445000000.0,1425000000.0,
Purchase Of Investment,-426823000.0,-1425474000.0,-1235907000.0,-1451064000.0,
Net Business Purchase And Sale,-2032000.0,0.0,-15000000.0,0.0,
Purchase Of Business,-2032000.0,0.0,-15000000.0,0.0,
Net PPE Purchase And Sale,-4960000.0,-29550000.0,-6074000.0,-7244000.0,
Purchase Of PPE,-4960000.0,-29550000.0,-6074000.0,-7244000.0,
Operating Cash Flow,505148000.0,150191000.0,121477000.0,-12970000.0,
Cash Flow From Continuing Operating Activities,505148000.0,150191000.0,121477000.0,-12970000.0,
Change In Working Capital,-747000.0,-200315000.0,-148976000.0,-74470000.0,
Change In Other Working Capital,102575000.0,-85489000.0,-124241000.0,36682000.0,
Change In Other Current Liabilities,-9595000.0,-15895000.0,-11858000.0,-8892000.0,
Change In Other Current Assets,-13007000.0,-30677000.0,-211000.0,-99000.0,
Change In Payables And Accrued Expense,36746000.0,25795000.0,41181000.0,-13026000.0,
Change In Accrued Expense,27830000.0,25254000.0,39502000.0,-16189000.0,
Change In Payable,8916000.0,541000.0,1679000.0,3163000.0,
Change In Account Payable,8916000.0,541000.0,1679000.0,3163000.0,
Change In Prepaid Assets,-11056000.0,-24813000.0,-12208000.0,2315000.0,
Change In Receivables,-106410000.0,-69236000.0,-41639000.0,-91450000.0,
Changes In Account Receivables,-106410000.0,-69236000.0,-41639000.0,-91450000.0,
Other Non Cash Items,,2419000.0,3393000.0,3375000.0,4005000.0
Stock Based Compensation,550454000.0,493940000.0,456907000.0,381454000.0,
Unrealized Gain Loss On Investment Securities,,,-1044000.0,-1857000.0,0.0
Amortization Of Securities,-10843000.0,-25059000.0,-44556000.0,-5954000.0,
Deferred Tax,-3158000.0,-16794000.0,-1574000.0,-562000.0,
Deferred Income Tax,-3158000.0,-16794000.0,-1574000.0,-562000.0,
Depreciation Amortization Depletion,37412000.0,26973000.0,32125000.0,29182000.0,
Depreciation And Amortization,37412000.0,26973000.0,32125000.0,29182000.0,
Depreciation,37412000.0,26973000.0,32125000.0,29182000.0,
Operating Gains Losses,3181000.0,-1901000.0,758000.0,-597000.0,
Gain Loss On Investment Securities,1063000.0,-937000.0,-1044000.0,-1857000.0,
Net Foreign Currency Exchange Gain Loss,2118000.0,-964000.0,1802000.0,1260000.0,
Net Income From Continuing Operations,-71151000.0,-129072000.0,-176600000.0,-345398000.0,
