,2026-01-31,2025-01-31,2024-01-31,2023-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.019,0.21,0.21
Normalized EBITDA,-15151000.0,-96534000.0,-122004000.0,-294275000.0
Net Income From Continuing Operation Net Minority Interest,-71151000.0,-129072000.0,-176600000.0,-345398000.0
Reconciled Depreciation,37412000.0,26973000.0,32125000.0,29182000.0
Reconciled Cost Of Revenue,696058000.0,535296000.0,424485000.0,349304000.0
EBITDA,-15151000.0,-96534000.0,-122004000.0,-294275000.0
EBIT,-52563000.0,-123507000.0,-154129000.0,-323457000.0
Net Interest Income,85465000.0,87595000.0,70851000.0,15151000.0
Interest Expense,3128000.0,8092000.0,9387000.0,9797000.0
Interest Income,88593000.0,95687000.0,80238000.0,24948000.0
Normalized Income,-71151000.0,-129072000.0,-176600000.0,-345398000.0
Net Income From Continuing And Discontinued Operation,-71151000.0,-129072000.0,-176600000.0,-345398000.0
Total Expenses,2600765000.0,2222507000.0,1916743000.0,1630695000.0
Total Operating Income As Reported,-136968000.0,-216064000.0,-233732000.0,-346655000.0
Diluted Average Shares,81246520.0,74555001.0,71248982.0,68628267.0
Basic Average Shares,81246520.0,74555001.0,71248982.0,68628267.0
Diluted EPS,-0.88,-1.73,-2.48,-5.03
Basic EPS,-0.88,-1.73,-2.48,-5.03
Diluted NI Availto Com Stockholders,-71151000.0,-129072000.0,-176600000.0,-345398000.0
Net Income Common Stockholders,-71151000.0,-129072000.0,-176600000.0,-345398000.0
Net Income,-71151000.0,-129072000.0,-176600000.0,-345398000.0
Net Income Including Noncontrolling Interests,-71151000.0,-129072000.0,-176600000.0,-345398000.0
Net Income Continuous Operations,-71151000.0,-129072000.0,-176600000.0,-345398000.0
Tax Provision,15460000.0,-2527000.0,13084000.0,12144000.0
Pretax Income,-55691000.0,-131599000.0,-163516000.0,-333254000.0
Other Income Expense,-4188000.0,-3130000.0,-635000.0,-1750000.0
Other Non Operating Income Expenses,-4188000.0,-3130000.0,-635000.0,-1750000.0
Net Non Operating Interest Income Expense,85465000.0,87595000.0,70851000.0,15151000.0
Interest Expense Non Operating,3128000.0,8092000.0,9387000.0,9797000.0
Interest Income Non Operating,88593000.0,95687000.0,80238000.0,24948000.0
Operating Income,-136968000.0,-216064000.0,-233732000.0,-346655000.0
Operating Expense,1904707000.0,1687211000.0,1492258000.0,1281391000.0
Research And Development,716303000.0,596837000.0,515940000.0,421692000.0
Selling General And Administration,1188404000.0,1090374000.0,976318000.0,859699000.0
Selling And Marketing Expense,944389000.0,871148000.0,782760000.0,699201000.0
General And Administrative Expense,244015000.0,219226000.0,193558000.0,160498000.0
Other Gand A,244015000.0,219226000.0,193558000.0,160498000.0
Gross Profit,1767739000.0,1471147000.0,1258526000.0,934736000.0
Cost Of Revenue,696058000.0,535296000.0,424485000.0,349304000.0
Total Revenue,2463797000.0,2006443000.0,1683011000.0,1284040000.0
Operating Revenue,2463797000.0,2006443000.0,1683011000.0,1284040000.0
