,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Free Cash Flow,178470000.0,141832000.0,71568000.0,108318000.0,24559000.0,,
Repurchase Of Capital Stock,-57254000.0,-148633000.0,,,,0.0,
Repayment Of Debt,-1739000.0,-1715000.0,-1691000.0,-2394000.0,-1645000.0,,
Capital Expenditure,-1134000.0,-1678000.0,-537000.0,-1611000.0,-25979000.0,,
Interest Paid Supplemental Data,438000.0,463000.0,486000.0,510000.0,469000.0,,
Income Tax Paid Supplemental Data,,187000.0,6558000.0,3899000.0,3273000.0,6576000.0,
End Cash Position,1086625000.0,837170000.0,650206000.0,660438000.0,492753000.0,,
Beginning Cash Position,837170000.0,650206000.0,660438000.0,492753000.0,675663000.0,,
Effect Of Exchange Rate Changes,3497000.0,783000.0,68000.0,8000000.0,-2876000.0,,
Changes In Cash,245958000.0,186181000.0,-10300000.0,159685000.0,-180034000.0,,
Financing Cash Flow,-100303000.0,-188311000.0,-172010000.0,-1815000.0,15744000.0,,
Cash Flow From Continuing Financing Activities,-100303000.0,-188311000.0,-172010000.0,-1815000.0,15744000.0,,
Net Other Financing Charges,-60078000.0,,,,-366000.0,0.0,
Proceeds From Stock Option Exercised,18768000.0,533000.0,24127000.0,579000.0,17755000.0,,
Net Common Stock Issuance,-57254000.0,-148633000.0,,,,0.0,
Common Stock Payments,-57254000.0,-148633000.0,,,,0.0,
Net Issuance Payments Of Debt,-1739000.0,-1715000.0,-1691000.0,-2394000.0,-1645000.0,,
Net Long Term Debt Issuance,-1739000.0,-1715000.0,-1691000.0,-2394000.0,-1645000.0,,
Long Term Debt Payments,-1739000.0,-1715000.0,-1691000.0,-2394000.0,-1645000.0,,
Investing Cash Flow,166657000.0,230982000.0,89605000.0,51571000.0,-246316000.0,,
Cash Flow From Continuing Investing Activities,166657000.0,230982000.0,89605000.0,51571000.0,-246316000.0,,
Net Investment Purchase And Sale,167791000.0,232660000.0,90142000.0,55214000.0,-220337000.0,,
Sale Of Investment,249000000.0,232660000.0,292310000.0,198660000.0,227584000.0,,
Purchase Of Investment,-81209000.0,0.0,-202168000.0,-143446000.0,-447921000.0,,
Net Business Purchase And Sale,0.0,0.0,0.0,-2032000.0,0.0,,
Purchase Of Business,0.0,0.0,0.0,-2032000.0,0.0,,
Net PPE Purchase And Sale,-1134000.0,-1678000.0,-537000.0,-1611000.0,-25979000.0,,
Purchase Of PPE,-1134000.0,-1678000.0,-537000.0,-1611000.0,-25979000.0,,
Operating Cash Flow,179604000.0,143510000.0,72105000.0,109929000.0,50538000.0,,
Cash Flow From Continuing Operating Activities,179604000.0,143510000.0,72105000.0,109929000.0,50538000.0,,
Change In Working Capital,13789000.0,3968000.0,-26101000.0,7597000.0,-71802000.0,,
Change In Other Working Capital,82164000.0,55441000.0,-3178000.0,-31852000.0,24657000.0,,
Change In Other Current Liabilities,-1240000.0,-2840000.0,-4466000.0,-1049000.0,-3009000.0,,
Change In Other Current Assets,992000.0,-2931000.0,1525000.0,-12593000.0,-12973000.0,,
Change In Payables And Accrued Expense,22268000.0,18518000.0,17791000.0,-21831000.0,1732000.0,,
Change In Accrued Expense,16907000.0,13525000.0,16751000.0,-19353000.0,2760000.0,,
Change In Payable,5361000.0,4993000.0,1040000.0,-2478000.0,-1028000.0,,
Change In Account Payable,5361000.0,4993000.0,1040000.0,-2478000.0,-1028000.0,,
Change In Prepaid Assets,-9173000.0,2773000.0,317000.0,-4973000.0,-24231000.0,,
Change In Receivables,-81222000.0,-66993000.0,-38090000.0,79895000.0,-57978000.0,,
Changes In Account Receivables,-81222000.0,-66993000.0,-38090000.0,79895000.0,-57978000.0,,
Other Non Cash Items,,,,,0.0,715000.0,852000.0
Stock Based Compensation,143993000.0,133630000.0,140400000.0,132431000.0,125042000.0,,
Amortization Of Securities,-2094000.0,-2210000.0,-2739000.0,-3800000.0,-5942000.0,,
Deferred Tax,-2471000.0,447000.0,-1159000.0,25000.0,-15995000.0,,
Deferred Income Tax,-2471000.0,447000.0,-1159000.0,25000.0,-15995000.0,,
Depreciation Amortization Depletion,9279000.0,9562000.0,9511000.0,9060000.0,6112000.0,,
Depreciation And Amortization,9279000.0,9562000.0,9511000.0,9060000.0,6112000.0,,
Depreciation,9279000.0,9562000.0,9511000.0,9060000.0,6112000.0,,
Operating Gains Losses,1578000.0,120000.0,-759000.0,2242000.0,-2703000.0,,
Gain Loss On Investment Securities,500000.0,291000.0,0.0,272000.0,253000.0,,
Net Foreign Currency Exchange Gain Loss,1078000.0,-171000.0,-759000.0,1970000.0,-2956000.0,,
Net Income From Continuing Operations,15530000.0,-2007000.0,-47048000.0,-37626000.0,15826000.0,,
