,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,37470425000.0,31055398000.0,25065749000.0,21816718000.0
Repurchase Of Capital Stock,-8830115000.0,-5234294000.0,-8328124000.0,-12924333000.0
Repayment Of Debt,-14739347000.0,-8219472000.0,-273639000.0,-2297135000.0
Issuance Of Debt,13920080000.0,13569160000.0,6392695000.0,4447586000.0
Capital Expenditure,-2206388000.0,-4275877000.0,-2643484000.0,-3110009000.0
Interest Paid Supplemental Data,489622000.0,779872000.0,588381000.0,187628000.0
Income Tax Paid Supplemental Data,5189585000.0,4895752000.0,5092391000.0,3547299000.0
End Cash Position,54474923000.0,24206658000.0,27588325000.0,17376115000.0
Beginning Cash Position,24206658000.0,27588325000.0,17376115000.0,12168605000.0
Effect Of Exchange Rate Changes,10752000.0,-202457000.0,110403000.0,-55354000.0
Changes In Cash,30257513000.0,-3179210000.0,10101807000.0,5262864000.0
Financing Cash Flow,-27335702000.0,-21467054000.0,-10237699000.0,-12585569000.0
Cash Flow From Continuing Financing Activities,-27335702000.0,-21467054000.0,-10237699000.0,-12585569000.0
Net Other Financing Charges,136006000.0,86159000.0,-30921000.0,2138897000.0
Cash Dividends Paid,-11165338000.0,-8013903000.0,-6723667000.0,-3508377000.0
Common Stock Dividend Paid,-11165338000.0,-8013903000.0,-6723667000.0,-3508377000.0
Net Common Stock Issuance,-8830115000.0,-5234294000.0,-8328124000.0,-12924333000.0
Common Stock Payments,-8830115000.0,-5234294000.0,-8328124000.0,-12924333000.0
Net Issuance Payments Of Debt,-7476255000.0,-8305016000.0,4845013000.0,1708244000.0
Net Short Term Debt Issuance,-6656988000.0,-13654704000.0,-1274043000.0,-442207000.0
Short Term Debt Payments,,,-1274043000.0,-2739342000.0
Short Term Debt Issuance,,,,4447586000.0
Net Long Term Debt Issuance,-819267000.0,5349688000.0,6119056000.0,2150451000.0
Long Term Debt Payments,-14739347000.0,-8219472000.0,-273639000.0,-2297135000.0
Long Term Debt Issuance,13920080000.0,13569160000.0,6392695000.0,4447586000.0
Investing Cash Flow,17916402000.0,-17043431000.0,-7369727000.0,-7078294000.0
Cash From Discontinued Investing Activities,,,,0.0
Cash Flow From Continuing Investing Activities,17916402000.0,-17043431000.0,-7369727000.0,-7078294000.0
Net Other Investing Changes,-406632000.0,-423928000.0,-323779000.0,-268651000.0
Net Investment Purchase And Sale,18205701000.0,-12061935000.0,-6149094000.0,-3762186000.0
Sale Of Investment,182230891000.0,116796479000.0,103198563000.0,98238032000.0
Purchase Of Investment,-164025190000.0,-128858414000.0,-109347657000.0,-102000218000.0
Net Business Purchase And Sale,2309188000.0,-291993000.0,1705163000.0,-8972000.0
Sale Of Business,2822585000.0,152564000.0,2411070000.0,1115457000.0
Purchase Of Business,-513397000.0,-444557000.0,-705907000.0,-1124429000.0
Net Intangibles Purchase And Sale,-930988000.0,-1974323000.0,-543220000.0,-1508179000.0
Purchase Of Intangibles,-930988000.0,-1974323000.0,-543220000.0,-1508179000.0
Net PPE Purchase And Sale,-1260867000.0,-2291252000.0,-2058797000.0,-1530306000.0
Sale Of PPE,14533000.0,10302000.0,41467000.0,71524000.0
Purchase Of PPE,-1275400000.0,-2301554000.0,-2100264000.0,-1601830000.0
Operating Cash Flow,39676813000.0,35331275000.0,27709233000.0,24926727000.0
Cash From Discontinued Operating Activities,,,,0.0
Cash Flow From Continuing Operating Activities,39676813000.0,35331275000.0,27709233000.0,24926727000.0
Change In Working Capital,3651621000.0,375883000.0,3497368000.0,3187985000.0
Change In Other Working Capital,2022196000.0,1161861000.0,385396000.0,1351261000.0
Change In Payables And Accrued Expense,1598860000.0,300076000.0,1854145000.0,2726548000.0
Change In Accrued Expense,1530848000.0,1166673000.0,1899580000.0,2121416000.0
Change In Payable,68012000.0,-866597000.0,-45435000.0,605132000.0
Change In Account Payable,91142000.0,-559419000.0,447666000.0,-155262000.0
Change In Tax Payable,187788000.0,-244261000.0,-917614000.0,255060000.0
Change In Income Tax Payable,187788000.0,-244261000.0,-917614000.0,255060000.0
Change In Prepaid Assets,-809590000.0,87556000.0,731100000.0,640349000.0
Change In Inventory,123780000.0,296764000.0,-27613000.0,-343587000.0
Change In Receivables,716375000.0,-1470374000.0,554340000.0,-1186586000.0
Changes In Account Receivables,716375000.0,-1470374000.0,554340000.0,-1186586000.0
Stock Based Compensation,3882939000.0,3242810000.0,3174160000.0,3041492000.0
Unrealized Gain Loss On Investment Securities,-1372508000.0,-949523000.0,2761694000.0,-1111637000.0
Provisionand Write Offof Assets,68934000.0,61146000.0,61393000.0,265930000.0
Asset Impairment Charge,1291627000.0,469159000.0,300249000.0,100424000.0
Deferred Tax,320726000.0,131437000.0,489670000.0,407948000.0
Deferred Income Tax,320726000.0,131437000.0,489670000.0,407948000.0
Depreciation Amortization Depletion,2417894000.0,3055260000.0,2858209000.0,3275727000.0
Depreciation And Amortization,2417894000.0,3055260000.0,2858209000.0,3275727000.0
Operating Gains Losses,-840767000.0,-412120000.0,-4651936000.0,-1217332000.0
Earnings Losses From Equity Investments,155568000.0,-473947000.0,-1259941000.0,-1573068000.0
Gain Loss On Investment Securities,-272415000.0,-63784000.0,-1791355000.0,-186920000.0
Net Foreign Currency Exchange Gain Loss,-719162000.0,119935000.0,-1604260000.0,488604000.0
Gain Loss On Sale Of PPE,-4758000.0,5676000.0,3620000.0,54052000.0
Net Income From Continuing Operations,30256347000.0,29357223000.0,19218426000.0,16976190000.0
