,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,,93439548.0,161973774.0,336412881.0,481619040.0
Tax Rate For Calcs,,0.153,0.138,0.207,0.196
Normalized EBITDA,,31391168000.0,29590681000.0,20861619000.0,17235557000.0
Total Unusual Items,,610716000.0,1173723000.0,1625183000.0,2457240000.0
Total Unusual Items Excluding Goodwill,,610716000.0,1173723000.0,1625183000.0,2457240000.0
Net Income From Continuing Operation Net Minority Interest,,29697609000.0,29416552000.0,19712736000.0,16856842000.0
Reconciled Depreciation,,2417894000.0,3055260000.0,2858209000.0,3275727000.0
Reconciled Cost Of Revenue,,39488152000.0,40404765000.0,43729683000.0,40635225000.0
EBITDA,,32001884000.0,30764404000.0,22486802000.0,19692797000.0
EBIT,,29583990000.0,27709144000.0,19628593000.0,16417070000.0
Net Interest Income,,4920915000.0,4120418000.0,2149673000.0,1519714000.0
Interest Income,,4920915000.0,4120418000.0,2149673000.0,1519714000.0
Normalized Income,,29180332548.0,28404802774.0,18423965881.0,14881221040.0
Net Income From Continuing And Discontinued Operation,,29697609000.0,29416552000.0,20337600000.0,16856842000.0
Total Expenses,,75711246000.0,75759015000.0,76867216000.0,71188956000.0
Total Operating Income As Reported,,29583990000.0,27709144000.0,19628593000.0,16417070000.0
Diluted Average Shares,643634800.0,646120400.0,650405800.0,659202800.0,
Basic Average Shares,637290800.0,640090600.0,643295000.0,652691000.0,
Diluted EPS,52.4,45.95,45.25,30.85,
Basic EPS,52.95,46.4,45.75,31.15,
Diluted NI Availto Com Stockholders,,29697609000.0,29416552000.0,20337600000.0,16856842000.0
Net Income Common Stockholders,,29697609000.0,29416552000.0,20337600000.0,16856842000.0
Net Income,,29697609000.0,29416552000.0,20337600000.0,16856842000.0
Minority Interests,,-558738000.0,59329000.0,494310000.0,-119348000.0
Net Income Including Noncontrolling Interests,,30256347000.0,29357223000.0,19843290000.0,16976190000.0
Net Income Discontinuous Operations,,0.0,0.0,624864000.0,0.0
Net Income Continuous Operations,,30256347000.0,29357223000.0,19218426000.0,16976190000.0
Tax Provision,,5461408000.0,4699704000.0,5031838000.0,4128269000.0
Pretax Income,,35717755000.0,34056927000.0,24250264000.0,21104459000.0
Other Income Expense,,1212850000.0,2227365000.0,2471998000.0,3167675000.0
Other Non Operating Income Expenses,,602134000.0,1053642000.0,846815000.0,710435000.0
Gain On Sale Of Security,,610716000.0,1173723000.0,1625183000.0,2457240000.0
Net Non Operating Interest Income Expense,,4920915000.0,4120418000.0,2149673000.0,1519714000.0
Interest Income Non Operating,,4920915000.0,4120418000.0,2149673000.0,1519714000.0
Operating Income,,29583990000.0,27709144000.0,19628593000.0,16417070000.0
Operating Expense,,36223094000.0,35354250000.0,33137533000.0,30553731000.0
Research And Development,,17524812000.0,16484910000.0,15039014000.0,14075991000.0
Selling General And Administration,,18698282000.0,18869340000.0,18098519000.0,16477740000.0
Selling And Marketing Expense,,14147657000.0,13969460000.0,13402721000.0,12214191000.0
General And Administrative Expense,,4550625000.0,4899880000.0,4695798000.0,4263549000.0
Other Gand A,,4550625000.0,4899880000.0,4695798000.0,4263549000.0
Gross Profit,,65807084000.0,63063394000.0,52766126000.0,46970801000.0
Cost Of Revenue,,39488152000.0,40404765000.0,43729683000.0,40635225000.0
Total Revenue,,105295236000.0,103468159000.0,96495809000.0,87606026000.0
Operating Revenue,,105295236000.0,103468159000.0,96495809000.0,87606026000.0
