,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,12473326000.0,10358672000.0,11353810000.0,12579831000.0,9973845000.0
Repurchase Of Capital Stock,,-355563000.0,-303601000.0,-1595093000.0,-3994212000.0
Repayment Of Debt,-5879605000.0,-1804730000.0,-2935677000.0,0.0,-3100520000.0
Issuance Of Debt,1481550000.0,1231000000.0,2747550000.0,457000000.0,5395810000.0
Issuance Of Capital Stock,35227000.0,,,,
Capital Expenditure,-474628000.0,-503191000.0,-752842000.0,-432369000.0,-601767000.0
Interest Paid Supplemental Data,207879000.0,64366000.0,97424000.0,24343000.0,165881000.0
Income Tax Paid Supplemental Data,1967228000.0,2184556000.0,1206555000.0,603514000.0,554867000.0
End Cash Position,39984947000.0,58167094000.0,45395483000.0,54474923000.0,23183386000.0
Beginning Cash Position,58167094000.0,45395483000.0,54474923000.0,23183386000.0,21855316000.0
Effect Of Exchange Rate Changes,-117878000.0,-31749000.0,-56932000.0,113792000.0,-68136000.0
Changes In Cash,-18064269000.0,12803360000.0,-9022508000.0,31177745000.0,1396206000.0
Financing Cash Flow,-6391610000.0,-1951445000.0,-8288158000.0,-2462982000.0,-8458545000.0
Cash Flow From Continuing Financing Activities,-6391610000.0,-1951445000.0,-8288158000.0,-2462982000.0,-8458545000.0
Net Other Financing Charges,18072000.0,42400000.0,42517000.0,51614000.0,-8394000.0
Cash Dividends Paid,-2583740000.0,-3082122000.0,-5584532000.0,-1982595000.0,-1972928000.0
Common Stock Dividend Paid,-2583740000.0,-3082122000.0,-5584532000.0,-1982595000.0,-1972928000.0
Net Common Stock Issuance,35227000.0,-355563000.0,-303601000.0,-1595093000.0,-3994212000.0
Common Stock Payments,,-355563000.0,-303601000.0,-1595093000.0,-3994212000.0
Common Stock Issuance,35227000.0,,,,
Net Issuance Payments Of Debt,-3861169000.0,1443840000.0,-2442542000.0,1063092000.0,-2483011000.0
Net Short Term Debt Issuance,536886000.0,2017570000.0,-2254415000.0,606092000.0,-4778301000.0
Net Long Term Debt Issuance,-4398055000.0,-573730000.0,-188127000.0,457000000.0,2295290000.0
Long Term Debt Payments,-5879605000.0,-1804730000.0,-2935677000.0,0.0,-3100520000.0
Long Term Debt Issuance,1481550000.0,1231000000.0,2747550000.0,457000000.0,5395810000.0
Investing Cash Flow,-24620613000.0,3892942000.0,-12841002000.0,20628527000.0,-720861000.0
Cash Flow From Continuing Investing Activities,-24620613000.0,3892942000.0,-12841002000.0,20628527000.0,-720861000.0
Net Other Investing Changes,75342000.0,-27367000.0,-678000.0,-73553000.0,-125911000.0
Net Investment Purchase And Sale,-24222588000.0,4402001000.0,-12088818000.0,18815966000.0,5745000.0
