,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,,147821730.0,64850307.197746,106266762.0,138345249.386959,-62025600.0
Tax Rate For Calcs,,0.147,0.146561,0.153,0.134416,0.13
Normalized EBITDA,,7625748000.0,9047030000.0,10227366000.0,7489659000.0,8144424000.0
Total Unusual Items,,1005590000.0,442481000.0,694554000.0,1029235000.0,-477120000.0
Total Unusual Items Excluding Goodwill,,1005590000.0,442481000.0,694554000.0,1029235000.0,-477120000.0
Net Income From Continuing Operation Net Minority Interest,,8615677000.0,8601010000.0,10301157000.0,8766479000.0,6538435000.0
Reconciled Depreciation,,617872000.0,428427000.0,480761000.0,697447000.0,520567000.0
Reconciled Cost Of Revenue,,10181020000.0,9839182000.0,10349139000.0,10475470000.0,9733274000.0
EBITDA,,8631338000.0,9489511000.0,10921920000.0,8518894000.0,7667304000.0
EBIT,,8013466000.0,9061084000.0,10441159000.0,7821447000.0,7146737000.0
Net Interest Income,,936706000.0,953490000.0,1060886000.0,1174333000.0,1282766000.0
Interest Income,,936706000.0,953490000.0,1060886000.0,1174333000.0,1282766000.0
Normalized Income,,7757908730.0,8223379307.197746,9712869762.0,7875589249.386959,6953529400.0
Net Income From Continuing And Discontinued Operation,,8615677000.0,8601010000.0,10301157000.0,8766479000.0,6538435000.0
Total Expenses,,20345159000.0,18830580000.0,18387386000.0,18926364000.0,19063142000.0
Total Operating Income As Reported,,8013466000.0,9061084000.0,10441159000.0,7821447000.0,7146737000.0
Diluted Average Shares,645581400.0,644699400.0,642936200.0,641272400.0,641220000.0,
Basic Average Shares,638361000.0,638246200.0,637726800.0,634779800.0,634822600.0,
Diluted EPS,9.65,13.35,13.35,16.05,13.65,
Basic EPS,9.8,13.5,13.5,16.25,13.8,
Diluted NI Availto Com Stockholders,,8615677000.0,8601010000.0,10301157000.0,8766479000.0,6538435000.0
Net Income Common Stockholders,,8615677000.0,8601010000.0,10301157000.0,8766479000.0,6538435000.0
Net Income,,8615677000.0,8601010000.0,10301157000.0,8766479000.0,6538435000.0
Minority Interests,,-176927000.0,-487455000.0,-245614000.0,-152474000.0,-168003000.0
Net Income Including Noncontrolling Interests,,8792604000.0,9088465000.0,10546771000.0,8918953000.0,6706438000.0
Net Income Continuous Operations,,8792604000.0,9088465000.0,10546771000.0,8918953000.0,6706438000.0
Tax Provision,,1316356000.0,1560757000.0,1905143000.0,1385014000.0,1289545000.0
Pretax Income,,10108960000.0,10649222000.0,12451914000.0,10303967000.0,7995983000.0
Other Income Expense,,1158788000.0,634648000.0,949869000.0,1308187000.0,-433520000.0
Other Non Operating Income Expenses,,153198000.0,192167000.0,255315000.0,278952000.0,43600000.0
Gain On Sale Of Security,,1005590000.0,442481000.0,694554000.0,1029235000.0,-477120000.0
Net Non Operating Interest Income Expense,,936706000.0,953490000.0,1060886000.0,1174333000.0,1282766000.0
Interest Income Non Operating,,936706000.0,953490000.0,1060886000.0,1174333000.0,1282766000.0
Operating Income,,8013466000.0,9061084000.0,10441159000.0,7821447000.0,7146737000.0
Operating Expense,,10164139000.0,8991398000.0,8038247000.0,8450894000.0,9329868000.0
Research And Development,,4541891000.0,4356646000.0,4386313000.0,4469868000.0,4424469000.0
Selling General And Administration,,5622248000.0,4634752000.0,3651934000.0,3981026000.0,4905399000.0
Selling And Marketing Expense,,4457675000.0,3578174000.0,2695597000.0,2818645000.0,3805071000.0
General And Administrative Expense,,1164573000.0,1056578000.0,956337000.0,1162381000.0,1100328000.0
Other Gand A,,1164573000.0,1056578000.0,956337000.0,1162381000.0,1100328000.0
Gross Profit,,18177605000.0,18052482000.0,18479406000.0,16272341000.0,16476605000.0
Cost Of Revenue,,10181020000.0,9839182000.0,10349139000.0,10475470000.0,9733274000.0
Total Revenue,,28358625000.0,27891664000.0,28828545000.0,26747811000.0,26209879000.0
Operating Revenue,,28358625000.0,27891664000.0,28828545000.0,26747811000.0,26209879000.0
