,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2100591000.0,1141231000.0,697069000.0,183710000.0,
Repurchase Of Capital Stock,-74985000.0,-64196000.0,0.0,0.0,
Repayment Of Debt,,,0.0,0.0,-200000000.0
Issuance Of Debt,,,,0.0,0.0
Issuance Of Capital Stock,,,,0.0,0.0
Capital Expenditure,-33882000.0,-12634000.0,-15114000.0,-40027000.0,
Interest Paid Supplemental Data,,,,5000.0,2774000.0
Income Tax Paid Supplemental Data,,16179000.0,13515000.0,2904000.0,4131000.0
End Cash Position,1451425000.0,2119936000.0,850107000.0,2627335000.0,
Beginning Cash Position,2119936000.0,850107000.0,2627335000.0,2366914000.0,
Effect Of Exchange Rate Changes,7477000.0,-6745000.0,2930000.0,-3885000.0,
Changes In Cash,-675988000.0,1276574000.0,-1780158000.0,264306000.0,
Financing Cash Flow,-26910000.0,463364000.0,218839000.0,85996000.0,
Cash Flow From Continuing Financing Activities,-26910000.0,463364000.0,218839000.0,85996000.0,
Net Other Financing Charges,-81032000.0,-217836000.0,601000.0,-93000.0,
Proceeds From Stock Option Exercised,129107000.0,745396000.0,218238000.0,86089000.0,
Net Preferred Stock Issuance,,,,,0.0
Preferred Stock Payments,,,,,0.0
Preferred Stock Issuance,,,,,0.0
Net Common Stock Issuance,-74985000.0,-64196000.0,0.0,0.0,
Common Stock Payments,-74985000.0,-64196000.0,0.0,0.0,
Common Stock Issuance,,,,0.0,0.0
Net Issuance Payments Of Debt,,,0.0,0.0,-200000000.0
Net Long Term Debt Issuance,,,0.0,0.0,-200000000.0
Long Term Debt Payments,,,0.0,0.0,-200000000.0
Long Term Debt Issuance,,,,0.0,0.0
Investing Cash Flow,-2783551000.0,-340655000.0,-2711180000.0,-45427000.0,
Cash Flow From Continuing Investing Activities,-2783551000.0,-340655000.0,-2711180000.0,-45427000.0,
Net Other Investing Changes,-1000000.0,-5615000.0,51072000.0,66781000.0,
Net Investment Purchase And Sale,-2748669000.0,-328021000.0,-2747138000.0,-72181000.0,
Sale Of Investment,5026315000.0,5073507000.0,2889268000.0,52319000.0,
Purchase Of Investment,-7774984000.0,-5401528000.0,-5636406000.0,-124500000.0,
Net Business Purchase And Sale,,,0.0,66708000.0,0.0
Sale Of Business,,,0.0,66708000.0,0.0
Purchase Of Business,,,,,0.0
Net PPE Purchase And Sale,-33882000.0,-12634000.0,-15114000.0,-40027000.0,
Purchase Of PPE,-33882000.0,-12634000.0,-15114000.0,-40027000.0,
Operating Cash Flow,2134473000.0,1153865000.0,712183000.0,223737000.0,
Cash Flow From Continuing Operating Activities,2134473000.0,1153865000.0,712183000.0,223737000.0,
Change In Working Capital,-209963000.0,-70097000.0,6236000.0,-261217000.0,
Change In Other Working Capital,238688000.0,76796000.0,143859000.0,-110625000.0,
Change In Other Current Liabilities,-54860000.0,-44412000.0,-49572000.0,-34663000.0,
Change In Other Current Assets,,4681000.0,3242000.0,6033000.0,-3345000.0
Change In Payables And Accrued Expense,4659000.0,96793000.0,21063000.0,-24332000.0,
Change In Accrued Expense,,115634000.0,52895000.0,5527000.0,15245000.0
Change In Payable,4659000.0,96793000.0,21063000.0,-29859000.0,
Change In Account Payable,4659000.0,96793000.0,21063000.0,-29859000.0,
Change In Prepaid Assets,51979000.0,11883000.0,-2955000.0,-24811000.0,
Change In Receivables,-450429000.0,-211157000.0,-106159000.0,-72819000.0,
Changes In Account Receivables,,-211157000.0,-106159000.0,-72819000.0,-35237000.0
Other Non Cash Items,-21614000.0,13513000.0,-33845000.0,-3380000.0,
Stock Based Compensation,684033000.0,691638000.0,475903000.0,564798000.0,
Unrealized Gain Loss On Investment Securities,21228000.0,19306000.0,13160000.0,272108000.0,
Asset Impairment Charge,,,,,0.0
Deferred Tax,,,-4806000.0,-174000.0,43316000.0
Deferred Income Tax,,,-4806000.0,-174000.0,43316000.0
Depreciation Amortization Depletion,26145000.0,31587000.0,33354000.0,22522000.0,
Depreciation And Amortization,26145000.0,31587000.0,33354000.0,22522000.0,
Net Income From Continuing Operations,1634644000.0,467918000.0,217375000.0,-371094000.0,
