,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.014,0.043451,0.083158,0.21,
Normalized EBITDA,1440160000.0,341990000.0,153320000.0,-138679000.0,
Net Income From Continuing Operation Net Minority Interest,1625033000.0,462190000.0,209825000.0,-373705000.0,
Reconciled Depreciation,26145000.0,31587000.0,33354000.0,22522000.0,
Reconciled Cost Of Revenue,789177000.0,565990000.0,431105000.0,408549000.0,
EBITDA,1440160000.0,341990000.0,153320000.0,-138679000.0,
EBIT,1414015000.0,310403000.0,119966000.0,-161201000.0,
Net Interest Income,,196792000.0,132572000.0,20309000.0,-2033000.0
Interest Expense,,,3470000.0,4058000.0,3640000.0
Interest Income,229181000.0,196792000.0,132572000.0,20309000.0,
Normalized Income,1625033000.0,462190000.0,209825000.0,-373705000.0,
Net Income From Continuing And Discontinued Operation,1625033000.0,462190000.0,209825000.0,-373705000.0,
Total Expenses,3061431000.0,2555104000.0,2105046000.0,2067072000.0,
Total Operating Income As Reported,1414015000.0,310403000.0,119966000.0,-161201000.0,
Diluted Average Shares,2565197000.0,2447246030.0,2294577862.0,2060785103.0,
Basic Average Shares,2369612000.0,2246883476.0,2144316182.0,2060785103.0,
Diluted EPS,0.63,0.190277,0.090131,-0.180263,
Basic EPS,0.69,0.210307,0.100146,-0.180263,
Diluted NI Availto Com Stockholders,1625033000.0,462190000.0,209825000.0,-373705000.0,
Average Dilution Earnings,,,,0.0,0.0
Net Income Common Stockholders,1625033000.0,462190000.0,209825000.0,-373705000.0,
Otherunder Preferred Stock Dividend,,,,,0.0
Net Income,1625033000.0,462190000.0,209825000.0,-373705000.0,
Minority Interests,-9611000.0,-5728000.0,-7550000.0,-2611000.0,
Net Income Including Noncontrolling Interests,1634644000.0,467918000.0,217375000.0,-371094000.0,
Net Income Continuous Operations,1634644000.0,467918000.0,217375000.0,-371094000.0,
Tax Provision,22724000.0,21255000.0,19716000.0,10067000.0,
Pretax Income,1657368000.0,489173000.0,237091000.0,-361027000.0,
Other Income Expense,14172000.0,-18022000.0,-15447000.0,-220135000.0,
Other Non Operating Income Expenses,14172000.0,-18022000.0,-15447000.0,-220135000.0,
Net Non Operating Interest Income Expense,229181000.0,196792000.0,132572000.0,20309000.0,
Interest Expense Non Operating,,,3470000.0,4058000.0,3640000.0
Interest Income Non Operating,229181000.0,196792000.0,132572000.0,20309000.0,
Operating Income,1414015000.0,310403000.0,119966000.0,-161201000.0,
Operating Expense,2272254000.0,1989114000.0,1673941000.0,1658523000.0,
Research And Development,557677000.0,507878000.0,404624000.0,359679000.0,
Selling General And Administration,1714577000.0,1481236000.0,1269317000.0,1298844000.0,
Selling And Marketing Expense,,887755000.0,744992000.0,702511000.0,614512000.0
General And Administrative Expense,657718000.0,593481000.0,524325000.0,596333000.0,
Other Gand A,657718000.0,593481000.0,524325000.0,596333000.0,
Gross Profit,3686269000.0,2299517000.0,1793907000.0,1497322000.0,
Cost Of Revenue,789177000.0,565990000.0,431105000.0,408549000.0,
Total Revenue,4475446000.0,2865507000.0,2225012000.0,1905871000.0,
Operating Revenue,4475446000.0,2865507000.0,2225012000.0,1905871000.0,
