,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,764023000.0,500872000.0,531617000.0,304079000.0,457221000.0,
Repurchase Of Capital Stock,-19196000.0,-19195000.0,-18596000.0,-17998000.0,-18598000.0,
Capital Expenditure,-13272000.0,-6792000.0,-7634000.0,-6184000.0,-3106000.0,
End Cash Position,1451425000.0,1644826000.0,951234000.0,1015005000.0,2119936000.0,
Beginning Cash Position,1644826000.0,951234000.0,1015005000.0,2119936000.0,788456000.0,
Effect Of Exchange Rate Changes,-1967000.0,-2074000.0,7538000.0,3980000.0,-7705000.0,
Changes In Cash,-191434000.0,695666000.0,-71309000.0,-1108911000.0,1339185000.0,
Financing Cash Flow,-10898000.0,6435000.0,6450000.0,-28897000.0,238664000.0,
Cash Flow From Continuing Financing Activities,-10898000.0,6435000.0,6450000.0,-28897000.0,238664000.0,
Net Other Financing Charges,30000.0,-8000.0,-3571000.0,-77483000.0,-217927000.0,
Proceeds From Stock Option Exercised,8268000.0,25638000.0,28617000.0,66584000.0,475189000.0,
Net Common Stock Issuance,-19196000.0,-19195000.0,-18596000.0,-17998000.0,-18598000.0,
Common Stock Payments,-19196000.0,-19195000.0,-18596000.0,-17998000.0,-18598000.0,
Investing Cash Flow,-957831000.0,181567000.0,-617010000.0,-1390277000.0,640194000.0,
Cash Flow From Continuing Investing Activities,-957831000.0,181567000.0,-617010000.0,-1390277000.0,640194000.0,
Net Other Investing Changes,0.0,,,-30000000.0,-1615000.0,0.0
Net Investment Purchase And Sale,-944559000.0,189359000.0,-639376000.0,-1354093000.0,644915000.0,
Sale Of Investment,665988000.0,3707565000.0,302135000.0,350627000.0,2622129000.0,
Purchase Of Investment,-1610547000.0,-3518206000.0,-941511000.0,-1704720000.0,-1977214000.0,
Net PPE Purchase And Sale,-13272000.0,-6792000.0,-7634000.0,-6184000.0,-3106000.0,
Purchase Of PPE,-13272000.0,-6792000.0,-7634000.0,-6184000.0,-3106000.0,
Operating Cash Flow,777295000.0,507664000.0,539251000.0,310263000.0,460327000.0,
Cash Flow From Continuing Operating Activities,777295000.0,507664000.0,539251000.0,310263000.0,460327000.0,
Change In Working Capital,-48564000.0,-134522000.0,39444000.0,-66321000.0,104156000.0,
Change In Other Working Capital,78534000.0,39488000.0,101906000.0,18760000.0,-55544000.0,
Change In Other Current Liabilities,-15359000.0,-14564000.0,-11690000.0,-13247000.0,-15150000.0,
Change In Other Current Assets,,,,,625000.0,-1515000.0
Change In Payables And Accrued Expense,-85923000.0,42380000.0,25807000.0,22395000.0,46934000.0,
Change In Accrued Expense,,,,,73485000.0,72697000.0
Change In Payable,-85923000.0,42380000.0,25807000.0,22395000.0,-26551000.0,
Change In Account Payable,-85923000.0,42380000.0,25807000.0,22395000.0,-26551000.0,
Change In Prepaid Assets,1636000.0,57650000.0,-48037000.0,40730000.0,26749000.0,
Change In Receivables,-27452000.0,-259476000.0,-28542000.0,-134959000.0,100542000.0,
Changes In Account Receivables,-27452000.0,-259476000.0,-28542000.0,-134959000.0,100542000.0,
Other Non Cash Items,-5394000.0,-18312000.0,15874000.0,-13782000.0,-2854000.0,
Stock Based Compensation,196405000.0,172318000.0,159971000.0,155339000.0,281798000.0,
Unrealized Gain Loss On Investment Securities,16223000.0,5457000.0,-11140000.0,10688000.0,-6715000.0,
Depreciation Amortization Depletion,7018000.0,5975000.0,6530000.0,6622000.0,7006000.0,
Depreciation And Amortization,7018000.0,5975000.0,6530000.0,6622000.0,7006000.0,
Net Income From Continuing Operations,611607000.0,476748000.0,328572000.0,217717000.0,76936000.0,
