,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.015733,0.007811,0.010826,0.025072,0.044724,
Normalized EBITDA,582412000.0,399231000.0,275847000.0,182670000.0,18049000.0,
Net Income From Continuing Operation Net Minority Interest,608676000.0,475599000.0,326727000.0,214031000.0,79009000.0,
Reconciled Depreciation,7018000.0,5975000.0,6530000.0,6622000.0,7006000.0,
Reconciled Cost Of Revenue,215966000.0,207307000.0,192934000.0,172970000.0,174533000.0,
EBITDA,582412000.0,399231000.0,275847000.0,182670000.0,18049000.0,
EBIT,575394000.0,393256000.0,269317000.0,176048000.0,11043000.0,
Net Interest Income,62723000.0,59762000.0,56255000.0,50441000.0,54727000.0,
Interest Income,62723000.0,59762000.0,56255000.0,50441000.0,54727000.0,
Normalized Income,608676000.0,475599000.0,326727000.0,214031000.0,79009000.0,
Net Income From Continuing And Discontinued Operation,608676000.0,475599000.0,326727000.0,214031000.0,79009000.0,
Total Expenses,831408000.0,787836000.0,734380000.0,707807000.0,816476000.0,
Total Operating Income As Reported,575394000.0,393256000.0,269317000.0,176048000.0,11043000.0,
Diluted Average Shares,2573497000.0,2567309786.0,2559176657.0,2549097369.0,2524594133.0,
Basic Average Shares,2386904000.0,2373702373.0,2361748820.0,2345255893.0,2301523724.0,
Diluted EPS,0.24,0.180263,0.13019,0.080117,0.030044,
Basic EPS,0.26,0.200292,0.140204,0.090131,0.030044,
Diluted NI Availto Com Stockholders,608676000.0,475599000.0,326727000.0,214031000.0,79009000.0,
Net Income Common Stockholders,608676000.0,475599000.0,326727000.0,214031000.0,79009000.0,
Net Income,608676000.0,475599000.0,326727000.0,214031000.0,79009000.0,
Minority Interests,-2931000.0,-1149000.0,-1845000.0,-3686000.0,2073000.0,
Net Income Including Noncontrolling Interests,611607000.0,476748000.0,328572000.0,217717000.0,76936000.0,
Net Income Continuous Operations,611607000.0,476748000.0,328572000.0,217717000.0,76936000.0,
Tax Provision,9776000.0,3753000.0,3596000.0,5599000.0,3602000.0,
Pretax Income,621383000.0,480501000.0,332168000.0,223316000.0,80538000.0,
Other Income Expense,-16734000.0,27483000.0,6596000.0,-3173000.0,14768000.0,
Other Non Operating Income Expenses,-16734000.0,27483000.0,6596000.0,-3173000.0,14768000.0,
Net Non Operating Interest Income Expense,62723000.0,59762000.0,56255000.0,50441000.0,54727000.0,
Interest Income Non Operating,62723000.0,59762000.0,56255000.0,50441000.0,54727000.0,
Operating Income,575394000.0,393256000.0,269317000.0,176048000.0,11043000.0,
Operating Expense,615442000.0,580529000.0,541446000.0,534837000.0,641943000.0,
Research And Development,,144191000.0,135043000.0,134889000.0,171502000.0,117555000.0
Selling General And Administration,471888000.0,436338000.0,406403000.0,399948000.0,470441000.0,
Selling And Marketing Expense,302126000.0,274636000.0,243788000.0,236309000.0,288295000.0,
General And Administrative Expense,169762000.0,161702000.0,162615000.0,163639000.0,182146000.0,
Other Gand A,169762000.0,161702000.0,162615000.0,163639000.0,182146000.0,
Gross Profit,1190836000.0,973785000.0,810763000.0,710885000.0,652986000.0,
Cost Of Revenue,215966000.0,207307000.0,192934000.0,172970000.0,174533000.0,
Total Revenue,1406802000.0,1181092000.0,1003697000.0,883855000.0,827519000.0,
Operating Revenue,1406802000.0,1181092000.0,1003697000.0,883855000.0,827519000.0,
