,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,5564000000.0,6767000000.0,4220000000.0,5107000000.0,
Repurchase Of Capital Stock,-6052000000.0,-6047000000.0,-5002000000.0,-4199000000.0,
Repayment Of Debt,-5104000000.0,-2317000000.0,-1053000000.0,-1686000000.0,
Issuance Of Debt,5586000000.0,2202000000.0,1528000000.0,3475000000.0,
Issuance Of Capital Stock,117000000.0,95000000.0,127000000.0,143000000.0,
Capital Expenditure,-852000000.0,-683000000.0,-623000000.0,-706000000.0,
Interest Paid Supplemental Data,406000000.0,366000000.0,331000000.0,280000000.0,
Income Tax Paid Supplemental Data,1099000000.0,1027000000.0,2118000000.0,878000000.0,
End Cash Position,24018000000.0,22490000000.0,21834000000.0,19156000000.0,
Beginning Cash Position,22490000000.0,21834000000.0,19156000000.0,18029000000.0,
Effect Of Exchange Rate Changes,273000000.0,-207000000.0,76000000.0,-155000000.0,
Changes In Cash,1255000000.0,863000000.0,2602000000.0,1282000000.0,
Financing Cash Flow,-5958000000.0,-8276000000.0,-2993000000.0,-1203000000.0,
Cash Flow From Continuing Financing Activities,-5958000000.0,-8276000000.0,-2993000000.0,-1203000000.0,
Net Other Financing Charges,-375000000.0,-2209000000.0,1407000000.0,1064000000.0,
Cash Dividends Paid,-130000000.0,0.0,0.0,,
Common Stock Dividend Paid,-130000000.0,0.0,0.0,,
Net Common Stock Issuance,-5935000000.0,-5952000000.0,-4875000000.0,-4056000000.0,
Common Stock Payments,-6052000000.0,-6047000000.0,-5002000000.0,-4199000000.0,
Common Stock Issuance,117000000.0,95000000.0,127000000.0,143000000.0,
Net Issuance Payments Of Debt,482000000.0,-115000000.0,475000000.0,1789000000.0,
Net Long Term Debt Issuance,482000000.0,-115000000.0,475000000.0,1789000000.0,
Long Term Debt Payments,-5104000000.0,-2317000000.0,-1053000000.0,-1686000000.0,
Long Term Debt Issuance,5586000000.0,2202000000.0,1528000000.0,3475000000.0,
Investing Cash Flow,797000000.0,1689000000.0,752000000.0,-3328000000.0,
Cash Flow From Continuing Investing Activities,797000000.0,1689000000.0,752000000.0,-3328000000.0,
Net Other Investing Changes,-975000000.0,1705000000.0,-1451000000.0,-5819000000.0,
Net Investment Purchase And Sale,2621000000.0,666000000.0,2315000000.0,3192000000.0,
Sale Of Investment,23221000000.0,27299000000.0,24295000000.0,23411000000.0,
Purchase Of Investment,-20600000000.0,-26633000000.0,-21980000000.0,-20219000000.0,
Net Business Purchase And Sale,0.0,0.0,466000000.0,0.0,
Sale Of Business,0.0,0.0,466000000.0,0.0,
Purchase Of Business,,,0.0,0.0,-2763000000.0
Net PPE Purchase And Sale,-849000000.0,-682000000.0,-578000000.0,-701000000.0,
Sale Of PPE,3000000.0,1000000.0,45000000.0,5000000.0,
Purchase Of PPE,-852000000.0,-683000000.0,-623000000.0,-706000000.0,
Operating Cash Flow,6416000000.0,7450000000.0,4843000000.0,5813000000.0,
Cash Flow From Continuing Operating Activities,6416000000.0,7450000000.0,4843000000.0,5813000000.0,
Change In Working Capital,-1064000000.0,-558000000.0,-1314000000.0,-454000000.0,
Change In Other Working Capital,-1318000000.0,-1131000000.0,-1188000000.0,-1230000000.0,
Change In Other Current Liabilities,599000000.0,798000000.0,97000000.0,856000000.0,
Change In Other Current Assets,-493000000.0,-393000000.0,-116000000.0,118000000.0,
Change In Payables And Accrued Expense,4000000.0,83000000.0,7000000.0,-35000000.0,
Change In Payable,4000000.0,83000000.0,7000000.0,-35000000.0,
Change In Account Payable,4000000.0,83000000.0,7000000.0,-35000000.0,
Change In Tax Payable,,,,373000000.0,73000000.0
Change In Income Tax Payable,,,,373000000.0,73000000.0
Change In Receivables,144000000.0,85000000.0,-114000000.0,-163000000.0,
Changes In Account Receivables,144000000.0,85000000.0,-114000000.0,-163000000.0,
Other Non Cash Items,310000000.0,1418000000.0,956000000.0,1847000000.0,
Stock Based Compensation,1002000000.0,1230000000.0,1475000000.0,1261000000.0,
Amortization Of Securities,-83000000.0,-335000000.0,-367000000.0,-70000000.0,
Deferred Tax,217000000.0,231000000.0,-668000000.0,-811000000.0,
Deferred Income Tax,217000000.0,231000000.0,-668000000.0,-811000000.0,
Depreciation Amortization Depletion,963000000.0,1032000000.0,1072000000.0,1317000000.0,
Depreciation And Amortization,963000000.0,1032000000.0,1072000000.0,1317000000.0,
Amortization Cash Flow,175000000.0,207000000.0,226000000.0,471000000.0,
Amortization Of Intangibles,175000000.0,207000000.0,226000000.0,471000000.0,
Depreciation,788000000.0,825000000.0,846000000.0,846000000.0,
Operating Gains Losses,-162000000.0,285000000.0,-557000000.0,304000000.0,
Gain Loss On Investment Securities,-162000000.0,285000000.0,-201000000.0,304000000.0,
Gain Loss On Sale Of Business,0.0,0.0,-356000000.0,0.0,
Net Income From Continuing Operations,5233000000.0,4147000000.0,4246000000.0,2419000000.0,
