,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-28444214.876033,-160365171.702008,61275000.0,-143591000.0
Tax Rate For Calcs,0.168309,0.221805,0.215,0.281
Normalized EBITDA,7865000000.0,7466000000.0,6545000000.0,5498000000.0
Total Unusual Items,-169000000.0,-723000000.0,285000000.0,-511000000.0
Total Unusual Items Excluding Goodwill,-169000000.0,-723000000.0,285000000.0,-511000000.0
Net Income From Continuing Operation Net Minority Interest,5233000000.0,4147000000.0,4246000000.0,2419000000.0
Reconciled Depreciation,963000000.0,1032000000.0,1072000000.0,1317000000.0
Reconciled Cost Of Revenue,17707000000.0,17139000000.0,16067000000.0,13745000000.0
EBITDA,7696000000.0,6743000000.0,6830000000.0,4987000000.0
EBIT,6733000000.0,5711000000.0,5758000000.0,3670000000.0
Net Interest Income,76000000.0,280000000.0,133000000.0,-130000000.0
Interest Expense,441000000.0,382000000.0,347000000.0,304000000.0
Interest Income,517000000.0,662000000.0,480000000.0,174000000.0
Normalized Income,5373555785.123967,4709634828.297992,4022275000.0,2786409000.0
Net Income From Continuing And Discontinued Operation,5233000000.0,4147000000.0,4246000000.0,2419000000.0
Total Expenses,26776000000.0,26034000000.0,24827000000.0,23474000000.0
Total Operating Income As Reported,6065000000.0,5325000000.0,5028000000.0,3837000000.0
Diluted Average Shares,968000000.0,1039000000.0,1107000000.0,1158000000.0
Basic Average Shares,959000000.0,1029000000.0,1103000000.0,1154000000.0
Diluted EPS,5.41,3.99,3.84,2.09
Basic EPS,5.46,4.03,3.85,2.1
Diluted NI Availto Com Stockholders,5233000000.0,4147000000.0,4246000000.0,2419000000.0
Net Income Common Stockholders,5233000000.0,4147000000.0,4246000000.0,2419000000.0
Net Income,5233000000.0,4147000000.0,4246000000.0,2419000000.0
Net Income Including Noncontrolling Interests,5233000000.0,4147000000.0,4246000000.0,2419000000.0
Net Income Continuous Operations,5233000000.0,4147000000.0,4246000000.0,2419000000.0
Tax Provision,1059000000.0,1182000000.0,1165000000.0,947000000.0
Pretax Income,6292000000.0,5329000000.0,5411000000.0,3366000000.0
Other Income Expense,-180000000.0,-714000000.0,334000000.0,-548000000.0
Other Non Operating Income Expenses,-11000000.0,9000000.0,49000000.0,-37000000.0
Special Income Charges,-331000000.0,-438000000.0,84000000.0,-207000000.0
Restructuring And Mergern Acquisition,331000000.0,438000000.0,-84000000.0,207000000.0
Gain On Sale Of Security,162000000.0,-285000000.0,201000000.0,-304000000.0
Net Non Operating Interest Income Expense,76000000.0,280000000.0,133000000.0,-130000000.0
Interest Expense Non Operating,441000000.0,382000000.0,347000000.0,304000000.0
Interest Income Non Operating,517000000.0,662000000.0,480000000.0,174000000.0
Operating Income,6396000000.0,5763000000.0,4944000000.0,4044000000.0
Operating Expense,9069000000.0,8895000000.0,8760000000.0,9729000000.0
Other Operating Expenses,1704000000.0,1768000000.0,1919000000.0,2120000000.0
Research And Development,3103000000.0,2979000000.0,2973000000.0,3253000000.0
Selling General And Administration,4262000000.0,4148000000.0,3868000000.0,4356000000.0
Selling And Marketing Expense,2283000000.0,2001000000.0,1809000000.0,2257000000.0
General And Administrative Expense,1979000000.0,2147000000.0,2059000000.0,2099000000.0
Other Gand A,1979000000.0,2147000000.0,2059000000.0,2099000000.0
Gross Profit,15465000000.0,14658000000.0,13704000000.0,13773000000.0
Cost Of Revenue,17707000000.0,17139000000.0,16067000000.0,13745000000.0
Total Revenue,33172000000.0,31797000000.0,29771000000.0,27518000000.0
Operating Revenue,33172000000.0,31797000000.0,29771000000.0,27518000000.0
