,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2190000000.0,1718000000.0,692000000.0,964000000.0,2191000000.0,
Repurchase Of Capital Stock,-1501000000.0,-1500000000.0,-1551000000.0,-1500000000.0,-1269000000.0,
Repayment Of Debt,-201000000.0,-3291000000.0,-1612000000.0,0.0,-1250000000.0,
Issuance Of Debt,400000000.0,3290000000.0,405000000.0,1491000000.0,0.0,
Issuance Of Capital Stock,43000000.0,0.0,,,40000000.0,0.0
Capital Expenditure,-194000000.0,-256000000.0,-206000000.0,-196000000.0,-203000000.0,
Interest Paid Supplemental Data,196000000.0,19000000.0,189000000.0,2000000.0,198000000.0,
Income Tax Paid Supplemental Data,66000000.0,196000000.0,742000000.0,95000000.0,52000000.0,
End Cash Position,24018000000.0,23853000000.0,18980000000.0,20981000000.0,22390000000.0,
Beginning Cash Position,23853000000.0,18980000000.0,20981000000.0,22390000000.0,21434000000.0,
Effect Of Exchange Rate Changes,28000000.0,-44000000.0,195000000.0,94000000.0,-310000000.0,
Changes In Cash,137000000.0,4917000000.0,-2296000000.0,-1503000000.0,1266000000.0,
Financing Cash Flow,-1949000000.0,-1829000000.0,-3174000000.0,994000000.0,-3585000000.0,
Cash Flow From Continuing Financing Activities,-1949000000.0,-1829000000.0,-3174000000.0,994000000.0,-3585000000.0,
Net Other Financing Charges,-560000000.0,-328000000.0,-490000000.0,1003000000.0,-1106000000.0,
Net Common Stock Issuance,-1458000000.0,-1500000000.0,-1477000000.0,-1500000000.0,-1229000000.0,
Common Stock Payments,-1501000000.0,-1500000000.0,-1551000000.0,-1500000000.0,-1269000000.0,
Common Stock Issuance,43000000.0,0.0,,,40000000.0,0.0
Net Issuance Payments Of Debt,199000000.0,-1000000.0,-1207000000.0,1491000000.0,-1250000000.0,
Net Long Term Debt Issuance,199000000.0,-1000000.0,-1207000000.0,1491000000.0,-1250000000.0,
Long Term Debt Payments,-201000000.0,-3291000000.0,-1612000000.0,0.0,-1250000000.0,
Long Term Debt Issuance,400000000.0,3290000000.0,405000000.0,1491000000.0,0.0,
Investing Cash Flow,-298000000.0,4772000000.0,-20000000.0,-3657000000.0,2457000000.0,
Cash Flow From Continuing Investing Activities,-298000000.0,4772000000.0,-20000000.0,-3657000000.0,2457000000.0,
Net Other Investing Changes,438000000.0,1983000000.0,-551000000.0,-2845000000.0,2280000000.0,
Net Investment Purchase And Sale,-542000000.0,3045000000.0,736000000.0,-618000000.0,379000000.0,
Sale Of Investment,3906000000.0,7432000000.0,6331000000.0,5552000000.0,5894000000.0,
Purchase Of Investment,-4448000000.0,-4387000000.0,-5595000000.0,-6170000000.0,-5515000000.0,
Net PPE Purchase And Sale,-194000000.0,-256000000.0,-205000000.0,-194000000.0,-202000000.0,
Sale Of PPE,0.0,0.0,1000000.0,2000000.0,1000000.0,
Purchase Of PPE,-194000000.0,-256000000.0,-206000000.0,-196000000.0,-203000000.0,
Operating Cash Flow,2384000000.0,1974000000.0,898000000.0,1160000000.0,2394000000.0,
Cash Flow From Continuing Operating Activities,2384000000.0,1974000000.0,898000000.0,1160000000.0,2394000000.0,
Change In Working Capital,495000000.0,101000000.0,-984000000.0,-676000000.0,34000000.0,
Change In Other Working Capital,246000000.0,-69000000.0,-969000000.0,-526000000.0,-484000000.0,
Change In Payables And Accrued Expense,10000000.0,44000000.0,2000000.0,-52000000.0,59000000.0,
Change In Payable,10000000.0,44000000.0,2000000.0,-52000000.0,59000000.0,
Change In Account Payable,10000000.0,44000000.0,2000000.0,-52000000.0,59000000.0,
Change In Receivables,133000000.0,126000000.0,-17000000.0,-98000000.0,54000000.0,
Changes In Account Receivables,133000000.0,126000000.0,-17000000.0,-98000000.0,54000000.0,
Other Non Cash Items,-17000000.0,-29000000.0,217000000.0,139000000.0,470000000.0,
Stock Based Compensation,210000000.0,257000000.0,286000000.0,249000000.0,283000000.0,
Amortization Of Securities,-6000000.0,-20000000.0,-27000000.0,-30000000.0,-45000000.0,
Deferred Tax,124000000.0,182000000.0,-83000000.0,-6000000.0,223000000.0,
Deferred Income Tax,124000000.0,182000000.0,-83000000.0,-6000000.0,223000000.0,
Depreciation Amortization Depletion,234000000.0,245000000.0,239000000.0,245000000.0,249000000.0,
Depreciation And Amortization,234000000.0,245000000.0,239000000.0,245000000.0,249000000.0,
Operating Gains Losses,-93000000.0,-10000000.0,-11000000.0,-48000000.0,59000000.0,
Gain Loss On Investment Securities,-93000000.0,-10000000.0,-11000000.0,-48000000.0,59000000.0,
Net Income From Continuing Operations,1437000000.0,1248000000.0,1261000000.0,1287000000.0,1121000000.0,
