,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,5568585848.0,5503491148.0,5278348396.0,5057542676.0
Share Issued,5568585848.0,5503491148.0,5278348396.0,5057542676.0
Net Debt,,,,5362192000.0
Total Debt,10607140000.0,10165901000.0,16934324000.0,12760334000.0
Tangible Book Value,313293954000.0,187220459000.0,117636909000.0,74413327000.0
Invested Capital,318622721000.0,193121700000.0,133232417000.0,86903454000.0
Working Capital,227225379000.0,141849571000.0,99728396000.0,67179454000.0
Net Tangible Assets,313293954000.0,187220459000.0,117636909000.0,74413327000.0
Capital Lease Obligations,5297543000.0,4285808000.0,1472818000.0,971427000.0
Common Stock Equity,313313124000.0,187241607000.0,117770911000.0,75114547000.0
Total Capitalization,313313124000.0,192473130000.0,119346666000.0,86903454000.0
Total Equity Gross Minority Interest,313313124000.0,187241607000.0,117770911000.0,75114547000.0
Stockholders Equity,313313124000.0,187241607000.0,117770911000.0,75114547000.0
Gains Losses Not Affecting Retained Earnings,8062225000.0,4829742000.0,3327238000.0,-2519900000.0
Other Equity Adjustments,8062225000.0,4829742000.0,3327238000.0,-2519900000.0
Retained Earnings,187421411000.0,75118597000.0,15193035000.0,-17706533000.0
Additional Paid In Capital,117829308000.0,107293091000.0,99250468000.0,95340819000.0
Capital Stock,180000.0,177000.0,170000.0,161000.0
Common Stock,180000.0,177000.0,170000.0,161000.0
Total Liabilities Net Minority Interest,191721192000.0,160836513000.0,119349042000.0,106095171000.0
Total Non Current Liabilities Net Minority Interest,3298339000.0,7935612000.0,2459562000.0,12365457000.0
Other Non Current Liabilities,,,,996000.0
Non Current Deferred Liabilities,106774000.0,59829000.0,13025000.0,31291000.0
Non Current Deferred Taxes Liabilities,106774000.0,59829000.0,13025000.0,31291000.0
Long Term Debt And Capital Lease Obligation,3191565000.0,7875783000.0,2446537000.0,12333170000.0
Long Term Capital Lease Obligation,3191565000.0,2644260000.0,870782000.0,544263000.0
Long Term Debt,,5231523000.0,1575755000.0,11788907000.0
Current Liabilities,188422853000.0,152900901000.0,116889480000.0,93729714000.0
Other Current Liabilities,19419477000.0,21710708000.0,16854496000.0,14375282000.0
Current Deferred Liabilities,2947041000.0,2144610000.0,1389655000.0,1166764000.0
Current Deferred Revenue,2947041000.0,2144610000.0,1389655000.0,1166764000.0
Current Debt And Capital Lease Obligation,7415575000.0,2290118000.0,14487787000.0,427164000.0
Current Capital Lease Obligation,2105978000.0,1641548000.0,602036000.0,427164000.0
Current Debt,5309597000.0,648570000.0,13885751000.0,
Other Current Borrowings,5309597000.0,648570000.0,13885751000.0,
Payables And Accrued Expenses,158640760000.0,126755465000.0,84157542000.0,77760504000.0
Current Accrued Expenses,11070464000.0,13485287000.0,5850125000.0,3652648000.0
Payables,147570296000.0,113270178000.0,78307417000.0,74107856000.0
Other Payable,4026851000.0,3200108000.0,2364723000.0,1949173000.0
Dueto Related Parties Current,801859000.0,1238776000.0,1676391000.0,1963007000.0
Total Tax Payable,22805311000.0,16928603000.0,6970790000.0,5734281000.0
Accounts Payable,119936275000.0,91902691000.0,67295513000.0,64461395000.0
Total Assets,505034316000.0,348078120000.0,237119953000.0,181209718000.0
Total Non Current Assets,89386084000.0,53327648000.0,20502077000.0,20300550000.0
Other Non Current Assets,83407238000.0,47951276000.0,16862117000.0,16425966000.0
Non Current Deferred Assets,15998000.0,270738000.0,1045030000.0,31504000.0
Non Current Deferred Taxes Assets,15998000.0,270738000.0,1045030000.0,31504000.0
Goodwill And Other Intangible Assets,19170000.0,21148000.0,134002000.0,701220000.0
Other Intangible Assets,,21148000.0,134002000.0,701220000.0
Net PPE,5943678000.0,5084486000.0,2460928000.0,3141860000.0
Accumulated Depreciation,-3925392000.0,-3240041000.0,-2577263000.0,-960835000.0
Gross PPE,9869070000.0,8324527000.0,5038191000.0,4102695000.0
Leases,128743000.0,69691000.0,30249000.0,28773000.0
Other Properties,5064351000.0,4104889000.0,1416081000.0,938537000.0
Machinery Furniture Equipment,4675976000.0,4149947000.0,3591861000.0,3135385000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,415648232000.0,294750472000.0,216617876000.0,160909168000.0
Other Current Assets,1599341000.0,1528672000.0,799034000.0,885484000.0
Restricted Cash,68426368000.0,61985436000.0,57974225000.0,59617256000.0
Prepaid Assets,1910051000.0,1445749000.0,1053354000.0,1504068000.0
Inventory,,,,14196000.0
Receivables,12152563000.0,12580781000.0,7352517000.0,5959027000.0
Duefrom Related Parties Current,7569180000.0,7428070000.0,6318830000.0,4250155000.0
Taxes Receivable,699033000.0,871593000.0,326427000.0,670541000.0
Accrued Interest Receivable,205041000.0,367001000.0,119564000.0,364594000.0
Accounts Receivable,3679309000.0,3914117000.0,587696000.0,673737000.0
Cash Cash Equivalents And Short Term Investments,331559909000.0,217209834000.0,149438746000.0,92943333000.0
Other Short Term Investments,273791856000.0,157415365000.0,115112554000.0,86516618000.0
Cash And Cash Equivalents,57768053000.0,59794469000.0,34326192000.0,6426715000.0
