,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,,89943498.0,5893965.0,-19462300.0,14278250.0
Tax Rate For Calcs,,0.153,0.165,0.13,0.199
Normalized EBITDA,,134737089000.0,73777626000.0,39355463000.0,12458922000.0
Total Unusual Items,,587866000.0,35721000.0,-149710000.0,71750000.0
Total Unusual Items Excluding Goodwill,,587866000.0,35721000.0,-149710000.0,71750000.0
Net Income From Continuing Operation Net Minority Interest,,112434512000.0,60026544000.0,31538062000.0,7768670000.0
Reconciled Depreciation,,2640887000.0,1888205000.0,2735084000.0,1844243000.0
Reconciled Cost Of Revenue,,153900374000.0,91723577000.0,31462298000.0,31718093000.0
EBITDA,,135324955000.0,73813347000.0,39205753000.0,12530672000.0
EBIT,,132684068000.0,71925142000.0,36470669000.0,10686429000.0
Net Interest Income,,20553493000.0,10194093000.0,3945445000.0,1830660000.0
Interest Expense,,0.0,43987000.0,51655000.0,1231002000.0
Interest Income,,20553493000.0,10238080000.0,3997100000.0,3061662000.0
Normalized Income,,111936589498.0,59996716965.0,31668309700.0,7711198250.0
Net Income From Continuing And Discontinued Operation,,112434512000.0,60026544000.0,31538062000.0,7768670000.0
Total Expenses,,285413235000.0,188940443000.0,100155668000.0,87053177000.0
Total Operating Income As Reported,,108422862000.0,58698762000.0,30401921000.0,6896762000.0
Diluted Average Shares,1482394000.0,1479148000.0,1459907500.0,1440322750.0,
Basic Average Shares,1397732500.0,1384012250.0,1354026500.0,1264385000.0,
Diluted EPS,67.04,76.0,41.16,21.92,
Basic EPS,71.08,81.24,44.32,24.96,
Diluted NI Availto Com Stockholders,,112434512000.0,60070531000.0,31589717000.0,7768670000.0
Average Dilution Earnings,,0.0,43987000.0,51655000.0,0.0
Net Income Common Stockholders,,112434512000.0,60026544000.0,31538062000.0,7768670000.0
Net Income,,112434512000.0,60026544000.0,31538062000.0,7768670000.0
Net Income Including Noncontrolling Interests,,112434512000.0,60026544000.0,31538062000.0,7768670000.0
Net Income Continuous Operations,,112434512000.0,60026544000.0,31538062000.0,7768670000.0
Earnings From Equity Interest Net Of Tax,,17225000.0,-4707000.0,-155285000.0,246828000.0
Tax Provision,,20266781000.0,11849904000.0,4725667000.0,1933585000.0
Pretax Income,,132684068000.0,71881155000.0,36419014000.0,9455427000.0
Other Income Expense,,3707713000.0,2988300000.0,2071648000.0,728005000.0
Other Non Operating Income Expenses,,3119847000.0,2952579000.0,2221358000.0,656255000.0
Gain On Sale Of Security,,587866000.0,35721000.0,-149710000.0,71750000.0
Net Non Operating Interest Income Expense,,20553493000.0,10194093000.0,3945445000.0,1830660000.0
Interest Expense Non Operating,,0.0,43987000.0,51655000.0,1231002000.0
Interest Income Non Operating,,20553493000.0,10238080000.0,3997100000.0,3061662000.0
Operating Income,,108422862000.0,58698762000.0,30401921000.0,6896762000.0
Operating Expense,,131512861000.0,97216866000.0,68693370000.0,55335084000.0
Research And Development,,12659361000.0,10952374000.0,10384716000.0,8992590000.0
Selling General And Administration,,118853500000.0,86264492000.0,58308654000.0,46342494000.0
Selling And Marketing Expense,,111300533000.0,82188870000.0,54343719000.0,44801720000.0
General And Administrative Expense,,7552967000.0,4075622000.0,3964935000.0,1540774000.0
Other Gand A,,7552967000.0,4075622000.0,3964935000.0,1540774000.0
Gross Profit,,239935723000.0,155915628000.0,99095291000.0,62231846000.0
Cost Of Revenue,,153900374000.0,91723577000.0,31462298000.0,31718093000.0
Total Revenue,,393836097000.0,247639205000.0,130557589000.0,93949939000.0
Operating Revenue,,393836097000.0,247639205000.0,130557589000.0,93949939000.0
