,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,,5678585848.0,5678585848.0,5568585848.0,5568585848.0
Share Issued,,5678585848.0,5678585848.0,5568585848.0,5568585848.0
Total Debt,10673639000.0,10963320000.0,11252827000.0,10607140000.0,10236831000.0
Tangible Book Value,391386633000.0,361846355000.0,329683175000.0,313293954000.0,278484832000.0
Invested Capital,396651340000.0,367151241000.0,335003462000.0,318622721000.0,283680824000.0
Working Capital,297141635000.0,274080048000.0,250749355000.0,227225379000.0,206834365000.0
Net Tangible Assets,391386633000.0,361846355000.0,329683175000.0,313293954000.0,278484832000.0
Capital Lease Obligations,5425275000.0,5675735000.0,5950764000.0,5297543000.0,5060927000.0
Common Stock Equity,391402976000.0,361863656000.0,329701399000.0,313313124000.0,278504920000.0
Total Capitalization,391402976000.0,361863656000.0,329701399000.0,313313124000.0,283680824000.0
Total Equity Gross Minority Interest,391402976000.0,361863656000.0,329701399000.0,313313124000.0,278504920000.0
Stockholders Equity,391402976000.0,361863656000.0,329701399000.0,313313124000.0,278504920000.0
Gains Losses Not Affecting Retained Earnings,5144907000.0,6987826000.0,7534223000.0,8062225000.0,2973404000.0
Other Equity Adjustments,5144907000.0,6987826000.0,7534223000.0,8062225000.0,2973404000.0
Retained Earnings,262244881000.0,232916697000.0,202163240000.0,187421411000.0,160106472000.0
Additional Paid In Capital,124013007000.0,121958952000.0,120003756000.0,117829308000.0,115424865000.0
Capital Stock,181000.0,181000.0,180000.0,180000.0,179000.0
Common Stock,181000.0,181000.0,180000.0,180000.0,179000.0
Total Liabilities Net Minority Interest,222321342000.0,205292640000.0,200811846000.0,191721192000.0,188288949000.0
Total Non Current Liabilities Net Minority Interest,3103160000.0,3330143000.0,3787098000.0,3298339000.0,8292027000.0
Non Current Deferred Liabilities,63536000.0,70170000.0,161511000.0,106774000.0,70294000.0
Non Current Deferred Taxes Liabilities,63536000.0,70170000.0,161511000.0,106774000.0,70294000.0
Long Term Debt And Capital Lease Obligation,3039624000.0,3259973000.0,3625587000.0,3191565000.0,8221733000.0
Long Term Capital Lease Obligation,3039624000.0,3259973000.0,3625587000.0,3191565000.0,3045829000.0
Long Term Debt,,,,,5175904000.0
Current Liabilities,219218182000.0,201962497000.0,197024748000.0,188422853000.0,179996922000.0
Other Current Liabilities,17429593000.0,17137378000.0,16620020000.0,19419477000.0,16769864000.0
Current Deferred Liabilities,3331621000.0,3601464000.0,2945057000.0,2947041000.0,2951591000.0
Current Deferred Revenue,3331621000.0,3601464000.0,2945057000.0,2947041000.0,2951591000.0
Current Debt And Capital Lease Obligation,7634015000.0,7703347000.0,7627240000.0,7415575000.0,2015098000.0
Current Capital Lease Obligation,2385651000.0,2415762000.0,2325177000.0,2105978000.0,2015098000.0
Current Debt,5248364000.0,5287585000.0,5302063000.0,5309597000.0,
Other Current Borrowings,5248364000.0,5287585000.0,5302063000.0,5309597000.0,
Payables And Accrued Expenses,190822953000.0,173520308000.0,169832431000.0,158640760000.0,158260369000.0
Current Accrued Expenses,89065852000.0,76838168000.0,76207380000.0,11070464000.0,74404296000.0
Payables,101757101000.0,96682140000.0,93625051000.0,147570296000.0,83856073000.0
Other Payable,,,,4026851000.0,
Dueto Related Parties Current,1179075000.0,1160511000.0,1109924000.0,801859000.0,1075858000.0
Total Tax Payable,,,,22805311000.0,
Accounts Payable,100578026000.0,95521629000.0,92515127000.0,119936275000.0,82780215000.0
Total Assets,613724318000.0,567156296000.0,530513245000.0,505034316000.0,466793869000.0
Total Non Current Assets,97364501000.0,91113751000.0,82739142000.0,89386084000.0,79962582000.0
Other Non Current Assets,90469308000.0,84971006000.0,76226396000.0,83407238000.0,73974101000.0
Non Current Deferred Assets,670254000.0,73303000.0,62764000.0,15998000.0,272699000.0
Non Current Deferred Taxes Assets,670254000.0,73303000.0,62764000.0,15998000.0,272699000.0
Goodwill And Other Intangible Assets,16343000.0,17301000.0,18224000.0,19170000.0,20088000.0
Net PPE,6208596000.0,6052141000.0,6431758000.0,5943678000.0,5695694000.0
Accumulated Depreciation,,,,-3925392000.0,
Gross PPE,6208596000.0,6052141000.0,6431758000.0,9869070000.0,5695694000.0
Leases,,,,128743000.0,
Other Properties,6208596000.0,6052141000.0,6431758000.0,5064351000.0,5695694000.0
Machinery Furniture Equipment,,,,4675976000.0,
Properties,,,,0.0,
Current Assets,516359817000.0,476042545000.0,447774103000.0,415648232000.0,386831287000.0
Other Current Assets,6440356000.0,7540578000.0,5254619000.0,1599341000.0,4053807000.0
Restricted Cash,71002923000.0,66677640000.0,65131872000.0,68426368000.0,60393064000.0
Prepaid Assets,,,,1910051000.0,
Receivables,15147251000.0,14693243000.0,12886776000.0,12152563000.0,13922664000.0
Duefrom Related Parties Current,9148789000.0,8685737000.0,7411701000.0,7569180000.0,9288981000.0
Taxes Receivable,,,,699033000.0,
Accrued Interest Receivable,,,,205041000.0,
Accounts Receivable,5998462000.0,6007506000.0,5475075000.0,3679309000.0,4633683000.0
Cash Cash Equivalents And Short Term Investments,423769287000.0,387131084000.0,364500836000.0,331559909000.0,308461752000.0
Other Short Term Investments,331382740000.0,323908642000.0,294374619000.0,273791856000.0,243166321000.0
Cash And Cash Equivalents,92386547000.0,63222442000.0,70126217000.0,57768053000.0,65295431000.0
