,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,,-31771211.484921,-108399477.219585,-56136040.982334,134943310.219436,-78812302.238113
Tax Rate For Calcs,,0.119801,0.13561,0.231833,0.156815,0.143991
Normalized EBITDA,,25291124000.0,26592249000.0,16327703000.0,31552182000.0,24839801000.0
Total Unusual Items,,-265200000.0,-799350000.0,-242140000.0,860526000.0,-547343000.0
Total Unusual Items Excluding Goodwill,,-265200000.0,-799350000.0,-242140000.0,860526000.0,-547343000.0
Net Income From Continuing Operation Net Minority Interest,,29328184000.0,30753457000.0,14741829000.0,27446637000.0,24980694000.0
Reconciled Cost Of Revenue,,46840159000.0,45858933000.0,40947100000.0,47798376000.0,39709214000.0
EBITDA,,25025924000.0,25792899000.0,16085563000.0,32412708000.0,24292458000.0
EBIT,,25025924000.0,25792899000.0,16085563000.0,32412708000.0,24292458000.0
Net Interest Income,,8565241000.0,10422628000.0,223125000.0,5233232000.0,5416080000.0
Interest Expense,,,,,0.0,0.0
Interest Income,,8565241000.0,10422628000.0,223125000.0,5233232000.0,5416080000.0
Normalized Income,,29561612788.51508,31444407522.780415,14927832959.017666,26721054310.219437,25449224697.761887
Net Income From Continuing And Discontinued Operation,,29328184000.0,30753457000.0,14741829000.0,27446637000.0,24980694000.0
Total Expenses,,83250588000.0,78191933000.0,79586612000.0,85017891000.0,75061943000.0
Total Operating Income As Reported,,25025924000.0,25792899000.0,16085563000.0,25592215000.0,24292458000.0
Diluted Average Shares,1486696750.0,1488449000.0,1481950000.0,1483081250.0,1481319500.0,
Basic Average Shares,1402589500.0,1399306000.0,1396949250.0,1391950750.0,1389194000.0,
Diluted EPS,16.52,19.72,20.76,9.96,18.52,
Basic EPS,17.48,20.96,22.0,10.6,19.76,
Diluted NI Availto Com Stockholders,,29328184000.0,30753457000.0,14741829000.0,27446637000.0,24980694000.0
Net Income Common Stockholders,,29328184000.0,30753457000.0,14741829000.0,27446637000.0,24980694000.0
Net Income,,29328184000.0,30753457000.0,14741829000.0,27446637000.0,24980694000.0
Net Income Including Noncontrolling Interests,,29328184000.0,30753457000.0,14741829000.0,27446637000.0,24980694000.0
Net Income Continuous Operations,,29328184000.0,30753457000.0,14741829000.0,27446637000.0,24980694000.0
Earnings From Equity Interest Net Of Tax,,37287000.0,37097000.0,-105180000.0,116725000.0,2513000.0
Tax Provision,,3986686000.0,4818923000.0,4480831000.0,5082796000.0,4201620000.0
Pretax Income,,33277583000.0,35535283000.0,19327840000.0,32412708000.0,29179801000.0
Other Income Expense,,-313582000.0,-680244000.0,3019152000.0,1587261000.0,-528737000.0
Other Non Operating Income Expenses,,-48382000.0,119106000.0,3261292000.0,726735000.0,18606000.0
Gain On Sale Of Security,,-265200000.0,-799350000.0,-242140000.0,860526000.0,-547343000.0
Net Non Operating Interest Income Expense,,8565241000.0,10422628000.0,223125000.0,5233232000.0,5416080000.0
Interest Expense Non Operating,,,,,0.0,0.0
Interest Income Non Operating,,8565241000.0,10422628000.0,223125000.0,5233232000.0,5416080000.0
Operating Income,,25025924000.0,25792899000.0,16085563000.0,25592215000.0,24292458000.0
Operating Expense,,36410429000.0,32333000000.0,38639512000.0,37219515000.0,35352729000.0
Research And Development,,4332173000.0,3591279000.0,3577828000.0,3777178000.0,3063353000.0
Selling General And Administration,,32078256000.0,28741721000.0,35061684000.0,33442337000.0,32289376000.0
Selling And Marketing Expense,,30322947000.0,27209896000.0,33402741000.0,31356941000.0,30483800000.0
General And Administrative Expense,,1755309000.0,1531825000.0,1658943000.0,2085396000.0,1805576000.0
Other Gand A,,1755309000.0,1531825000.0,1658943000.0,2085396000.0,1805576000.0
Gross Profit,,61436353000.0,58125899000.0,54725075000.0,62811730000.0,59645187000.0
Cost Of Revenue,,46840159000.0,45858933000.0,40947100000.0,47798376000.0,39709214000.0
Total Revenue,,108276512000.0,103984832000.0,95672175000.0,110610106000.0,99354401000.0
Operating Revenue,,108276512000.0,103984832000.0,95672175000.0,110610106000.0,99354401000.0
