,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.07,0.21,0.21,0.21,
Normalized EBITDA,345034000.0,201083000.0,-104169000.0,-55188000.0,
Net Income From Continuing Operation Net Minority Interest,416855000.0,1862106000.0,-35610000.0,-96047000.0,
Reconciled Depreciation,25151000.0,21266000.0,21509000.0,46489000.0,
Reconciled Cost Of Revenue,841521000.0,750355000.0,688760000.0,678597000.0,
EBITDA,345034000.0,201083000.0,-104169000.0,-55188000.0,
EBIT,319883000.0,179817000.0,-125678000.0,-101677000.0,
Net Interest Income,110493000.0,127003000.0,105439000.0,30235000.0,
Interest Expense,,,,15210000.0,9420000.0
Interest Income,,,,30943000.0,4204000.0
Normalized Income,416855000.0,1862106000.0,-35610000.0,-96047000.0,
Net Income From Continuing And Discontinued Operation,416855000.0,1862106000.0,-35610000.0,-96047000.0,
Total Expenses,3901884000.0,3466349000.0,3180749000.0,2904251000.0,
Total Operating Income As Reported,319883000.0,179817000.0,-125678000.0,-101677000.0,
Diluted Average Shares,,698376000.0,674641000.0,665732000.0,691651000.0
Basic Average Shares,,678831000.0,674641000.0,665732000.0,640030000.0
Diluted EPS,,2.67,-0.05,-0.14,0.46
Basic EPS,,2.74,-0.05,-0.14,0.49
Diluted NI Availto Com Stockholders,416855000.0,1862106000.0,-35610000.0,-96047000.0,
Net Income Common Stockholders,416855000.0,1862106000.0,-35610000.0,-96047000.0,
Net Income,416855000.0,1862106000.0,-35610000.0,-96047000.0,
Net Income Including Noncontrolling Interests,416855000.0,1862106000.0,-35610000.0,-96047000.0,
Net Income Continuous Operations,416855000.0,1862106000.0,-35610000.0,-96047000.0,
Tax Provision,29035000.0,-1574501000.0,19170000.0,10103000.0,
Pretax Income,445890000.0,287605000.0,-16440000.0,-85944000.0,
Other Income Expense,15514000.0,-19215000.0,3799000.0,-14502000.0,
Other Non Operating Income Expenses,15514000.0,-19215000.0,3799000.0,-14502000.0,
Net Non Operating Interest Income Expense,110493000.0,127003000.0,105439000.0,30235000.0,
Total Other Finance Cost,-110493000.0,-127003000.0,-105439000.0,-30235000.0,
Interest Expense Non Operating,,,,15210000.0,9420000.0
Interest Income Non Operating,,,,30943000.0,4204000.0
Operating Income,319883000.0,179817000.0,-125678000.0,-101677000.0,
Operating Expense,3060363000.0,2715994000.0,2491989000.0,2225654000.0,
Research And Development,1427447000.0,1240564000.0,1068416000.0,948980000.0,
Selling General And Administration,1632916000.0,1475430000.0,1423573000.0,1276674000.0,
Selling And Marketing Expense,1166705000.0,1011772000.0,911166000.0,933133000.0,
General And Administrative Expense,466211000.0,463658000.0,512407000.0,343541000.0,
Other Gand A,466211000.0,463658000.0,512407000.0,343541000.0,
Gross Profit,3380246000.0,2895811000.0,2366311000.0,2123977000.0,
Cost Of Revenue,841521000.0,750355000.0,688760000.0,678597000.0,
Total Revenue,4221767000.0,3646166000.0,3055071000.0,2802574000.0,
Operating Revenue,4221767000.0,3646166000.0,3055071000.0,2802574000.0,
