,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,380368000.0,318421000.0,196683000.0,356417000.0,250202000.0,
Repurchase Of Capital Stock,-586722000.0,-312179000.0,-158340000.0,-268754000.0,-184933000.0,
Capital Expenditure,-10845000.0,-3231000.0,-11010000.0,-7289000.0,-3793000.0,
Income Tax Paid Supplemental Data,5278000.0,3019000.0,5283000.0,8796000.0,6358000.0,
End Cash Position,975362000.0,1137200000.0,1221737000.0,1257077000.0,1141221000.0,
Beginning Cash Position,1137200000.0,1221737000.0,1257077000.0,1141221000.0,1040402000.0,
Effect Of Exchange Rate Changes,-54000.0,77000.0,1376000.0,902000.0,-1901000.0,
Changes In Cash,-161784000.0,-84614000.0,-36716000.0,114954000.0,102720000.0,
Financing Cash Flow,-586722000.0,-312179000.0,-158340000.0,-260701000.0,-183066000.0,
Cash Flow From Continuing Financing Activities,-586722000.0,-312179000.0,-158340000.0,-260701000.0,-183066000.0,
Proceeds From Stock Option Exercised,0.0,0.0,0.0,8053000.0,1867000.0,
Net Common Stock Issuance,-586722000.0,-312179000.0,-158340000.0,-268754000.0,-184933000.0,
Common Stock Payments,-586722000.0,-312179000.0,-158340000.0,-268754000.0,-184933000.0,
Investing Cash Flow,33725000.0,-94087000.0,-86069000.0,11949000.0,31791000.0,
Cash Flow From Continuing Investing Activities,33725000.0,-94087000.0,-86069000.0,11949000.0,31791000.0,
Net Investment Purchase And Sale,44570000.0,-90856000.0,-75059000.0,19238000.0,35584000.0,
Sale Of Investment,377068000.0,265279000.0,387916000.0,434574000.0,349040000.0,
Purchase Of Investment,-332498000.0,-356135000.0,-462975000.0,-415336000.0,-313456000.0,
Net PPE Purchase And Sale,-10845000.0,-3231000.0,-11010000.0,-7289000.0,-3793000.0,
Purchase Of PPE,-10845000.0,-3231000.0,-11010000.0,-7289000.0,-3793000.0,
Operating Cash Flow,391213000.0,321652000.0,207693000.0,363706000.0,253995000.0,
Cash Flow From Continuing Operating Activities,391213000.0,321652000.0,207693000.0,363706000.0,253995000.0,
Change In Working Capital,-162225000.0,6052000.0,-83983000.0,188232000.0,-187599000.0,
Change In Other Current Liabilities,-6939000.0,-9334000.0,-9241000.0,-7666000.0,-11195000.0,
Change In Other Current Assets,9075000.0,7575000.0,7023000.0,7222000.0,8350000.0,
Change In Payables And Accrued Expense,33142000.0,30652000.0,-8167000.0,2634000.0,-4188000.0,
Change In Accrued Expense,-2149000.0,31793000.0,-3883000.0,-10402000.0,1917000.0,
Change In Payable,35291000.0,-1141000.0,-4284000.0,13036000.0,-6105000.0,
Change In Account Payable,35291000.0,-1141000.0,-4284000.0,13036000.0,-6105000.0,
Change In Prepaid Assets,1468000.0,17883000.0,-23814000.0,961000.0,36829000.0,
Change In Receivables,-198971000.0,-40724000.0,-49784000.0,185081000.0,-217395000.0,
Changes In Account Receivables,-198971000.0,-40724000.0,-49784000.0,185081000.0,-217395000.0,
Other Non Cash Items,-2597000.0,-6447000.0,29627000.0,760000.0,-2531000.0,
Stock Based Compensation,230667000.0,235136000.0,227234000.0,187426000.0,198913000.0,
Asset Impairment Charge,,,,,0.0,0.0
Amortization Of Securities,-4456000.0,-4123000.0,-4105000.0,-5408000.0,-7893000.0,
Deferred Tax,46746000.0,-8279000.0,-5925000.0,-22074000.0,,
Deferred Income Tax,46746000.0,-8279000.0,-5925000.0,-22074000.0,,
Depreciation Amortization Depletion,6008000.0,7205000.0,6090000.0,5848000.0,6064000.0,
Depreciation And Amortization,6008000.0,7205000.0,6090000.0,5848000.0,6064000.0,
Net Income From Continuing Operations,277070000.0,92108000.0,38755000.0,8922000.0,1847475000.0,
