,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.154519,0.21,0.21,0.21,0.21
Normalized EBITDA,307182000.0,65721000.0,1760000.0,-29629000.0,267654000.0
Net Income From Continuing Operation Net Minority Interest,277070000.0,92108000.0,38755000.0,8922000.0,1847475000.0
Reconciled Depreciation,6008000.0,7205000.0,6090000.0,5848000.0,6064000.0
Reconciled Cost Of Revenue,226917000.0,212325000.0,203009000.0,199270000.0,196955000.0
EBITDA,307182000.0,65721000.0,1760000.0,-29629000.0,267654000.0
EBIT,301174000.0,58516000.0,-4330000.0,-35477000.0,261590000.0
Net Interest Income,26642000.0,28536000.0,28022000.0,27293000.0,28580000.0
Normalized Income,277070000.0,92108000.0,38755000.0,8922000.0,1847475000.0
Net Income From Continuing And Discontinued Operation,277070000.0,92108000.0,38755000.0,8922000.0,1847475000.0
Total Expenses,1018173000.0,990689000.0,1002557000.0,890465000.0,892540000.0
Total Operating Income As Reported,301174000.0,58516000.0,-4330000.0,-35477000.0,261590000.0
Diluted Average Shares,677418000.0,694532000.0,689837000.0,689358000.0,688226000.0
Basic Average Shares,667692000.0,677819000.0,676852000.0,676523000.0,674880000.0
Diluted EPS,0.41,0.13,0.06,0.01,2.68
Basic EPS,0.41,0.14,0.06,0.01,2.74
Diluted NI Availto Com Stockholders,277070000.0,92108000.0,38755000.0,8922000.0,1847475000.0
Net Income Common Stockholders,277070000.0,92108000.0,38755000.0,8922000.0,1847475000.0
Net Income,277070000.0,92108000.0,38755000.0,8922000.0,1847475000.0
Net Income Including Noncontrolling Interests,277070000.0,92108000.0,38755000.0,8922000.0,1847475000.0
Net Income Continuous Operations,277070000.0,92108000.0,38755000.0,8922000.0,1847475000.0
Tax Provision,50637000.0,-4912000.0,-4103000.0,-12587000.0,-1570635000.0
Pretax Income,327707000.0,87196000.0,34652000.0,-3665000.0,276840000.0
Other Income Expense,-109000.0,144000.0,10960000.0,4519000.0,-13330000.0
Other Non Operating Income Expenses,-109000.0,144000.0,10960000.0,4519000.0,-13330000.0
Net Non Operating Interest Income Expense,26642000.0,28536000.0,28022000.0,27293000.0,28580000.0
Total Other Finance Cost,-26642000.0,-28536000.0,-28022000.0,-27293000.0,-28580000.0
Operating Income,301174000.0,58516000.0,-4330000.0,-35477000.0,261590000.0
Operating Expense,791256000.0,778364000.0,799548000.0,691195000.0,695585000.0
Research And Development,364905000.0,371253000.0,359624000.0,331665000.0,320773000.0
Selling General And Administration,426351000.0,407111000.0,439924000.0,359530000.0,374812000.0
Selling And Marketing Expense,303031000.0,296679000.0,313075000.0,253920000.0,271096000.0
General And Administrative Expense,123320000.0,110432000.0,126849000.0,105610000.0,103716000.0
Other Gand A,123320000.0,110432000.0,126849000.0,105610000.0,103716000.0
Gross Profit,1092430000.0,836880000.0,795218000.0,655718000.0,957175000.0
Cost Of Revenue,226917000.0,212325000.0,203009000.0,199270000.0,196955000.0
Total Revenue,1319347000.0,1049205000.0,998227000.0,854988000.0,1154130000.0
Operating Revenue,1319347000.0,1049205000.0,998227000.0,854988000.0,1154130000.0
