,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,708359464.0,701867000.0,693161000.0,677750000.0,666419000.0,
Share Issued,708359464.0,701867000.0,693161000.0,677750000.0,666419000.0,
Net Debt,,,12507000.0,,294688000.0,403392000.0
Total Debt,1802704000.0,1764372000.0,1785118000.0,1805182000.0,1805279000.0,
Tangible Book Value,233626000.0,242162000.0,184783000.0,138732000.0,45605000.0,
Invested Capital,1402282000.0,1415005000.0,1360298000.0,1317409000.0,1227817000.0,
Working Capital,-228367000.0,-177510000.0,-111957000.0,71988000.0,64822000.0,
Net Tangible Assets,233626000.0,242162000.0,184783000.0,138732000.0,45605000.0,
Capital Lease Obligations,794906000.0,756936000.0,778041000.0,798460000.0,798908000.0,
Common Stock Equity,394484000.0,407569000.0,353221000.0,310687000.0,221446000.0,
Total Capitalization,1387582000.0,1400305000.0,1345598000.0,1317409000.0,1227817000.0,
Total Equity Gross Minority Interest,374980000.0,390237000.0,337656000.0,296595000.0,208654000.0,
Minority Interest,-19504000.0,-17332000.0,-15565000.0,-14092000.0,-12792000.0,
Stockholders Equity,394484000.0,407569000.0,353221000.0,310687000.0,221446000.0,
Gains Losses Not Affecting Retained Earnings,16555000.0,16185000.0,13832000.0,4976000.0,-3895000.0,
Other Equity Adjustments,16555000.0,16185000.0,13832000.0,4976000.0,-3895000.0,
Retained Earnings,-5060694000.0,-4744694000.0,-4489068000.0,-4210693000.0,-3995637000.0,
Additional Paid In Capital,5438559000.0,5136014000.0,4828393000.0,4516341000.0,4220916000.0,
Capital Stock,64000.0,64000.0,64000.0,63000.0,62000.0,
Common Stock,64000.0,64000.0,64000.0,63000.0,62000.0,
Total Liabilities Net Minority Interest,9182138000.0,8200572000.0,7507915000.0,7155654000.0,6966349000.0,
Total Non Current Liabilities Net Minority Interest,4055748000.0,3670086000.0,3449335000.0,3336001000.0,3303141000.0,
Other Non Current Liabilities,82335000.0,80591000.0,66346000.0,56151000.0,59712000.0,
Non Current Deferred Liabilities,2336959000.0,1978861000.0,1749480000.0,1606171000.0,1567007000.0,
Non Current Deferred Revenue,2336959000.0,1978861000.0,1749480000.0,1606171000.0,1567007000.0,
Long Term Debt And Capital Lease Obligation,1636454000.0,1610634000.0,1633509000.0,1673679000.0,1676422000.0,
Long Term Capital Lease Obligation,643356000.0,617898000.0,641132000.0,666957000.0,670051000.0,
Long Term Debt,993098000.0,992736000.0,992377000.0,1006722000.0,1006371000.0,
Current Liabilities,5126390000.0,4530486000.0,4058580000.0,3819653000.0,3663208000.0,
Other Current Liabilities,506235000.0,405296000.0,329640000.0,360018000.0,347805000.0,
Current Deferred Liabilities,4168971000.0,3708932000.0,3365460000.0,3143701000.0,3004969000.0,
Current Deferred Revenue,4168971000.0,3708932000.0,3365460000.0,3143701000.0,3004969000.0,
Current Debt And Capital Lease Obligation,166250000.0,153738000.0,151609000.0,131503000.0,128857000.0,
Current Capital Lease Obligation,151550000.0,139038000.0,136909000.0,131503000.0,128857000.0,
Current Debt,14700000.0,14700000.0,14700000.0,,,
Other Current Borrowings,14700000.0,14700000.0,14700000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,47586000.0,25511000.0,22150000.0,11616000.0,28147000.0,
Payables And Accrued Expenses,237348000.0,237009000.0,189721000.0,172815000.0,153430000.0,
Current Accrued Expenses,73872000.0,94995000.0,78913000.0,72755000.0,55936000.0,
Interest Payable,6458000.0,16146000.0,6458000.0,16146000.0,6458000.0,
Payables,163476000.0,142014000.0,110808000.0,100060000.0,97494000.0,
Total Tax Payable,98528000.0,53377000.0,49012000.0,47517000.0,54609000.0,
Accounts Payable,64948000.0,88637000.0,61796000.0,52543000.0,42885000.0,
Total Assets,9557118000.0,8590809000.0,7845571000.0,7452249000.0,7175003000.0,
Total Non Current Assets,4659095000.0,4237833000.0,3898949000.0,3560608000.0,3446973000.0,
Other Non Current Assets,21644000.0,19928000.0,20870000.0,18804000.0,13619000.0,
Non Current Deferred Assets,448169000.0,397375000.0,350052000.0,326240000.0,321824000.0,
Investments And Advances,2492593000.0,2360642000.0,2111258000.0,1766011000.0,1610215000.0,
Investmentin Financial Assets,,2360642000.0,2111258000.0,,,
Held To Maturity Securities,,2360642000.0,2111258000.0,,,
Goodwill And Other Intangible Assets,160858000.0,165407000.0,168438000.0,171955000.0,175841000.0,
Other Intangible Assets,18234000.0,22777000.0,25828000.0,29983000.0,34153000.0,
Goodwill,142624000.0,142630000.0,142610000.0,141972000.0,141688000.0,
Net PPE,1535831000.0,1294481000.0,1248331000.0,1277598000.0,1325474000.0,
Accumulated Depreciation,-684441000.0,-645738000.0,-599142000.0,-622960000.0,-587440000.0,
Gross PPE,2220272000.0,1940219000.0,1847473000.0,1900558000.0,1912914000.0,
Leases,262733000.0,258951000.0,249807000.0,250357000.0,245150000.0,
Construction In Progress,179571000.0,8880000.0,16287000.0,14821000.0,46158000.0,
Other Properties,651055000.0,617457000.0,634624000.0,660471000.0,665885000.0,
Machinery Furniture Equipment,1126913000.0,1054931000.0,946755000.0,974909000.0,955721000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,4898023000.0,4352976000.0,3946623000.0,3891641000.0,3728030000.0,
Other Current Assets,11061000.0,12974000.0,11793000.0,6672000.0,7806000.0,
Current Deferred Assets,832941000.0,761967000.0,694377000.0,654636000.0,628232000.0,
Prepaid Assets,63015000.0,55557000.0,59681000.0,60618000.0,47919000.0,
Receivables,935864000.0,661978000.0,553576000.0,425186000.0,634528000.0,
Accrued Interest Receivable,35218000.0,27711000.0,29088000.0,21680000.0,19690000.0,
Accounts Receivable,900646000.0,634267000.0,524488000.0,403506000.0,614838000.0,
Cash Cash Equivalents And Short Term Investments,3055142000.0,2860500000.0,2627196000.0,2744529000.0,2409545000.0,
Other Short Term Investments,1849823000.0,1843675000.0,1632626000.0,1585849000.0,1697862000.0,
Cash And Cash Equivalents,1205319000.0,1016825000.0,994570000.0,1158680000.0,711683000.0,
