,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,307077000.0,442602000.0,176652000.0,426549000.0,120631000.0,
Issuance Of Debt,,,,,0.0,0.0
Issuance Of Capital Stock,4021000.0,20813000.0,27161000.0,36531000.0,13148000.0,
Capital Expenditure,-299921000.0,-103582000.0,-22610000.0,-17365000.0,-63860000.0,
End Cash Position,1205319000.0,1016825000.0,994570000.0,1158680000.0,711683000.0,
Beginning Cash Position,1016825000.0,994570000.0,1158680000.0,711683000.0,602631000.0,
Effect Of Exchange Rate Changes,-3009000.0,-1275000.0,3834000.0,1843000.0,-4075000.0,
Changes In Cash,191503000.0,23530000.0,-167944000.0,445154000.0,113127000.0,
Financing Cash Flow,4021000.0,20813000.0,27161000.0,36531000.0,13148000.0,
Cash Flow From Continuing Financing Activities,4021000.0,20813000.0,27161000.0,36531000.0,13148000.0,
Net Other Financing Charges,,,,,0.0,0.0
Net Common Stock Issuance,4021000.0,20813000.0,27161000.0,36531000.0,13148000.0,
Common Stock Issuance,4021000.0,20813000.0,27161000.0,36531000.0,13148000.0,
Net Issuance Payments Of Debt,,,,,0.0,0.0
Net Long Term Debt Issuance,,,,,0.0,0.0
Long Term Debt Issuance,,,,,0.0,0.0
Investing Cash Flow,-419516000.0,-543467000.0,-394367000.0,-35291000.0,-84512000.0,
Cash Flow From Continuing Investing Activities,-419516000.0,-543467000.0,-394367000.0,-35291000.0,-84512000.0,
Net Investment Purchase And Sale,-119595000.0,-439885000.0,-371757000.0,-17926000.0,-20652000.0,
Sale Of Investment,1246174000.0,1020681000.0,1069120000.0,1152021000.0,1147701000.0,
Purchase Of Investment,-1365769000.0,-1460566000.0,-1440877000.0,-1169947000.0,-1168353000.0,
Net Business Purchase And Sale,0.0,0.0,,,0.0,-840000.0
Purchase Of Business,0.0,0.0,,,0.0,-840000.0
Net Intangibles Purchase And Sale,-1500000.0,-1000000.0,0.0,0.0,0.0,
Purchase Of Intangibles,-1500000.0,-1000000.0,0.0,0.0,0.0,
Net PPE Purchase And Sale,-298421000.0,-102582000.0,-22610000.0,-17365000.0,-63860000.0,
Purchase Of PPE,-298421000.0,-102582000.0,-22610000.0,-17365000.0,-63860000.0,
Operating Cash Flow,606998000.0,546184000.0,199262000.0,443914000.0,184491000.0,
Cash Flow From Continuing Operating Activities,606998000.0,546184000.0,199262000.0,443914000.0,184491000.0,
Change In Working Capital,546607000.0,450928000.0,119912000.0,336516000.0,87792000.0,
Change In Other Working Capital,699403000.0,459085000.0,300158000.0,145277000.0,319407000.0,
Change In Other Current Liabilities,77983000.0,59798000.0,-49906000.0,-16257000.0,-6192000.0,
Change In Other Current Assets,-148000.0,922000.0,-2018000.0,-5146000.0,1546000.0,
Change In Payables And Accrued Expense,50843000.0,37323000.0,7350000.0,13767000.0,9450000.0,
Change In Accrued Expense,47186000.0,29061000.0,12884000.0,-5200000.0,12573000.0,
Change In Payable,3657000.0,8262000.0,-5534000.0,18967000.0,-3123000.0,
Change In Account Payable,3657000.0,8262000.0,-5534000.0,18967000.0,-3123000.0,
Change In Prepaid Assets,-12205000.0,2912000.0,-12036000.0,-12449000.0,-6480000.0,
Change In Receivables,-269269000.0,-109112000.0,-123636000.0,211324000.0,-229939000.0,
Changes In Account Receivables,-269269000.0,-109112000.0,-123636000.0,211324000.0,-229939000.0,
Other Non Cash Items,31976000.0,28303000.0,30774000.0,30651000.0,29875000.0,
Stock Based Compensation,298376000.0,286930000.0,284762000.0,258936000.0,258236000.0,
Asset Impairment Charge,1504000.0,-2159000.0,4901000.0,-215000.0,722000.0,
Amortization Of Securities,-16347000.0,-15760000.0,-15071000.0,-19368000.0,-22393000.0,
Depreciation Amortization Depletion,62989000.0,55313000.0,53784000.0,53734000.0,51311000.0,
Depreciation And Amortization,62989000.0,55313000.0,53784000.0,53734000.0,51311000.0,
Net Income From Continuing Operations,-318107000.0,-257371000.0,-279800000.0,-216340000.0,-221052000.0,
