,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21,
Normalized EBITDA,-244113000.0,-191262000.0,-215056000.0,-151744000.0,-157110000.0,
Net Income From Continuing Operation Net Minority Interest,-316000000.0,-255626000.0,-278375000.0,-215056000.0,-219573000.0,
Reconciled Depreciation,62989000.0,55313000.0,53784000.0,53734000.0,51311000.0,
Reconciled Cost Of Revenue,315005000.0,296456000.0,236113000.0,224725000.0,218741000.0,
EBITDA,-244113000.0,-191262000.0,-215056000.0,-151744000.0,-157110000.0,
EBIT,-307102000.0,-246575000.0,-268840000.0,-205478000.0,-208421000.0,
Net Interest Income,43941000.0,41737000.0,38502000.0,35973000.0,35929000.0,
Interest Expense,10051000.0,9993000.0,9987000.0,9999000.0,9983000.0,
Interest Income,54354000.0,52089000.0,48844000.0,46323000.0,46260000.0,
Normalized Income,-316000000.0,-255626000.0,-278375000.0,-215056000.0,-219573000.0,
Net Income From Continuing And Discontinued Operation,-316000000.0,-255626000.0,-278375000.0,-215056000.0,-219573000.0,
Total Expenses,1773659000.0,1656181000.0,1403137000.0,1289916000.0,1232295000.0,
Total Operating Income As Reported,-358638000.0,-296535000.0,-322460000.0,-254709000.0,-244112000.0,
Diluted Average Shares,,697282000.0,684837000.0,671657000.0,660900000.0,650961000.0
Basic Average Shares,,697282000.0,684837000.0,671657000.0,660900000.0,650961000.0
Diluted EPS,,-0.37,-0.41,-0.32,-0.33,-0.37
Basic EPS,,-0.37,-0.41,-0.32,-0.33,-0.37
Diluted NI Availto Com Stockholders,-316000000.0,-255626000.0,-278375000.0,-215056000.0,-219573000.0,
Net Income Common Stockholders,-316000000.0,-255626000.0,-278375000.0,-215056000.0,-219573000.0,
Net Income,-316000000.0,-255626000.0,-278375000.0,-215056000.0,-219573000.0,
Minority Interests,2107000.0,1745000.0,1425000.0,1284000.0,1479000.0,
Net Income Including Noncontrolling Interests,-318107000.0,-257371000.0,-279800000.0,-216340000.0,-221052000.0,
Net Income Continuous Operations,-318107000.0,-257371000.0,-279800000.0,-216340000.0,-221052000.0,
Tax Provision,954000.0,803000.0,973000.0,863000.0,2648000.0,
Pretax Income,-317153000.0,-256568000.0,-278827000.0,-215477000.0,-218404000.0,
Other Income Expense,-2456000.0,-1770000.0,5131000.0,3259000.0,-10221000.0,
Other Non Operating Income Expenses,-2456000.0,-1770000.0,5131000.0,3259000.0,-10221000.0,
Net Non Operating Interest Income Expense,43941000.0,41737000.0,38502000.0,35973000.0,35929000.0,
Total Other Finance Cost,362000.0,359000.0,355000.0,351000.0,348000.0,
Interest Expense Non Operating,10051000.0,9993000.0,9987000.0,9999000.0,9983000.0,
Interest Income Non Operating,54354000.0,52089000.0,48844000.0,46323000.0,46260000.0,
Operating Income,-358638000.0,-296535000.0,-322460000.0,-254709000.0,-244112000.0,
Operating Expense,1458654000.0,1359725000.0,1167024000.0,1065191000.0,1013554000.0,
Other Operating Expenses,806518000.0,749296000.0,577055000.0,523691000.0,503432000.0,
Research And Development,409845000.0,398306000.0,384996000.0,374600000.0,355034000.0,
Selling General And Administration,242291000.0,212123000.0,204973000.0,166900000.0,155088000.0,
Selling And Marketing Expense,78465000.0,67133000.0,52807000.0,47768000.0,49765000.0,
General And Administrative Expense,163826000.0,144990000.0,152166000.0,119132000.0,105323000.0,
Other Gand A,163826000.0,144990000.0,152166000.0,119132000.0,105323000.0,
Gross Profit,1100016000.0,1063190000.0,844564000.0,810482000.0,769442000.0,
Cost Of Revenue,315005000.0,296456000.0,236113000.0,224725000.0,218741000.0,
Total Revenue,1415021000.0,1359646000.0,1080677000.0,1035207000.0,988183000.0,
Operating Revenue,1415021000.0,1359646000.0,1080677000.0,1035207000.0,988183000.0,
