,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,147850000.0,145910000.0,143502000.0,140027000.0,
Share Issued,147850000.0,145910000.0,143502000.0,140027000.0,
Total Debt,523324000.0,591927000.0,654273000.0,719325000.0,
Tangible Book Value,2130424000.0,2066396000.0,1865666000.0,2133390000.0,
Invested Capital,2657945000.0,2492737000.0,2326333000.0,2726541000.0,
Working Capital,2163975000.0,2001661000.0,1797415000.0,1881606000.0,
Net Tangible Assets,2130424000.0,2066396000.0,1865666000.0,2133390000.0,
Capital Lease Obligations,523324000.0,591927000.0,654273000.0,639340000.0,
Common Stock Equity,2657945000.0,2492737000.0,2326333000.0,2646556000.0,
Total Capitalization,2657945000.0,2492737000.0,2326333000.0,2646556000.0,
Total Equity Gross Minority Interest,2657945000.0,2492737000.0,2326333000.0,2646556000.0,
Stockholders Equity,2657945000.0,2492737000.0,2326333000.0,2646556000.0,
Gains Losses Not Affecting Retained Earnings,1039000.0,-1737000.0,159000.0,-292000.0,
Other Equity Adjustments,1039000.0,-1737000.0,159000.0,-292000.0,
Retained Earnings,-1488594000.0,-1426973000.0,-1297587000.0,-588026000.0,
Additional Paid In Capital,4145485000.0,3921432000.0,3623747000.0,3234860000.0,
Capital Stock,15000.0,15000.0,14000.0,14000.0,
Common Stock,15000.0,15000.0,14000.0,14000.0,
Total Liabilities Net Minority Interest,1775538000.0,1811196000.0,1935459000.0,1766045000.0,
Total Non Current Liabilities Net Minority Interest,538003000.0,578694000.0,659932000.0,682772000.0,
Other Non Current Liabilities,73256000.0,40938000.0,49186000.0,69911000.0,
Non Current Deferred Liabilities,28848000.0,25050000.0,24572000.0,28210000.0,
Non Current Deferred Revenue,28848000.0,25050000.0,24572000.0,28210000.0,
Long Term Debt And Capital Lease Obligation,435899000.0,512706000.0,586174000.0,584651000.0,
Long Term Capital Lease Obligation,435899000.0,512706000.0,586174000.0,584651000.0,
Long Term Debt,,,,,79985000.0
Current Liabilities,1237535000.0,1232502000.0,1275527000.0,1083273000.0,
Current Deferred Liabilities,120912000.0,105718000.0,102157000.0,87678000.0,
Current Deferred Revenue,120912000.0,105718000.0,102157000.0,87678000.0,
Current Debt And Capital Lease Obligation,87425000.0,79221000.0,68099000.0,134674000.0,
Current Capital Lease Obligation,87425000.0,79221000.0,68099000.0,54689000.0,
Current Debt,,,,79985000.0,9883000.0
Other Current Borrowings,,,,79985000.0,9883000.0
Payables And Accrued Expenses,1029198000.0,1047563000.0,1105271000.0,860921000.0,
Current Accrued Expenses,559070000.0,506415000.0,480745000.0,696121000.0,
Payables,470128000.0,541148000.0,624526000.0,164800000.0,
Other Payable,311488000.0,267163000.0,239196000.0,201054000.0,
Accounts Payable,158640000.0,273985000.0,385330000.0,164800000.0,
Total Assets,4433483000.0,4303933000.0,4261792000.0,4412601000.0,
Total Non Current Assets,1031973000.0,1069770000.0,1188850000.0,1447722000.0,
Other Non Current Assets,70534000.0,125234000.0,92183000.0,77830000.0,
Goodwill And Other Intangible Assets,527521000.0,426341000.0,460667000.0,513166000.0,
Other Intangible Assets,218115000.0,264822000.0,299148000.0,351647000.0,
Goodwill,309406000.0,161519000.0,161519000.0,161519000.0,
Net PPE,433918000.0,518195000.0,636000000.0,856726000.0,
Accumulated Depreciation,-204849000.0,-166243000.0,-123062000.0,-100091000.0,
Gross PPE,638767000.0,684438000.0,759062000.0,956817000.0,
Leases,284748000.0,286585000.0,292418000.0,353245000.0,
Other Properties,260341000.0,304505000.0,371444000.0,521695000.0,
Machinery Furniture Equipment,93678000.0,93348000.0,95200000.0,81877000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,3401510000.0,3234163000.0,3072942000.0,2964879000.0,
Other Current Assets,89716000.0,103146000.0,138585000.0,135383000.0,
Prepaid Assets,,,,,105795000.0
Inventory,114642000.0,158271000.0,92129000.0,106747000.0,
Receivables,879871000.0,812510000.0,816337000.0,760793000.0,
Accounts Receivable,879871000.0,812510000.0,816337000.0,760793000.0,
Allowance For Doubtful Accounts Receivable,-80448000.0,-72657000.0,-34127000.0,-40191000.0,
Gross Accounts Receivable,960319000.0,885167000.0,850464000.0,800984000.0,
Cash Cash Equivalents And Short Term Investments,2317281000.0,2160236000.0,2025891000.0,1961956000.0,
Other Short Term Investments,730213000.0,0.0,,,
Cash And Cash Equivalents,1587068000.0,2160236000.0,2025891000.0,1961956000.0,
Cash Equivalents,580000000.0,1366023000.0,1431398000.0,608409000.0,
Cash Financial,1007068000.0,794213000.0,594493000.0,1353547000.0,
