,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,478438000.0,212984000.0,173237000.0,-149901000.0,
Repurchase Of Capital Stock,-149982000.0,0.0,0.0,,
Repayment Of Debt,0.0,0.0,-80000000.0,-10000000.0,
Issuance Of Debt,,,,0.0,0.0
Issuance Of Capital Stock,,,0.0,0.0,989615000.0
Capital Expenditure,-5280000.0,-5061000.0,-82619000.0,-161696000.0,
Interest Paid Supplemental Data,1055000.0,460000.0,915000.0,3894000.0,
Income Tax Paid Supplemental Data,13690000.0,19406000.0,6632000.0,7016000.0,
End Cash Position,1587068000.0,2160639000.0,2066604000.0,1961956000.0,
Beginning Cash Position,2160639000.0,2066604000.0,1961956000.0,2147670000.0,
Effect Of Exchange Rate Changes,5179000.0,-9746000.0,2654000.0,-4170000.0,
Changes In Cash,-578750000.0,103781000.0,101994000.0,-181544000.0,
Financing Cash Flow,-280098000.0,-89203000.0,-61243000.0,8357000.0,
Cash Flow From Continuing Financing Activities,-280098000.0,-89203000.0,-61243000.0,8357000.0,
Net Other Financing Charges,-164850000.0,-98583000.0,,,
Proceeds From Stock Option Exercised,34734000.0,9380000.0,18757000.0,18357000.0,
Net Common Stock Issuance,-149982000.0,0.0,0.0,0.0,
Common Stock Payments,-149982000.0,0.0,0.0,,
Common Stock Issuance,,,0.0,0.0,989615000.0
Net Issuance Payments Of Debt,0.0,0.0,-80000000.0,-10000000.0,
Net Long Term Debt Issuance,0.0,0.0,-80000000.0,-10000000.0,
Long Term Debt Payments,0.0,0.0,-80000000.0,-10000000.0,
Long Term Debt Issuance,,,,0.0,0.0
Investing Cash Flow,-782370000.0,-25061000.0,-92619000.0,-201696000.0,
Cash Flow From Continuing Investing Activities,-782370000.0,-25061000.0,-92619000.0,-201696000.0,
Net Other Investing Changes,50000000.0,,,,
Net Investment Purchase And Sale,-732000000.0,-20000000.0,-10000000.0,-40000000.0,
Sale Of Investment,,,,,0.0
Purchase Of Investment,-732000000.0,-20000000.0,-10000000.0,-40000000.0,
Net Business Purchase And Sale,-95090000.0,0.0,0.0,0.0,
Purchase Of Business,-95090000.0,0.0,0.0,0.0,
Net Intangibles Purchase And Sale,,,,,0.0
Purchase Of Intangibles,,,,,0.0
Net PPE Purchase And Sale,-5280000.0,-5061000.0,-82619000.0,-161696000.0,
Purchase Of PPE,-5280000.0,-5061000.0,-82619000.0,-161696000.0,
Operating Cash Flow,483718000.0,218045000.0,255856000.0,11795000.0,
Cash Flow From Continuing Operating Activities,483718000.0,218045000.0,255856000.0,11795000.0,
Change In Working Capital,-306691000.0,-408757000.0,-7266000.0,-190337000.0,
Change In Other Working Capital,-189444000.0,-189007000.0,-256314000.0,-271802000.0,
Change In Other Current Liabilities,-72769000.0,-60140000.0,-29095000.0,-9648000.0,
Change In Other Current Assets,7990000.0,-11769000.0,-592000.0,-7304000.0,
Change In Payables And Accrued Expense,-34882000.0,-72293000.0,305889000.0,181716000.0,
Change In Accrued Expense,87621000.0,38385000.0,57714000.0,167526000.0,
Change In Payable,-122503000.0,-110678000.0,248175000.0,14190000.0,
Change In Account Payable,-122503000.0,-110678000.0,248175000.0,14190000.0,
Change In Prepaid Assets,2249000.0,-11299000.0,15058000.0,-15941000.0,
Change In Inventory,43629000.0,-66142000.0,14725000.0,-56471000.0,
Change In Receivables,-63464000.0,1893000.0,-56937000.0,-10887000.0,
Changes In Account Receivables,-63464000.0,1893000.0,-56937000.0,-10887000.0,
Other Non Cash Items,3794000.0,-2845000.0,-1510000.0,-190000.0,
Stock Based Compensation,354169000.0,384662000.0,370130000.0,359931000.0,
Unrealized Gain Loss On Investment Securities,-2940000.0,-1409000.0,-4348000.0,532000.0,
Provisionand Write Offof Assets,2439000.0,790000.0,1674000.0,2081000.0,
Asset Impairment Charge,2870000.0,29118000.0,269402000.0,7500000.0,
Depreciation Amortization Depletion,340599000.0,339425000.0,335878000.0,338513000.0,
Depreciation And Amortization,340599000.0,339425000.0,335878000.0,338513000.0,
Amortization Cash Flow,223230000.0,229340000.0,207852000.0,234355000.0,
Amortization Of Intangibles,223230000.0,229340000.0,207852000.0,234355000.0,
Depreciation,117369000.0,110085000.0,128026000.0,104158000.0,
Operating Gains Losses,1117000.0,6447000.0,1457000.0,-8230000.0,
Net Foreign Currency Exchange Gain Loss,1117000.0,6447000.0,1457000.0,-8230000.0,
Net Income From Continuing Operations,88361000.0,-129386000.0,-709561000.0,-498005000.0,
