,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.059,0.21,0.21,0.21,
Normalized EBITDA,436403000.0,219878000.0,-362822000.0,-148609000.0,
Net Income From Continuing Operation Net Minority Interest,88361000.0,-129386000.0,-709561000.0,-498005000.0,
Reconciled Depreciation,340599000.0,339425000.0,335878000.0,338513000.0,
Reconciled Cost Of Revenue,2662827000.0,2307253000.0,1962004000.0,1685412000.0,
EBITDA,436403000.0,219878000.0,-362822000.0,-148609000.0,
EBIT,95804000.0,-119547000.0,-698700000.0,-487122000.0,
Net Interest Income,-1906000.0,-411000.0,-730000.0,-5161000.0,
Interest Expense,1906000.0,411000.0,730000.0,5161000.0,
Normalized Income,88361000.0,-129386000.0,-709561000.0,-498005000.0,
Net Income From Continuing And Discontinued Operation,88361000.0,-129386000.0,-709561000.0,-498005000.0,
Total Expenses,4742875000.0,4331065000.0,4276996000.0,3657422000.0,
Total Operating Income As Reported,-5624000.0,-218167000.0,-792377000.0,-530888000.0,
Diluted Average Shares,,144630000.0,139658000.0,137668000.0,141668000.0
Basic Average Shares,,144630000.0,139658000.0,137668000.0,132710000.0
Diluted EPS,,-0.89,-5.01,-3.62,1.71
Basic EPS,,-0.89,-5.01,-3.62,1.83
Diluted NI Availto Com Stockholders,88361000.0,-129386000.0,-709561000.0,-498005000.0,
Net Income Common Stockholders,88361000.0,-129386000.0,-709561000.0,-498005000.0,
Net Income,88361000.0,-129386000.0,-709561000.0,-498005000.0,
Net Income Including Noncontrolling Interests,88361000.0,-129386000.0,-709561000.0,-498005000.0,
Net Income Continuous Operations,88361000.0,-129386000.0,-709561000.0,-498005000.0,
Tax Provision,5537000.0,9428000.0,10131000.0,5722000.0,
Pretax Income,93898000.0,-119958000.0,-699430000.0,-492283000.0,
Other Income Expense,101428000.0,98620000.0,93677000.0,43766000.0,
Other Non Operating Income Expenses,101428000.0,98620000.0,93677000.0,43766000.0,
Net Non Operating Interest Income Expense,-1906000.0,-411000.0,-730000.0,-5161000.0,
Interest Expense Non Operating,1906000.0,411000.0,730000.0,5161000.0,
Operating Income,-5624000.0,-218167000.0,-792377000.0,-530888000.0,
Operating Expense,2080048000.0,2023812000.0,2314992000.0,1972010000.0,
Research And Development,729477000.0,720145000.0,878474000.0,788913000.0,
Selling General And Administration,1350571000.0,1303667000.0,1436518000.0,1183097000.0,
Selling And Marketing Expense,964355000.0,932712000.0,1033359000.0,838419000.0,
General And Administrative Expense,386216000.0,370955000.0,403159000.0,344678000.0,
Other Gand A,386216000.0,370955000.0,403159000.0,344678000.0,
Gross Profit,2074424000.0,1805645000.0,1522615000.0,1441122000.0,
Cost Of Revenue,2662827000.0,2307253000.0,1962004000.0,1685412000.0,
Total Revenue,4737251000.0,4112898000.0,3484619000.0,3126534000.0,
Operating Revenue,4737251000.0,4112898000.0,3484619000.0,3126534000.0,
