,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,147850000.0,147751771.0,147330633.0,146657000.0,145910000.0
Share Issued,147850000.0,147751771.0,147330633.0,146657000.0,145910000.0
Total Debt,523324000.0,543784000.0,567158000.0,577118000.0,591927000.0
Tangible Book Value,2130424000.0,2084014000.0,2019234000.0,2112352000.0,2066396000.0
Invested Capital,2657945000.0,2625086000.0,2590552000.0,2525709000.0,2492737000.0
Working Capital,2163975000.0,2113211000.0,2050084000.0,2047868000.0,2001661000.0
Net Tangible Assets,2130424000.0,2084014000.0,2019234000.0,2112352000.0,2066396000.0
Capital Lease Obligations,523324000.0,543784000.0,567158000.0,577118000.0,591927000.0
Common Stock Equity,2657945000.0,2625086000.0,2590552000.0,2525709000.0,2492737000.0
Total Capitalization,2657945000.0,2625086000.0,2590552000.0,2525709000.0,2492737000.0
Total Equity Gross Minority Interest,2657945000.0,2625086000.0,2590552000.0,2525709000.0,2492737000.0
Stockholders Equity,2657945000.0,2625086000.0,2590552000.0,2525709000.0,2492737000.0
Gains Losses Not Affecting Retained Earnings,1039000.0,1314000.0,1434000.0,-756000.0,-1737000.0
Other Equity Adjustments,1039000.0,1314000.0,1434000.0,-756000.0,-1737000.0
Retained Earnings,-1488594000.0,-1469089000.0,-1443901000.0,-1454404000.0,-1426973000.0
Additional Paid In Capital,4145485000.0,4092846000.0,4033004000.0,3980854000.0,3921432000.0
Capital Stock,15000.0,15000.0,15000.0,15000.0,15000.0
Common Stock,15000.0,15000.0,15000.0,15000.0,15000.0
Total Liabilities Net Minority Interest,1775538000.0,1772199000.0,1691403000.0,1654165000.0,1811196000.0
Total Non Current Liabilities Net Minority Interest,538003000.0,556718000.0,583215000.0,554992000.0,578694000.0
Other Non Current Liabilities,73256000.0,71267000.0,76244000.0,33786000.0,40938000.0
Non Current Deferred Liabilities,28848000.0,28046000.0,25192000.0,25122000.0,25050000.0
Non Current Deferred Revenue,28848000.0,28046000.0,25192000.0,25122000.0,25050000.0
Long Term Debt And Capital Lease Obligation,435899000.0,457405000.0,481779000.0,496084000.0,512706000.0
Long Term Capital Lease Obligation,435899000.0,457405000.0,481779000.0,496084000.0,512706000.0
Current Liabilities,1237535000.0,1215481000.0,1108188000.0,1099173000.0,1232502000.0
Current Deferred Liabilities,120912000.0,122309000.0,123628000.0,115839000.0,105718000.0
Current Deferred Revenue,120912000.0,122309000.0,123628000.0,115839000.0,105718000.0
Current Debt And Capital Lease Obligation,87425000.0,86379000.0,85379000.0,81034000.0,79221000.0
Current Capital Lease Obligation,87425000.0,86379000.0,85379000.0,81034000.0,79221000.0
Payables And Accrued Expenses,1029198000.0,1006793000.0,899181000.0,902300000.0,1047563000.0
Current Accrued Expenses,559070000.0,566493000.0,465753000.0,427146000.0,506415000.0
Payables,470128000.0,440300000.0,433428000.0,475154000.0,541148000.0
Other Payable,311488000.0,280845000.0,267465000.0,280578000.0,267163000.0
Accounts Payable,158640000.0,159455000.0,165963000.0,194576000.0,273985000.0
Total Assets,4433483000.0,4397285000.0,4281955000.0,4179874000.0,4303933000.0
Total Non Current Assets,1031973000.0,1068593000.0,1123683000.0,1032833000.0,1069770000.0
Other Non Current Assets,70534000.0,71835000.0,73084000.0,123711000.0,125234000.0
Goodwill And Other Intangible Assets,527521000.0,541072000.0,571318000.0,413357000.0,426341000.0
Other Intangible Assets,218115000.0,231666000.0,261912000.0,251838000.0,264822000.0
Goodwill,309406000.0,309406000.0,309406000.0,161519000.0,161519000.0
Net PPE,433918000.0,455686000.0,479281000.0,495765000.0,518195000.0
Accumulated Depreciation,-204849000.0,-198762000.0,-188612000.0,-176915000.0,-166243000.0
Gross PPE,638767000.0,654448000.0,667893000.0,672680000.0,684438000.0
Leases,284748000.0,287245000.0,286994000.0,285871000.0,286585000.0
Other Properties,260341000.0,272877000.0,285516000.0,292146000.0,304505000.0
Machinery Furniture Equipment,93678000.0,94326000.0,95383000.0,94663000.0,93348000.0
Properties,0.0,0.0,0.0,0.0,0.0
Current Assets,3401510000.0,3328692000.0,3158272000.0,3147041000.0,3234163000.0
Other Current Assets,89716000.0,140239000.0,163826000.0,105404000.0,103146000.0
Inventory,114642000.0,140682000.0,112695000.0,135297000.0,158271000.0
Inventories Adjustments Allowances,,-19300000.0,-15400000.0,,
Other Inventories,,159982000.0,128095000.0,,
Receivables,879871000.0,745405000.0,628475000.0,650187000.0,812510000.0
Accounts Receivable,879871000.0,745405000.0,628475000.0,650187000.0,812510000.0
Allowance For Doubtful Accounts Receivable,-80448000.0,-60345000.0,-52054000.0,-50240000.0,-72657000.0
Gross Accounts Receivable,960319000.0,805750000.0,680529000.0,700427000.0,885167000.0
Cash Cash Equivalents And Short Term Investments,2317281000.0,2302366000.0,2253276000.0,2256153000.0,2160236000.0
Other Short Term Investments,730213000.0,726875000.0,,,0.0
Cash And Cash Equivalents,1587068000.0,1575491000.0,2253276000.0,2256153000.0,2160236000.0
Cash Equivalents,580000000.0,705000000.0,1224891000.0,,1366023000.0
Cash Financial,1007068000.0,870491000.0,1028385000.0,,794213000.0
