,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,106559000.0,126467000.0,108611000.0,136801000.0,76834000.0,
Repurchase Of Capital Stock,-99982000.0,,,,,
Repayment Of Debt,,,,,0.0,0.0
Capital Expenditure,-1091000.0,-1136000.0,-1122000.0,-1931000.0,-2458000.0,
Interest Paid Supplemental Data,362000.0,346000.0,319000.0,28000.0,354000.0,
Income Tax Paid Supplemental Data,1167000.0,2400000.0,7961000.0,2162000.0,6171000.0,
End Cash Position,1587068000.0,1575491000.0,2253276000.0,2256556000.0,2160639000.0,
Beginning Cash Position,1575491000.0,2253276000.0,2256556000.0,2160639000.0,2128796000.0,
Effect Of Exchange Rate Changes,-1635000.0,-1063000.0,5689000.0,2188000.0,-12520000.0,
Changes In Cash,13212000.0,-676722000.0,-8969000.0,93729000.0,44363000.0,
Financing Cash Flow,-133347000.0,-78189000.0,-32490000.0,-36072000.0,-32471000.0,
Cash Flow From Continuing Financing Activities,-133347000.0,-78189000.0,-32490000.0,-36072000.0,-32471000.0,
Net Other Financing Charges,-49779000.0,-43563000.0,-33000000.0,-38508000.0,-32870000.0,
Proceeds From Stock Option Exercised,16414000.0,15374000.0,510000.0,2436000.0,399000.0,
Net Common Stock Issuance,-99982000.0,,,,,
Common Stock Payments,-99982000.0,,,,,
Net Issuance Payments Of Debt,,,,,0.0,0.0
Net Long Term Debt Issuance,,,,,0.0,0.0
Long Term Debt Payments,,,,,0.0,0.0
Investing Cash Flow,38909000.0,-726136000.0,-86212000.0,-8931000.0,-2458000.0,
Cash Flow From Continuing Investing Activities,38909000.0,-726136000.0,-86212000.0,-8931000.0,-2458000.0,
Net Other Investing Changes,40000000.0,,,,,
Net Investment Purchase And Sale,0.0,-735000000.0,10000000.0,-7000000.0,0.0,
Purchase Of Investment,0.0,-725000000.0,0.0,-7000000.0,0.0,
Net Business Purchase And Sale,0.0,0.0,,,,
Purchase Of Business,0.0,0.0,,,,
Net PPE Purchase And Sale,-1091000.0,-1136000.0,-1122000.0,-1931000.0,-2458000.0,
Purchase Of PPE,-1091000.0,-1136000.0,-1122000.0,-1931000.0,-2458000.0,
Operating Cash Flow,107650000.0,127603000.0,109733000.0,138732000.0,79292000.0,
Cash Flow From Continuing Operating Activities,107650000.0,127603000.0,109733000.0,138732000.0,79278000.0,
Change In Working Capital,-160273000.0,-66644000.0,-65375000.0,-14399000.0,-93358000.0,
Change In Other Working Capital,-61591000.0,-37588000.0,-57345000.0,-32920000.0,-37605000.0,
Change In Other Current Liabilities,-4975000.0,-22474000.0,-26779000.0,-18541000.0,-16240000.0,
Change In Other Current Assets,1131000.0,995000.0,3074000.0,2790000.0,8227000.0,
Change In Payables And Accrued Expense,10329000.0,118327000.0,-26095000.0,-137443000.0,-28400000.0,
Change In Accrued Expense,12006000.0,124570000.0,9029000.0,-57984000.0,24341000.0,
Change In Payable,-1677000.0,-6243000.0,-35124000.0,-79459000.0,-52741000.0,
Change In Account Payable,-1677000.0,-6243000.0,-35124000.0,-79459000.0,-52741000.0,
Change In Prepaid Assets,3290000.0,20074000.0,-8734000.0,-12381000.0,29653000.0,
Change In Inventory,26040000.0,-27987000.0,22602000.0,22974000.0,32942000.0,
Change In Receivables,-134497000.0,-117991000.0,27902000.0,161122000.0,-81935000.0,
Changes In Account Receivables,-134497000.0,-117991000.0,27902000.0,161122000.0,-81935000.0,
Other Non Cash Items,4352000.0,-1407000.0,1274000.0,-425000.0,-607000.0,
Stock Based Compensation,86004000.0,88031000.0,84640000.0,95494000.0,101538000.0,
Unrealized Gain Loss On Investment Securities,-3264000.0,-2776000.0,-3184000.0,6284000.0,5569000.0,
Provisionand Write Offof Assets,187000.0,838000.0,129000.0,1285000.0,-1291000.0,
Asset Impairment Charge,0.0,0.0,0.0,2870000.0,0.0,
Depreciation Amortization Depletion,99246000.0,84441000.0,82101000.0,74811000.0,97216000.0,
Depreciation And Amortization,99246000.0,84441000.0,82101000.0,74811000.0,97216000.0,
Amortization Cash Flow,69622000.0,52605000.0,52959000.0,48044000.0,84648000.0,
Amortization Of Intangibles,69622000.0,52605000.0,52959000.0,48044000.0,84648000.0,
Depreciation,29624000.0,31836000.0,29142000.0,26767000.0,12568000.0,
Operating Gains Losses,921000.0,308000.0,-355000.0,243000.0,5773000.0,
Net Foreign Currency Exchange Gain Loss,921000.0,308000.0,-355000.0,243000.0,5773000.0,
Net Income From Continuing Operations,80477000.0,24812000.0,10503000.0,-27431000.0,-35548000.0,
