,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.122474,0.347568,0.21,0.322925,0.21
Normalized EBITDA,191513000.0,122926000.0,87234000.0,34730000.0,156711000.0
Net Income From Continuing Operation Net Minority Interest,80477000.0,24812000.0,10503000.0,-27431000.0,-35548000.0
Reconciled Depreciation,99246000.0,84441000.0,82101000.0,74811000.0,97216000.0
Reconciled Cost Of Revenue,788081000.0,685739000.0,613380000.0,575627000.0,688468000.0
EBITDA,191513000.0,122926000.0,87234000.0,34730000.0,156711000.0
EBIT,92267000.0,38485000.0,5133000.0,-40081000.0,59495000.0
Net Interest Income,-558000.0,-455000.0,-460000.0,-433000.0,
Interest Expense,558000.0,455000.0,460000.0,433000.0,
Normalized Income,80477000.0,24812000.0,10503000.0,-27431000.0,-35548000.0
Net Income From Continuing And Discontinued Operation,80477000.0,24812000.0,10503000.0,-27431000.0,-35548000.0
Total Expenses,1328930000.0,1201172000.0,1134371000.0,1078402000.0,1240172000.0
Total Operating Income As Reported,65973000.0,9466000.0,-23333000.0,-57730000.0,-39125000.0
Diluted Average Shares,152290000.0,151580000.0,149675000.0,146197000.0,145554000.0
Basic Average Shares,148041000.0,147466000.0,146888000.0,146197000.0,145554000.0
Diluted EPS,0.53,0.16,0.07,-0.19,-0.24
Basic EPS,0.54,0.17,0.07,-0.19,-0.24
Diluted NI Availto Com Stockholders,80477000.0,24812000.0,10503000.0,-27431000.0,-35548000.0
Net Income Common Stockholders,80477000.0,24812000.0,10503000.0,-27431000.0,-35548000.0
Net Income,80477000.0,24812000.0,10503000.0,-27431000.0,-35548000.0
Net Income Including Noncontrolling Interests,80477000.0,24812000.0,10503000.0,-27431000.0,-35548000.0
Net Income Continuous Operations,80477000.0,24812000.0,10503000.0,-27431000.0,-35548000.0
Tax Provision,11232000.0,13218000.0,-5830000.0,-13083000.0,9677000.0
Pretax Income,91709000.0,38030000.0,4673000.0,-40514000.0,-25871000.0
Other Income Expense,26294000.0,29019000.0,28466000.0,17649000.0,13665000.0
Other Non Operating Income Expenses,26294000.0,29019000.0,28466000.0,17649000.0,13665000.0
Net Non Operating Interest Income Expense,-558000.0,-455000.0,-460000.0,-433000.0,
Interest Expense Non Operating,558000.0,455000.0,460000.0,433000.0,
Operating Income,65973000.0,9466000.0,-23333000.0,-57730000.0,-39125000.0
Operating Expense,540849000.0,515433000.0,520991000.0,502775000.0,551704000.0
Research And Development,184646000.0,182235000.0,178017000.0,184579000.0,185407000.0
Selling General And Administration,356203000.0,333198000.0,342974000.0,318196000.0,366297000.0
Selling And Marketing Expense,255329000.0,242077000.0,243256000.0,223693000.0,271885000.0
General And Administrative Expense,100874000.0,91121000.0,99718000.0,94503000.0,94412000.0
Other Gand A,100874000.0,91121000.0,99718000.0,94503000.0,94412000.0
Gross Profit,606822000.0,524899000.0,497658000.0,445045000.0,512579000.0
Cost Of Revenue,788081000.0,685739000.0,613380000.0,575627000.0,688468000.0
Total Revenue,1394903000.0,1210638000.0,1111038000.0,1020672000.0,1201047000.0
Operating Revenue,1394903000.0,1210638000.0,1111038000.0,1020672000.0,1201047000.0
